formula,Temperature,sigma (S/cm)
Ba2Cu3YO7 rt,280.0,326.7
Ba2Cu3YO7 rt,80.0,0.2
Ba2Cu3YO7 rt,290.0,15000000000.0
Ba2Cu3YO7 rt,0.0,1500.0
Ba2Cu3YO7 rt,100.0,500.0
Ba2Cu3YO7 rt,300.0,1000.0
Ba2Cu3YO7 rt,298.0,4250.0
Ba2Cu3YO7 rt,300.0,115.0
Ba2Cu3YO7 rt,700.0,63.5
Ba2Cu3YO7 rt,800.0,104.0
CuAlS2,83.0,2e-06
CuAlS2,250.0,3e-05
CuAlS2,400.0,8e-05
CuAlS2,670.0,3e-05
CuAlS2,1000.0,0.0007
Ba0.6Ti2.8Al1.2O8,373.0,5e-05
BaFe4Sn2O11 hex,298.0,3.94e-08
LiLaP4O12,553.0,6.35e-08
Li2MnCl4 rt,373.0,0.0001
NaZr2[PO4]3,1073.0,0.00217
Na2[SO4] ht1,548.0,6.4000000000000006e-06
Na2[SO4] ht1,538.0,4.1e-06
Na2[SO4] ht1,490.0,1.1e-06
Na2[SO4] ht1,490.0,3.1e-06
Sr0.5Cu2La1.5O5,873.0,900.0
Sr0.5Cu2La1.5O5,298.0,2420.0
Sr0.5Cu2La1.5O5,1073.0,830.0
Sr0.16CuLa1.84O4 rt,300.0,1250.0
Sr0.16CuLa1.84O4 rt,40.0,2600.0
Sr0.16CuLa1.84O4 rt,90.0,2100.0
Sr0.16CuLa1.84O4 rt,300.0,880.0
SrCu2La2O6,4.2,120.0
Na2Zn5[PO4]4,298.0,5.6300000000000014e-09
Cu2Er2O5,298.0,8.799999999999998e-11
LaAlO3 rt,565.0,1.1000000000000001e-08
LaAlO3 rt,700.0,2.7e-06
CuGaO2,473.0,2.8e-13
CuGaO2,773.0,2e-08
CuGaO2,298.0,0.0033
BaTiO3 rt tet,423.0,1.23e-05
BaTiO3 rt tet,423.0,1.8e-07
NdFeO3,513.0,3.6e-05
NdFeO3,323.0,2.2e-06
NdFeO3,323.0,9.999999999999999e-10
NdFeO3,513.0,2.9e-07
Rb[NO3] rt,376.0,1.37e-06
Rb[NO3] rt,423.0,2.73e-06
Rb[NO3] rt,373.0,2.17e-05
Rb[NO3] rt,434.0,9.77e-05
Rb[NO3] rt,376.0,2.8700000000000003e-05
Rb[NO3] rt,422.0,0.000107
Na2Nb4O11 ht,570.0,1.23e-06
Cs[NO3] rt,357.0,4e-14
Cs[NO3] rt,357.0,6e-11
Cs[NO3] rt,413.0,2.5e-14
Cu2SiSe3,200.0,2.57
SrLa2Fe2O7,660.0,8e-05
Ba2Cu3YO6,290.0,15000000000.0
Ba2Cu3YO6,300.0,0.003
Ba2Cu3YO6,850.0,7.2
Ba2Cu3YO6,310.0,4.7
Ba2Cu3YO6,500.0,5.3
Ba2Cu3YO6,1100.0,4.0
Ca0.2La0.53TiO3 rt,1073.0,0.000115
Ca0.8La0.2TiO3,1073.0,0.0001
Ca0.8La0.2TiO3,1173.0,47.0
Ca0.8La0.2TiO3,1173.0,2.6
Ca0.8La0.2TiO3,1173.0,0.0069999999999999
Ca0.8La0.2TiO3,1173.0,0.00074
Rb2[SO4] rt,555.0,5.1e-08
Rb2[SO4] rt,800.0,7.900000000000001e-05
Lu2[MoO4]3,873.0,7.6e-05
Na2[SO4] ht2,510.0,3.1e-05
Na2[SO4] ht2,510.0,5e-06
Na2[SO4] rt,473.0,1.1e-05
Na2[SO4] rt,473.0,3.5e-07
Ag3[VO4] rt,298.0,9.999999999999999e-10
H2Rb[PO4] mon,549.0,0.003
H2Rb[PO4] mon,549.0,7.000000000000001e-05
H2Rb[PO4] mon,385.0,7e-11
H2Rb[PO4] mon,385.0,9.999999999999999e-10
CaSnO3,300.0,10000000000.0
NaAl[SiO4] rt,473.0,8.3e-06
YCrO3 ht orth,603.0,620.0
YCrO3 ht orth,953.0,2000.0
Ba1.5Cu3Sm1.5O7,300.0,90.0
Ba2Cu3SmO7,300.0,560.0
BaCeO3 rt,870.0,2.89e-07
BaCeO3 rt,870.0,0.000646
BaCeO3 rt,870.0,0.00065
Ba0.32Ti1.35Fe0.65O4,4.2,2e-11
Ba0.32Ti1.35Fe0.65O4,60.0,1e-10
Ba0.32Ti1.35Fe0.65O4,60.0,1.9999999999999997e-09
Ba0.32Ti1.35Fe0.65O4,280.0,3e-06
Ba0.32Ti1.35Fe0.65O4,280.0,8.000000000000001e-07
Ba0.32Ti1.35Fe0.65O4,298.0,1.4e-06
Ba0.32Ti1.35Fe0.65O4,673.0,0.001
Ba2Ti4Fe2O13,399.6,5.46e-05
Ba2Ti4Fe2O13,298.0,2.0900000000000003e-06
BaTi2Fe4O11,31.0,3.48e-10
BaTi2Fe4O11,290.0,6.610000000000001e-05
BaTi2Fe4O11,433.0,0.0020499999999999
BaTi2Fe4O11,290.0,2.51e-05
LiTi2[PO4]3,298.0,0.00016
LiTi2[PO4]3,423.0,0.002
LiTi2[PO4]3,425.0,0.0004179999999999
LiTi[PO4]O orth,673.0,1.1e-05
LiTi[AsO4]O,673.0,5e-07
BaPrO3 rt,573.0,0.000637
Cu0.3Cr2Fe0.7S4,300.0,70.0
Cu0.3Cr2Fe0.7S4,120.0,20.0
Cu0.3Cr2Fe0.7S4,300.0,5.0
TiNbBi3O9 rt,973.0,3.16e-05
TiNbBi3O9 rt,673.0,2.82e-09
TiNbBi3O9 rt,523.0,3.98e-14
Li0.5Fe2.5O4 ht,298.0,0.00016
Li0.5Fe2.5O4 ht,773.0,0.074
Li0.5Fe2.5O4 ht,500.0,0.000195
Li0.5Fe2.5O4 ht,833.0,0.033
Li0.5Fe2.5O4 ht,1058.0,3.3e-05
Li0.5Fe2.5O4 ht,298.0,2.3e-06
Sr1.9CuBi2.1O6,100.0,162.0
Sr1.9CuBi2.1O6,298.0,142.0
Sr1.9CuBi2.1O6,1.2,580.0
Sr1.9CuBi2.1O6,50.0,1120.0
Sr1.9CuBi2.1O6,300.0,750.0
Sr1.9CuBi2.1O6,600.0,49000.0
Sr1.9CuBi2.1O6,287.0,3.7
Sr1.9CuBi2.1O6,150.0,3.1
Sr1.9CuBi2.1O6,50.0,1.4
Sr1.9CuBi2.1O6,300.0,1800.0
Sr1.9CuBi2.1O6,300.0,1800.0
Ba2Cu3YO7.3,298.0,15.0
Al2[MoO4]3,873.0,3.5000000000000004e-05
LaTiO3,300.0,8.0
Cd2SnO4 rt,298.0,15.0
Cd2SnO4 rt,298.0,0.001
CdIn2O4 cub,298.0,2000.0
WBi2O6 rt,760.0,1.4e-05
Zn5In2O8,460.0,275.42
Zn5In2O8,1073.0,330.0
Zn7In2O10,460.0,176.0
Sr3Fe2O6.75,1273.0,3.4
Sr3Fe2O6.75,1023.0,0.0066
Sr3Fe2O6.75,1023.0,0.015
Sr3Fe2O6.75,1273.0,0.012
Sr3Fe2O6.75,300.0,0.004
SrFeO3 ht,100.0,0.05
MgNb2O6,623.0,5.199999999999999e-06
MgNb2O6,623.0,4.6e-07
MgNb2O6,298.0,7e-07
MgNb2O6,298.0,5.7000000000000006e-09
LiMg[VO4],298.0,3.98e-08
LiMg[VO4],298.0,3.16e-06
LiVNiO4,298.0,1.6e-07
LiVNiO4,373.0,9e-06
LiVNiO4,373.0,3.5e-07
LiVNiO4,298.0,8e-06
LiVNiO4,298.0,2.2e-07
NaLi[SO4] rt,437.0,2.89e-08
NaLi[SO4] rt,514.0,7.63e-08
LaCrO3 ht2,1230.0,0.13
LaCrO3 ht2,1230.0,0.04
LiTl[SO4] ht,808.0,0.013
Nd2[GeO4]O,1173.0,3.7e-06
Nd2[GeO4]O,1173.0,1.24e-05
Nd2[GeO4]O,1173.0,1.94e-05
RbMgSc[MoO4]3,573.0,1.46e-08
RbMgSc[MoO4]3,873.0,0.00367
Li3Fe2[PO4]3 rt,300.0,0.002
Li9Fe3[PO4]2[P2O7]3,573.0,1.2999999999999998e-06
Li9Fe3[PO4]2[P2O7]3,573.0,1.0000000000000001e-07
LaCoO3 ht,873.0,100.0
K5Zr1.5Mn0.5[MoO4]6,673.0,0.00123
K5Zr1.5Mn0.5[MoO4]6,673.0,1.23e-05
K5Mg0.5Zr1.5[MoO4]6,673.0,0.001
K5Mg0.5Zr1.5[MoO4]6,673.0,1e-05
SrCu0.33Nb0.67O3 tet,1173.0,0.01
SrCu0.33Nb0.67O3 tet,473.0,1.5999999999999998e-08
SrCu0.33Nb0.67O3 tet,298.0,5.3e-07
La2MoO6 rt,423.0,0.0015
Sm2MoO6 rt,423.0,0.0029
Tb2MoO6,423.0,0.002
K5Cd0.5Zr1.5[MoO4]6,673.0,0.00203
K5Cd0.5Zr1.5[MoO4]6,673.0,2.03e-05
Tl5Cd0.5Zr1.5[MoO4]6,673.0,0.00145
Tl5Cd0.5Zr1.5[MoO4]6,673.0,1.4499999999999998e-05
BaRuO3 rt,298.0,700.0
SrRuO3 rt,298.0,3000.0
SrRuO3 rt,298.0,3000.0
SrRuO3 rt,300.0,3080.0
Na2Mn1.5Fe1.5[PO4]3,548.0,9.7e-07
Na2Mn1.5Fe1.5[PO4]3,748.0,7.7e-05
CuCr1.38In0.62Se4,300.0,8.12
La3Ta0.5Ga5.5O14,1000.0,0.00035
Ba3MgTa2O9,298.0,2.4e-10
CaRuO3,293.0,1800.0
CaRuO3,298.0,2000.0
CaRuO3,373.0,227.0
CaRuO3,1273.0,135.0
CaRuO3,298.0,239.0
CaRuO3,298.0,343.0
CaRuO3,300.0,1810.0
K3CaV5O15,298.0,1.2e-05
K3CaV5O15,298.0,1.5e-05
KCa[VO4] trig,423.0,6e-05
KCa[VO4] trig,548.0,2.8e-05
KCa[VO4] trig,548.0,8e-05
KCa[VO4] trig,548.0,2.8e-05
KCa[VO4] trig,548.0,8e-05
Na0.67Ti0.67Ni0.33O2 hex,298.0,0.00017
Na0.67Ti0.67Ni0.33O2 hex,770.0,0.048
Na0.67Ti0.67Ni0.33O2 rhom,298.0,1.5e-05
Na0.67Ti0.67Ni0.33O2 rhom,770.0,0.027
Mg[CO3] rt,1000.0,6.300000000000001e-06
Mg[CO3] rt,1000.0,1.0000000000000001e-07
Mg[CO3] rt,650.0,4.5e-10
Mg[CO3] rt,650.0,4e-14
Cu3Ti2Nb2O12,100.0,1.99e-05
Sr5Co4O12 rt,250.0,0.0067
PbBi6[PO4]4O4,1073.0,5e-07
PbBi6[PO4]4O4,850.0,1.15e-08
Cu0.25Cd0.5In0.25S,298.0,3e-09
Cs[NO3] ht,556.0,5.5e-05
Cs[NO3] ht,454.0,1.8e-07
Cs[NO3] ht,650.0,1.3e-05
Pb5[PO4]3F rt,800.0,0.000273
AgCd2GaSe4,293.0,3e-09
Rb[NO3] ht1,440.0,5e-06
Rb[NO3] ht1,476.0,0.0003
Rb[NO3] ht1,453.0,0.00783
Rb[NO3] ht1,497.0,0.0317
Rb[NO3] ht1,459.0,0.0652
Rb[NO3] ht1,476.0,0.134
Rb[NO3] ht2,501.0,1.1e-05
Rb[NO3] ht2,545.0,6.4e-05
Rb[NO3] ht2,497.0,0.0317
Rb[NO3] ht2,538.0,0.0008849999999999
Rb[NO3] ht2,500.0,0.0024
Rb[NO3] ht2,545.0,0.0207
Rb[NO3] ht3,566.0,0.00015
Rb[NO3] ht3,576.0,0.00248
Rb[NO3] ht3,565.0,0.0797
Ag3[VO4] ht1,400.0,1e-06
Li2WO4 ht,526.0,4.7e-05
Li2WO4 ht,909.0,0.00049
Li2WO4 ht,526.0,2.6e-05
Li2WO4 ht,909.0,0.00067
Pb2Bi[VO4]O2 ht2,963.0,0.00341
Pb2Bi[VO4]O2 rt,573.0,4.8e-08
Pb2Bi[VO4]O2 rt,573.0,7.63e-08
Pb2Bi[VO4]O2 rt,690.0,1e-06
PbBi[VO4]O ht,985.0,0.00105
PbBi[VO4]O ht,973.0,9.3e-06
PbBi[VO4]O rt,1073.0,0.001
PbBi[VO4]O rt,573.0,2.64e-06
Ba2In2O5 ht1,1081.0,0.00153
BaInO2.5 ht2,1250.0,0.174
BaInO2.5 ht2,1273.0,0.12
BaInO2.5 ht2,1273.0,0.093
Sr6Co5O15 ht,1073.0,20.0
Ca2MnO4,476.0,0.00333
Ca2MnO4,298.0,2.27e-09
Ca2MnO4,300.0,0.01
CaMn7O12 rt,115.0,1e-08
CaMn7O12 rt,350.0,0.009
Mn2BiO5,298.0,18.0
MnBiO3 rt,20.0,1e-08
MnBiO3 rt,298.0,1e-05
Zr[WO4]2 rt,298.0,1e-08
[NH4]Cl rt,393.0,8.04e-10
Rb2U2O7 mon,667.0,1.33e-06
Cu0.5Sb0.5PSe3 rt,303.0,4.56e-05
Cu0.5Sb0.5PSe3 rt,404.0,0.0001799999999999
YMnO3 rt,298.0,1.58e-11
YMnO3 rt,625.0,1e-06
YMnO3 rt,298.0,3.2e-07
YMnO3 rt,1100.0,0.01
Ba2Cu3PrO7,298.0,0.0001099999999999
Ba2Cu3PrO7,298.0,2e-05
Ba2Cu3PrO7,213.0,7e-06
Ba2Cu3PrO7,213.0,1.0000000000000001e-07
ZrPbO3 ht1,454.0,4840000000.0
ZrPbO3 ht1,454.0,9740000000.0
Li0.5Al0.5Si0.5O2 hex,673.0,0.005
Li0.5Al0.5Si0.5O2 hex,673.0,0.005
SrNbO3 ht,298.0,3700.0
Sr8Fe8O23 rt,973.0,8.91
Sr8Fe8O23 rt,298.0,0.86
Na2Ga2[BO3]2O,773.0,4.0000000000000003e-07
Er2[WO4]3,873.0,4.7e-05
Er2[WO4]3,873.0,3.1e-05
TmS,298.0,12000.0
Tl[N3] rt,298.0,1e-14
CeRu4Sb12,298.0,3570.0
YbRh2Si2,300.0,13000.0
YbRh2Si2,5.5,76700.0
YbRh2Si2,0.4,325000.0
FePS3,298.0,3.8e-06
FePS3,298.0,5e-06
MnPS3,298.0,9.2e-08
ZnCr2Se4 rt,500.0,0.01
ZnCr2Se4 rt,200.0,3.0000000000000004e-08
ZnCr2Se4 rt,100.0,1.9e-14
ZnCr2Se4 rt,70.0,3.3e-15
ZnCr2Se4 rt,500.0,0.003
ZnCr2Se4 rt,125.0,2.7e-10
ZnCr2Se4 rt,71.0,2e-14
ZnCr2Se4 rt,300.0,0.00025
ZnCr2Se4 rt,300.0,1.58e-05
CdSiAs2,1233.0,4.7
CdSiAs2,1000.0,0.7
CdSiAs2,500.0,0.71
CdSiAs2,545.0,0.11
CdSiAs2,83.0,1.8e-09
CdSiAs2,135.0,3.3e-06
CdSiAs2,400.0,0.024
CdSiAs2,77.0,7.1e-06
CdSiAs2,417.0,6.0
CdSiAs2,120.0,0.0027
TlMo3Se3 rt,300.0,20000.0
Ti3GeC2,298.0,45000.0
Cu0.5Cr2Co0.5S4,300.0,1200.0
Cu0.5Cr2Co0.5S4,120.0,90.0
Cu0.34SmTe2,298.0,7.0
Cu0.4NdTe2,298.0,1.3
Sr2IrO4 rt,298.0,2.2
Gd2TiMoO6.55,1000.0,25.0
Ba2CaCu2Tl2O8,300.0,87.6
Sr2CaCu2Tl0.5Pb0.5O7,300.0,2100.0
Er0.5Bi0.5O1.5 cub,1023.0,0.18
H2[NH4][PO4] rt,357.0,2.8000000000000003e-09
H2[NH4][PO4] rt,357.0,3.5e-08
H2[NH4][PO4] rt,357.0,5.3e-08
H2[NH4][PO4] rt,298.0,7.8e-09
H2[NH4][PO4] rt,298.0,3.7e-10
H2[NH4][PO4] rt,405.0,5e-07
H2[NH4][PO4] rt,298.0,3.9e-10
H2K[AsO4] rt,95.0,3.2000000000000007e-18
H2K[AsO4] rt,298.0,1.3000000000000002e-10
H2K[AsO4] rt,298.0,1.3000000000000002e-10
D2K[AsO4] rt,250.0,7e-11
D2K[AsO4] rt,298.0,1.3000000000000002e-10
D2K[AsO4] rt,298.0,1.3000000000000002e-10
Na0.5Ti0.05Co0.95O2,298.0,0.00027
Na0.5Ti0.05Co0.95O2,770.0,0.084
Na0.76Ti0.62Co0.38O2,298.0,5.8e-06
Na0.76Ti0.62Co0.38O2,770.0,0.017
CuCe0.2Nd1.8O4,30.0,25000.0
BaPbO3 rt,370.0,1400.0
BaPbO3 rt,1073.0,46.0
BaPbO3 rt,388.0,162.0
CdLaGa3S7,625.0,0.96
Ca9Fe[PO4]7 rt,890.0,2.34e-06
Ca9Fe[PO4]7 rt,890.0,1.58e-06
KZr2[PO4]3,1073.0,0.000222
SrNd4[SiO4]3O,1173.0,8e-06
CeVO3 rt,308.0,0.054
CeVO3 rt,298.0,0.0559999999999999
CeVO3 rt,298.0,0.01
Cu0.5Mn0.5Fe2O4,298.0,0.0139999999999999
Cu0.5Mn0.5Fe2O4,423.0,0.122
LiMn1.5Fe0.5O4,298.0,4e-13
LiMn1.5Fe0.5O4,298.0,2.5e-06
LiMn1.5Fe0.5O4,298.0,2.44e-05
LiMn1.5Fe0.5O4,298.0,3.31e-06
Ag0.5Cu0.5I rt,351.0,5.3652e-06
Ag0.5Cu0.5I rt,351.0,5.708e-06
Ag0.5Cu0.5I ht,433.0,0.0567
Ag0.5Cu0.5I ht,424.0,0.00015
Ba3SrNb2O9,673.0,0.00039
Ba3SrNb2O9,348.0,5.9e-07
Ba3SrNb2O9,673.0,0.0028
Ba3SrNb2O9,348.0,1.9e-05
Cu0.5Pd0.5Bi2O4,440.0,0.000291
Li1.3Ti1.6Fe0.1O4,298.0,0.00013
Li1.3Ti1.6Fe0.1O4,373.0,0.0002199999999999
Li1.3Ti1.6Fe0.1O4,980.0,1.0
Ag0.16Ge0.67Sb0.17Te rt,310.0,640.0
Ag0.23Ge0.54Sb0.23Te,500.0,470.0
Ag0.23Ge0.54Sb0.23Te,710.0,0.0004
MnFe2O4 rt,308.0,5.3200000000000015e-09
MnFe2O4 rt,298.0,0.0210999999999999
MnFe2O4 rt,298.0,0.0202
MnFe2O4 rt,378.0,0.0208
MnFe2O4 rt,378.0,0.0182
MnFe2O4 rt,298.0,4.9e-08
MnFe2O4 rt,570.0,3.5000000000000004e-05
MnFe2O4 rt,685.0,0.00037
Cu0.9La2Ni0.1O4,973.0,20.42
Sr2La0.67[VO4]2,1323.0,7.85e-05
LaNiO3 rt,873.0,114.8
LaNiO3 rt,873.0,190.0
LaNiO3 rt,1173.0,180.0
LaNiO3 rt,0.0,1262.07
LaNiO3 rt,298.0,1730.0
LaNiO3 rt,0.0,1710.0
LaNiO3 rt,4.0,1744.0
HoMnO3 rt-hp,603.0,160.0
HoMnO3 rt-hp,953.0,2900.0
CuMn1.5Ni0.5O4,298.0,0.28
Tb0.6Mo0.4O2,473.0,0.03
Tb0.6Mo0.4O2,1173.0,1.1
Tb0.6Mo0.4O2,423.0,0.0011
Sm0.5Mo0.5O2,423.0,0.0044
Gd0.44Mo0.56O1.78,423.0,0.0017
Zr0.8Ti0.2PbO3 rt,305.0,5e-09
Ta2CrO6 rt,298.0,2.9e-07
Ta2CrO6 rt,545.0,9.5e-05
PbSnF4 rt,300.0,0.0316
CaC6 rhom,298.0,8700.0
BaSnF4,373.0,0.00032
BaSnF4,298.0,5e-05
LaCrO3 rt,603.0,3110.0
LaCrO3 rt,953.0,8800.0
LaCrO3 rt,502.0,0.053
LaCrO3 rt,298.0,0.0024
LaCrO3 rt,423.0,0.02
LaCrO3 rt,500.0,0.0002
LaCrO3 rt,300.0,2.1e-05
LaCrO3 rt,513.0,0.0011
LaCrO3 rt,1250.0,0.048
LaCrO3 rt,500.0,0.018
LaCrO3 rt,330.0,0.0158
CrFeAlO4,852.0,0.05
CrFeAlO4,555.0,0.0067
Ti0.5V0.5O2 rt,298.0,8000.0
KNbO3 rt,773.0,1.8e-06
KNbO3 rt,298.0,3e-09
USO,300.0,0.0016
Dy0.75Mo0.25O1.75,423.0,0.0026
Dy0.75Mo0.25O1.75,298.0,0.0027
Yb0.44Mo0.56O1.78,671.0,0.015
CuFeGaO4 rt tet,298.0,1.7099999999999998e-07
CuFeGaO4 rt tet,298.0,5.78e-08
Na2CS3,323.0,2.39e-09
Na2CS3,523.0,0.0139999999999999
Cu1.1Ti0.1Fe1.8O4,300.0,2.51e-05
Tm0.5Zr0.5O1.75,1013.0,7.000000000000001e-05
Tm0.5Zr0.5O1.75,573.0,7.000000000000001e-10
Li[IO3] rt,298.0,5.6e-06
Li[IO3] rt,300.0,3e-10
Li[IO3] rt,300.0,2.8e-08
Ca2Nd3[SiO4]2[PO4]O,1173.0,5.75e-06
Li0.195Ba2Cu2.805YO7,526.0,4e-05
Li0.195Ba2Cu2.805YO7,298.0,3e-07
Tm4Zr3O12,1013.0,1e-05
Tm4Zr3O12,573.0,2.5e-09
Lu4Hf3O12 rt,1273.0,0.0005
Lu4Hf3O12 rt,573.0,2e-10
Lu4Zr3O12,1013.0,8e-06
Lu4Zr3O12,573.0,4.999999999999998e-10
Zn0.5Fe2Ni0.5O4,298.0,8e-14
Zn0.5Fe2Ni0.5O4,298.0,1.38e-08
Zn0.5Fe2Ni0.5O4,298.0,4.54e-05
Zn0.5Fe2Ni0.5O4,313.0,1.17e-07
Zn0.5Fe2Ni0.5O4,473.0,2.74e-07
Zn0.5Fe2Ni0.5O4,298.0,0.0012
Zn0.5Fe2Ni0.5O4,298.0,67.0
Zn0.5Fe2Ni0.5O4,298.0,0.025
Zn0.5Fe2Ni0.5O4,298.0,0.031
Zn0.5Fe2Ni0.5O4,300.0,6e-05
Zn0.5Fe2Ni0.5O4,300.0,0.0001
Zn0.5Fe2Ni0.5O4,300.0,0.0003
Zn0.5Fe2Ni0.5O4,298.0,1e-06
CaLaGaO4 tet,713.0,2.44e-08
Ba2Cu3ErO7,100.0,10200.0
Ba2Cu3ErO7,100.0,50.0
Ba2Cu3YO6F ht,300.0,420.0
Cd0.5Cr2In0.5Se4 rt,102.0,0.015
Cd0.5Cr2In0.5Se4 rt,142.0,1e-05
Cd0.5Cr2In0.5Se4 rt,322.0,0.01
Zr0.5Ti0.5PbO3 rt tet,631.0,2.2000000000000003e-05
Zr0.5Ti0.5PbO3 rt tet,298.0,6.1e-08
Zr0.5Ti0.5PbO3 rt tet,675.0,7e-06
Zr0.5Ti0.5PbO3 rt tet,775.0,0.00012
TiFe2Se4,300.0,6309.0
V2FeSe4,300.0,562.0
BaBiO3 mon,300.0,0.0289999999999999
Ca5[PO4]3[OH] rt,800.0,7.459999999999999e-07
KTi[PO4]O rt,298.0,3.16e-05
KTi[PO4]O rt,500.0,1.6e-06
KTi[PO4]O rt,500.0,5e-05
CuMn2O4 rt,714.0,1.0
CuMn2O4 rt,400.0,0.02
CuMn2O4 rt,312.0,0.001
BaFe6NiO11,298.0,0.00091
BaFe6NiO11,298.0,0.018
BaFe6NiO11,298.0,0.13
Na0.5TiBi0.5O3 rt,298.0,1e-13
Zn0.5Mn0.5Fe2O4,333.0,7.48e-05
Zn0.5Mn0.5Fe2O4,333.0,1.5899999999999998e-06
Zn0.5Mn0.5Fe2O4,308.0,7.730000000000001e-08
Zn0.5Mn0.5Fe2O4,521.0,0.0001899999999999
Zn0.5Mn0.5Fe2O4,298.0,0.32
Zn0.5Mn0.5Fe2O4,298.0,0.0084
Zn0.5Mn0.5Fe2O4,298.0,0.0819999999999999
Ca0.5Nd0.5MnO3 rt,1100.0,20.0
Ca0.5Y0.5MnO3 rt,1100.0,140.0
Ca0.5Y0.5MnO3 rt,298.0,0.0024
Y3Fe4InO12,1429.0,0.065
YbCrO3 ht,603.0,260.0
YbCrO3 ht,953.0,1600.0
Zn0.5Fe2Co0.5O4,100.0,1.02e-08
Zn0.5Fe2Co0.5O4,400.0,6e-10
Zn0.5Fe2Co0.5O4,400.0,1.3e-09
Zn0.5Fe2Co0.5O4,400.0,2.1e-09
Zn0.5Fe2Co0.5O4,400.0,8.5e-09
Zn0.5Fe2Co0.5O4,400.0,1.4e-08
Zn0.5Fe2Co0.5O4,400.0,8.6e-08
Zn0.5Fe2Co0.5O4,400.0,4.2e-08
Zn0.5Fe2Co0.5O4,400.0,3.4e-07
Zn0.5Fe2Co0.5O4,298.0,3150.0
Zn0.5Fe2Co0.5O4,313.0,1.34e-05
Fe2Co0.5Ni0.5O4,773.0,0.524
CuCr4InSe8,298.0,8.2e-05
K3Li2Nb5O15 rt,339.0,1.3e-09
K3Li2Nb5O15 rt,693.0,3e-06
K3Li2Nb5O15 rt,339.0,9e-09
K3Li2Nb5O15 rt,693.0,8e-06
K3Li2Nb5O15 rt,340.0,1.49e-09
EuNbO4 rt,550.0,4.76e-08
Ti0.5FeNi1.5O4,83.0,8.000000000000001e-07
Ti0.5FeNi1.5O4,250.0,0.018
CaGd4[SiO4]3O,1173.0,3.4200000000000003e-06
CaNd4[SiO4]3O,1173.0,2.64e-06
La0.1WO3,300.0,820.0
La0.1WO3,64.0,700.0
Dy[OH]3,298.0,7.81e-07
MnNiO3,400.0,5e-07
MnNiO3,300.0,3e-09
Ba2Cu2.5YFe0.5O7.23,280.0,133.3
Sr0.9La0.1TiO3 rt,298.0,1520.0
Sr0.9La0.1TiO3 rt,298.0,500.0
Sr0.9La0.1TiO3 rt,298.0,1540.0
Sr0.9La0.1TiO3 rt,772.0,0.00055
Sr0.9La0.1TiO3 rt,298.0,950.7
Sr0.9La0.1TiO3 rt,334.0,92.0
Sr0.9La0.1TiO3 rt,989.0,80.0
Sr0.9La0.1TiO3 rt,773.0,0.00021
Sr0.9La0.1TiO3 rt,773.0,0.0068
Sr0.9La0.1TiO3 rt,1273.0,0.55
Sr0.9La0.1TiO3 rt,1273.0,0.8
Sr0.9La0.1TiO3 rt,298.0,1.3
Yb0.25Pb0.75Te rt,298.0,71.413
Sr0.6CuLa1.4O4,298.0,2500.0
Sr0.6CuLa1.4O4,1073.0,125.0
Sr0.6CuLa1.4O4,573.0,510.0
Ba0.5Sr0.5TiO3 ht,290.0,2.0000000000000002e-07
Ba0.5Sr0.5TiO3 ht,200.0,3e-11
Ba0.5Sr0.5TiO3 ht,290.0,0.0006
Ba0.5Sr0.5TiO3 ht,200.0,7e-08
Ba0.5Sr0.5TiO3 ht,298.0,8e-16
Ir0.5Rh0.5Sb3,298.0,2280.0
Sr0.5La0.5MnO3 ht rt,298.0,1400.0
Sr0.5La0.5MnO3 ht rt,300.0,30.0
Sr0.5La0.5MnO3 ht rt,1100.0,160.0
Cu0.9Cd0.1Cr2Se4,300.0,0.2
Cu0.9Cd0.1Cr2Se4,100.0,0.08
Nb0.5Cr0.5O2,1173.0,0.0249
Nb0.5Cr0.5O2,298.0,2.5e-05
Nb0.5Cr0.5O2,545.0,0.018
Nb0.5Cr0.5O2,866.0,3.94
Nb0.5Cr0.5O2,596.0,0.06
Nb0.5Cr0.5O2,1073.0,3.73
Nb0.5Cr0.5O2,352.0,7.2000000000000005e-06
La2MnNiO6 rt,298.0,0.002
La2MnNiO6 rt,123.0,1.1e-06
La2MnNiO6 rt,123.0,5.999999999999999e-06
La2MnNiO6 rt,298.0,0.006
La2MnNiO6 rt,123.0,5.4e-07
La2MnNiO6 rt,273.0,0.00092
La2MnNiO6 rt,298.0,0.01
La2MnNiO6 rt,130.0,5.999999999999999e-06
BaZnFe6O11,298.0,0.00091
BaZnFe6O11,298.0,0.011
BaZnFe6O11,298.0,0.13
CrFeNiO4,297.0,6.3e-05
H2Li[PO4],298.0,0.0002
H2Li[PO4],451.0,0.03
CaCu3Ti4O12,270.0,1.0000000000000001e-07
CaCu3Ti4O12,270.0,2e-06
CaCu3Ti4O12,100.0,3.16e-05
CaCu3Ti4O12,432.0,1e-06
CaCu3Ti4O12,298.0,1.67e-08
CaCu3Ti4O12,298.0,3e-05
CaCu3Ti4O12,500.0,0.0003
CaCu3Ti4O12,298.0,0.012
CaCu3Ti4O12,358.0,0.02
CaCu3Ti4O12,298.0,0.012
CaCu3Ti4O12,358.0,0.02
CaCu3Ti4O12,500.0,0.006
CaCu3Ti4O12,298.0,2e-05
CaCu3Ti4O12,300.0,0.0045
