formula,Temperature,sigma (S/cm)
PbS rt,298.0,162.0
SnTe rt,300.0,8600.0
SnTe rt,77.0,23000.0
SnTe rt,4.2,37000.0
SnTe rt,285.0,6050.0
SnTe rt,323.0,5430.0
Cu2S ht cha,298.0,15.0
Cu31S16 rt dju,298.0,35.0
Cu9S5 dig,298.0,230.0
Zn6.67Sb5 rt,298.0,1290.0
Zn6.67Sb5 rt,323.0,980.0
InAs rt,298.0,6450.0
InAs rt,298.0,3.727
Sb0.5As0.5 ht,300.0,7680.0
Sb0.5As0.5 ht,77.0,16650.0
Sb0.5As0.5 ht,77.0,12500.0
Sb0.5As0.5 ht,77.0,12500.0
Sb0.5As0.5 ht,300.0,5300.0
Sb0.5As0.5 ht,77.0,11280.0
Sb0.5As0.5 ht,77.0,6720.0
Sb0.5As0.5 ht,77.0,6720.0
Sb0.5As0.5 ht,77.0,3980.0
Sb0.5As0.5 ht,77.0,3980.0
Sb0.5As0.5 ht,300.0,1710.0
Sb0.5As0.5 ht,77.0,2880.0
Bi2Se3 rt,50.0,4100.0
Bi2Se3 rt,298.0,2120.0
Bi2Se3 rt,154.0,750.0
Bi2Se3 rt,298.0,980.0
Bi2Se3 rt,298.0,2700.0
Bi2Se3 rt,90.0,210.0
Bi2Se3 rt,90.0,45.0
Bi2Se3 rt,90.0,917.0
Bi2Se3 rt,90.0,118.0
Bi2Se3 rt,90.0,1910.0
Bi2Se3 rt,90.0,373.0
Bi2Se3 rt,93.0,2990.0
Bi2Se3 rt,93.0,775.0
Bi2Se3 rt,300.0,2470.0
Bi2Se3 rt,300.0,2510.0
Bi2Te3 rt,294.0,660.0
Bi2Te3 rt,294.0,260.0
Bi2Te3 rt,298.0,500.0
Bi2Te3 rt,298.0,500.0
Bi2Te3 rt,298.0,338.0
CeO2 rt,873.0,5.04e-07
CeO2 rt,1173.0,0.000581
CeO2 rt,773.0,0.000101
CeO2 rt,873.0,1.1e-05
CeO2 rt,298.0,1.9e-05
CeO2 rt,882.0,3.5e-06
CeO2 rt,649.0,4.2e-08
CeO2 rt,873.0,2.7e-06
CeO2 rt,873.0,8e-05
CeO2 rt,1250.0,0.071
CeO2 rt,865.0,0.0289999999999999
CeO2 rt,873.0,1.1e-09
