formula,Tc
Ba2Cu3SmO7,95.0
Ba2Cu3SmO7,85.9
Ba2Cu3SmO7,88.1
Ba2Cu3SmO7,76.0
Ba2Cu3SmO7,84.0
Ba2Cu3SmO7,93.0
Ba2Cu3SmO7,92.6
Ba2Cu3SmO7,85.0
Ba2Cu3SmO7,61.0
Ba2Cu3SmO7,73.0
Ba2Cu3SmO7,94.0
Ba2Cu3SmO7,90.0
Ba2Cu3SmO7,87.0
Ba2Cu3SmO7,70.0
Ba2Cu3SmO7,123.6
Ba2Cu3SmO7,91.0
Ba2Cu3SmO7,89.0
Ba2Cu3GdO6.1,33.0
Ba2Cu3GdO6.1,40.0
Ba2Cu3GdO6.1,20.0
Ba2Cu3GdO6.1,32.0
Ba2Cu3GdO6.1,40.0
Ba2Cu3GdO7,92.0
Ba2Cu3GdO7,91.0
Ba2Cu3GdO7,93.0
Ba2Cu3GdO7,82.0
Ba2Cu3GdO7,93.0
Ba2Cu3GdO7,94.0
Ba2Cu3GdO7,103.0
Ba2Cu3GdO7,90.0
Ba2Cu3GdO7,93.5
Ba2Cu3GdO7,93.0
Ba2Cu3GdO7,91.0
Ba2Cu3GdO7,93.0
Ba2Cu3GdO7,87.0
Ba2Cu3GdO7,94.0
Ba2Cu3GdO7,93.0
Ba2Cu3GdO7,94.0
Ba2Cu3GdO7,88.6
Ba2Cu3GdO7,90.3
Ba2Cu3GdO7,93.4
Ba2Cu3GdO7,96.0
Ba2Cu3GdO7,91.8
Ba2Cu3GdO7,93.8
Ba2Cu3GdO7,92.2
Ba2Cu3GdO7,94.7
Ba2Cu3GdO7,94.0
Ba2Cu3GdO7,96.0
Ba2Cu3GdO7,94.5
Ba2Cu3GdO7,90.0
Ba2Cu3GdO7,91.5
Ba2Cu3GdO7,90.0
Ba2Cu3GdO7,94.2
Ba2Cu3GdO7,97.0
Ba2Cu3GdO7,80.0
Ba2Cu3GdO7,35.0
Ba2Cu3GdO7,89.0
Ba2Cu3GdO7,94.7
Ba2Cu3GdO7,94.2
Ba2Cu3GdO7,92.0
Ba2Cu3GdO7,90.0
Ba2Cu3GdO7,91.0
Ba2Cu3GdO7,88.0
Ba2Cu3GdO7,90.0
Ba2Cu3GdO7,90.0
Ba2Cu3GdO7,90.0
Ba2Cu3GdO7,93.0
Ba2Cu3GdO7,93.0
Ba2Cu3GdO7,90.0
Ba2Cu3GdO7,95.5
Ba2Cu3GdO7,90.0
Ba2Cu3GdO7,90.0
Ba2Cu3GdO7,94.5
Ba2Cu3GdO7,92.8
Ba2Cu3GdO7,90.0
Ba2Cu3GdO7,93.0
Ba2Cu3GdO7,90.0
Ba2Cu3GdO7,95.0
Ba2Cu3GdO7,93.0
Ba2Cu3GdO7,93.5
Ba2Cu3GdO7,94.0
Ba2Cu3GdO7,92.0
Ba2Cu3GdO7,93.0
Ba2Cu3GdO7,93.2
Ba2Cu3GdO7,90.0
Ba2Cu3GdO7,94.0
Ba2Cu3GdO7,86.0
Ba2Cu3GdO7,90.0
Ba2Cu3GdO7,93.0
Ba2Cu3GdO7,92.0
Ba2Cu3GdO7,92.8
Ba2Cu3GdO7,95.0
Ba2Cu3GdO7,93.0
Ba2Cu3GdO7,90.0
Ba2Cu3GdO7,92.0
Ba2Cu3GdO7,97.8
Ba2Cu3GdO7,96.4
Ba2Cu3GdO7,95.0
Ba2Cu3GdO7,89.0
Ba2Cu3GdO7,96.5
Ba2Cu3GdO7,93.8
Ba2Cu3GdO7,90.4
Ba2Cu3GdO7,92.6
Ba2Cu3GdO7,95.0
Ba2Cu3GdO7,93.0
Ba2Cu3GdO7,95.0
Ba2Cu3GdO7,92.0
Ba2Cu3GdO7,89.7
Ba2Cu3GdO7,93.0
Ba2Cu3GdO7,96.6
Ba2Cu3GdO7,94.4
Ba2Cu3GdO7,95.7
Ba2Cu3GdO7,89.4
Ba2Cu3GdO7,85.9
Ba2Cu3GdO7,96.0
Ba2Cu3GdO7,90.0
Ba2Cu3GdO7,92.0
Ba2Cu3GdO7,95.0
Ba2Cu3GdO7,94.5
Ba2Cu3GdO7,90.5
Ba2Cu3GdO7,91.0
Ba2Cu3GdO7,85.0
Ba2Cu3GdO7,93.6
Ba2Cu3GdO7,81.6
Ba2Cu3GdO7,93.4
Ba2Cu3GdO7,90.0
Ba2Cu3GdO7,129.7
Ba2Cu3GdO7,92.5
Ba2Cu3GdO7,92.0
Ba2Cu3GdO7,86.0
Ba2Cu3GdO7,90.0
Ba2Cu3GdO7,90.0
Ba2Cu3GdO7,92.1
Ba2Cu3GdO7,91.7
Ba2Cu3GdO7,94.5
Ba2Cu3GdO7,92.0
Ba2Cu3GdO7,91.0
Ba2Cu3GdO7,91.0
Ba2Cu3HoO6.1,92.0
Ba2Cu3HoO6.1,91.5
Ba2Cu3DyO7,91.19
Ba2Cu3DyO7,92.0
Ba2Cu3DyO7,91.0
Ba2Cu3DyO7,92.0
Ba2Cu3DyO7,55.0
Ba2Cu3DyO7,94.1
Ba2Cu3DyO7,90.6
Ba2Cu3DyO7,92.0
Ba2Cu3DyO7,92.0
Ba2Cu3DyO7,91.2
Ba2Cu3DyO7,91.4
Ba2Cu3DyO7,93.0
Ba2Cu3DyO7,93.0
Ba2Cu3DyO7,88.0
Ba2Cu3DyO7,88.7
Ba2Cu3DyO7,92.7
Ba2Cu3DyO7,91.2
Ba2Cu3DyO7,92.0
Ba2Cu3DyO7,90.0
Ba2Cu3DyO7,95.5
Ba2Cu3DyO7,90.0
Ba2Cu3DyO7,92.0
Ba2Cu3DyO7,97.0
Ba2Cu3DyO7,88.0
Ba2Cu3DyO7,90.0
Ba2Cu3DyO7,76.0
Ba2Cu3DyO7,93.0
Ba2Cu3DyO7,93.5
Ba2Cu3DyO7,92.0
Ba2Cu3DyO7,90.0
Ba2Cu3DyO7,90.0
Ba2Cu3DyO7,90.0
Ba2Cu3DyO7,91.0
Ba2Cu3DyO7,90.0
Ba2Cu3DyO7,90.0
Ba2Cu3DyO7,90.0
Ba2Cu3DyO7,92.0
Ba2Cu3DyO7,90.0
Ba2Cu3DyO7,89.5
Ba2Cu3DyO7,53.0
Ba2Cu3DyO7,91.1
Ba2Cu3DyO7,80.0
Ba2Cu3DyO7,90.0
Ba2Cu3DyO7,89.9
Ba2Cu3DyO7,86.0
Ba2Cu3DyO7,90.9
Ba2Cu3DyO7,93.5
Ba2Cu3DyO7,92.5
Ba2Cu3DyO7,96.1
Ba2Cu3DyO7,93.4
Ba2Cu3DyO7,95.1
Ba2Cu3DyO7,87.1
Ba2Cu3DyO7,96.0
Ba2Cu3DyO7,92.0
Ba2Cu3DyO7,91.0
Ba2Cu3DyO7,91.3
Ba2Cu3DyO7,91.0
Ba2Cu3DyO7,139.8
Ba2Cu3DyO7,92.4
Ba2Cu3DyO7,92.0
Ba2Cu3DyO7,91.9
Ba2Cu3DyO7,92.0
Ba2Cu3DyO7,91.6
Ba2Cu3DyO7,92.0
Ba2Cu3HoO7,89.39
Ba2Cu3HoO7,90.0
Ba2Cu3HoO7,77.0
Ba2Cu3HoO7,85.0
Ba2Cu3HoO7,91.0
Ba2Cu3HoO7,90.0
Ba2Cu3HoO7,46.0
Ba2Cu3HoO7,92.5
Ba2Cu3HoO7,90.0
Ba2Cu3HoO7,92.0
Ba2Cu3HoO7,90.0
Ba2Cu3HoO7,92.0
Ba2Cu3HoO7,86.6
Ba2Cu3HoO7,91.5
Ba2Cu3HoO7,92.9
Ba2Cu3HoO7,92.2
Ba2Cu3HoO7,93.0
Ba2Cu3HoO7,90.0
Ba2Cu3HoO7,96.5
Ba2Cu3HoO7,92.0
Ba2Cu3HoO7,88.0
Ba2Cu3HoO7,91.0
Ba2Cu3HoO7,93.4
Ba2Cu3HoO7,89.0
Ba2Cu3HoO7,92.9
Ba2Cu3HoO7,86.0
Ba2Cu3HoO7,100.0
Ba2Cu3HoO7,92.0
Ba2Cu3HoO7,90.0
Ba2Cu3HoO7,89.0
Ba2Cu3HoO7,91.0
Ba2Cu3HoO7,90.0
Ba2Cu3HoO7,93.0
Ba2Cu3HoO7,60.0
Ba2Cu3HoO7,94.0
Ba2Cu3HoO7,90.0
Ba2Cu3HoO7,90.0
Ba2Cu3HoO7,92.0
Ba2Cu3HoO7,93.0
Ba2Cu3HoO7,92.0
Ba2Cu3HoO7,91.5
Ba2Cu3HoO7,86.0
Ba2Cu3HoO7,92.1
Ba2Cu3HoO7,92.1
Ba2Cu3HoO7,93.4
Ba2Cu3HoO7,89.9
Ba2Cu3HoO7,92.1
Ba2Cu3HoO7,90.0
Ba2Cu3HoO7,92.0
Ba2Cu3HoO7,90.0
Ba2Cu3HoO7,89.3
Ba2Cu3HoO7,93.5
Ba2Cu3HoO7,88.8
Ba2Cu3HoO7,91.3
Ba2Cu3HoO7,95.0
Ba2Cu3HoO7,92.0
Ba2Cu3HoO7,91.5
Ba2Cu3HoO7,92.5
Ba2Cu3HoO7,93.5
Ba2Cu3HoO7,92.0
Ba2Cu3HoO7,141.9
Ba2Cu3HoO7,90.0
Ba2Cu3NdO6.5,72.0
Ba2Cu3NdO6.5,52.0
Ba2Cu3NdO6.5,64.0
Ba2Cu3NdO6.5,33.0
Ba2Cu3NdO6.5,54.1
Ba2Cu3NdO6.5,72.0
Ba2Cu4YO8 lt,80.0
Ba2Cu4YO8 lt,80.4
Ba2Cu4YO8 lt,93.0
Ba2Cu4YO8 lt,92.95
Ba2Cu4YO8 lt,79.0
Ba2Cu4YO8 lt,80.0
Ba2Cu4YO8 lt,88.0
Ba2Cu4YO8 lt,91.5
Ba2Cu4YO8 lt,81.0
Ba2Cu4YO8 lt,78.0
Ba2Cu4YO8 lt,81.0
Ba2Cu4YO8 lt,94.0
Ba2Cu4YO8 lt,94.0
Ba2Cu4YO8 lt,83.0
Ba2Cu4YO8 lt,120.0
Ba2Cu4YO8 lt,80.0
Ba2Cu4YO8 lt,77.5
Ba2Cu4YO8 lt,72.6
Ba2Cu4YO8 lt,82.6
Ba2Cu4YO8 lt,80.0
Ba2Cu4YO8 lt,82.0
Ba2Cu4YO8 lt,82.5
Ba2Cu4YO8 lt,82.0
Ba2Cu4YO8 lt,92.0
Ba2Cu4YO8 lt,76.9
Ba2Cu4YO8 lt,80.0
Ba2Cu4YO8 lt,79.0
Ba2Cu4YO8 lt,80.0
Ba2Cu4YO8 lt,83.0
Ba2Cu4YO8 lt,82.0
Ba2Cu4YO8 lt,77.0
Ba2Cu4YO8 lt,73.0
Ba2Cu4YO8 lt,55.0
Ba2Cu4YO8 lt,80.0
Ba2Cu4YO8 lt,80.0
Ba2Cu4YO8 lt,73.0
Ba2Cu4YO8 lt,79.0
Ba2Cu4YO8 lt,80.0
Ba2Cu4YO8 lt,81.5
Ba2Cu4YO8 lt,78.0
Ba2Cu4YO8 lt,77.7
Ba2Cu4YO8 lt,80.5
Ba2Cu4YO8 lt,81.0
Ba2Cu4YO8 lt,82.0
Ba2Cu4YO8 lt,82.0
Ba2Cu4YO8 lt,80.0
Ba2Cu4YO8 lt,83.0
Ba2Cu4YO8 lt,82.0
Ba2Cu4YO8 lt,72.0
Ba2Cu4YO8 lt,91.0
Ba2Cu4YO8 lt,90.5
Ba2Cu4YO8 lt,76.0
Ba2Cu4YO8 lt,79.0
Ba2Cu4YO8 lt,75.0
Ba2Cu4YO8 lt,74.3
Ba2Cu4YO8 lt,80.0
Ba2Cu4YO8 lt,80.0
Ba2Cu4YO8 lt,80.57
Ba2Cu4YO8 lt,76.0
Ba2Cu4YO8 lt,52.0
Ba2Cu4YO8 lt,81.0
Ba2Cu4YO8 lt,80.0
Ba2Cu4YO8 lt,80.0
Ba2Cu4YO8 lt,81.0
Ba2Cu4YO8 lt,81.9
Ba2Cu4YO8 lt,82.0
Ba2Cu4YO8 lt,81.0
Ba2Cu4YO8 lt,88.0
Ba2Cu4YO8 lt,80.0
Ba2Cu4YO8 lt,80.0
Ba2Cu4YO8 lt,82.0
Ba2Cu4YO8 lt,81.0
Ba2Cu4YO8 lt,95.0
Ba2Cu4YO8 lt,80.0
Ba2Cu4YO8 lt,80.0
Ba2Cu4YO8 lt,108.0
Ba2Cu4YO8 lt,97.0
Ba2Cu4YO8 lt,7.0
Ba2Cu4YO8 lt,79.2
Ba2Cu4YO8 lt,95.0
Ba2Cu4YO8 lt,117.0
Ba2Cu4YO8 lt,80.0
Ba2Cu4YO8 lt,75.0
Ba2Cu4YO8 lt,80.0
Ba2Cu4YO8 lt,80.0
Ba2Cu4YO8 lt,80.0
Ba2Cu4YO8 lt,80.0
Ba2Cu4YO8 lt,94.0
Ba2Cu4YO8 lt,81.3
Ba2Cu4YO8 lt,80.0
Ba2Cu4YO8 lt,80.0
Ba2Cu4YO8 lt,90.0
Ba2Cu4YO8 lt,80.0
Ba2Cu4YO8 lt,112.0
Ba2Cu4YO8 lt,78.0
Ba2Cu4YO8 lt,91.1
Ba2Cu4YO8 lt,82.4
Ba2Cu4YO8 lt,91.3
Ba2Cu4YO8 lt,91.9
Ba2Cu4YO8 lt,81.0
Ba2Cu4YO8 lt,81.2
Ba2Cu4YO8 lt,82.0
Ba2Cu4YO8 lt,104.0
Ba2Cu4YO8 lt,79.2
Ba2Cu4YO8 lt,80.0
Ba2Cu4YO8 lt,78.0
Ba2Cu4YO8 lt,90.0
Ba2Cu4YO8 lt,80.0
Ba2Cu4YO8 lt,74.0
Ba2Cu4YO8 lt,82.0
Ba2Cu4YO8 lt,79.6
Ba2Cu4YO8 lt,79.3
Ba2Cu4YO8 lt,79.8
Ba2Cu4YO8 lt,40.0
Ba2Cu4YO8 lt,80.0
Ba2Cu4YO8 lt,76.0
Ba2Cu4YO8 lt,81.0
Ba2Cu4YO8 lt,81.0
Ba2Cu4YO8 lt,83.0
Ba2Cu4YO8 lt,79.0
Ba2Cu4YO8 lt,81.4
Ba2Cu4YO8 lt,80.0
Ba2Cu4YO8 lt,108.0
Ba2Cu4YO8 lt,80.4
Ba2Cu4YO8 lt,81.0
Ba2Cu4YO8 lt,80.0
Ba2Cu4YO8 lt,76.0
Ba2Cu4YO8 lt,80.0
Ba2Cu4YO8 lt,80.0
Ba2Cu4YO8 lt,79.0
Ba2Cu4YO8 lt,81.0
Ba2Cu4YO8 lt,80.0
Ba2Cu4YO8 lt,80.0
Ba2Cu4YO8 lt,78.3
Ba2Cu4YO8 lt,80.0
Ba2Cu4YO8 lt,80.0
Ba2Cu4YO8 lt,80.0
Ba2Cu4YO8 lt,81.0
Ba2Cu4YO8 lt,78.0
Ba2Cu4YO8 lt,86.0
Ba2Cu4YO8 lt,81.4
Ba2Cu4YO8 lt,82.5
Ba2Cu4YO8 lt,76.0
Ba2Cu4YO8 lt,69.0
Ba2Cu4YO8 lt,79.6
Ba2Cu4YO8 lt,82.0
Ba2Cu4YO8 lt,89.7
Ba2Cu4YO8 lt,80.0
Ba2Cu4YO8 lt,83.0
Ba2Cu4YO8 lt,75.0
Ba2Cu4YO8 lt,80.0
Ba2Cu4YO8 lt,139.8
Ba2Cu4YO8 lt,72.0
Ba2Cu4YO8 lt,70.5
Ba2Cu4YO8 lt,79.5
Ba2Cu4YO8 lt,79.0
Ba2Cu4YO8 lt,81.4
Ba2Cu4YO8 lt,80.0
Ba2Cu4YO8 lt,81.9
Ba2Cu4YO8 lt,80.0
Ba2Cu4YO8 lt,81.5
Ba2Cu4YO8 lt,78.0
Ba2Cu4YO8 lt,79.0
Ba2Cu4YO8 lt,80.0
Ba2Cu4YO8 lt,80.1
Sr1.9CuBi2.1O6,7.0
Sr1.9CuBi2.1O6,11.0
Sr1.9CuBi2.1O6,9.5
Sr1.9CuBi2.1O6,8.9
Sr1.9CuBi2.1O6,21.0
Sr1.9CuBi2.1O6,8.25
Sr1.9CuBi2.1O6,5.0
Sr1.9CuBi2.1O6,4.2
Sr1.9CuBi2.1O6,20.0
Sr1.9CuBi2.1O6,4.2
Sr1.9CuBi2.1O6,5.0
Sr1.9CuBi2.1O6,4.1
Sr1.9CuBi2.1O6,7.5
Sr1.9CuBi2.1O6,9.0
Sr1.9CuBi2.1O6,8.5
Sr1.9CuBi2.1O6,9.0
Sr1.9CuBi2.1O6,7.0
Sr1.9CuBi2.1O6,6.5
Sr1.9CuBi2.1O6,3.0
Sr1.9CuBi2.1O6,10.0
Sr1.9CuBi2.1O6,5.5
Sr1.9CuBi2.1O6,7.5
Sr1.9CuBi2.1O6,10.0
Sr1.9CuBi2.1O6,7.0
Sr1.9CuBi2.1O6,8.5
Sr1.9CuBi2.1O6,19.0
Sr1.9CuBi2.1O6,20.0
Sr1.9CuBi2.1O6,40.0
Sr2CuBi2O6,4.1
Sr0.14Ca0.86CuO2,75.0
Sr0.14Ca0.86CuO2,105.0
Sr0.14Ca0.86CuO2,99.0
Sr0.14Ca0.86CuO2,100.0
Sr0.14Ca0.86CuO2,110.0
BaCu5La4O13.1,33.0
Ba2Cu3YO7.3,92.0
Ba2Cu3YO7.3,120.0
Ba2Cu3YO7.3,91.0
Ba2Cu3YO7.3,5.0
Ba2Cu3YO7.3,90.0
Ba2Cu3YO7.3,93.4
Ba5Cu8Y3O18,91.6
Ba5Cu8Y3O18,89.5
SrCuO2 hp-ht,60.0
Ba4Cu7Y2O14.6,55.0
Ba4Cu7Y2O14.6,92.3
Ba4Cu7Y2O14.6,93.3
Ba4Cu7Y2O14.6,91.5
Ba4Cu7Y2O14.6,93.6
Ba4Cu7Y2O14.6,63.9
Ba4Cu7Y2O14.6,62.0
Ba4Cu7Y2O14.6,90.8
Ba4Cu7Y2O14.6,94.0
Ba4Cu7Y2O14.6,70.0
Ba4Cu7Y2O14.6,14.0
Ba4Cu7Y2O14.6,93.6
Ba4Cu7Y2O14.6,95.0
Ba4Cu7Y2O14.6,14.2
Ba4Cu7Y2O14.6,17.4
Ba4Cu7Y2O14.6,19.1
Ba4Cu7Y2O14.6,92.9
Ba4Cu7Y2O14.6,94.8
Ba4Cu7Y2O14.6,88.0
Ba4Cu7Y2O14.6,93.0
Ba4Cu7Y2O14.6,94.0
Ba4Cu7Y2O14.6,89.0
Ba4Cu7Y2O14.6,60.0
Ba4Cu7Y2O14.6,37.0
Ba4Cu7Y2O14.6,85.5
Ba4Cu7Y2O14.6,90.0
Ba4Cu7Y2O14.6,77.1
Ba4Cu7Y2O14.6,93.1
Ba4Cu7Y2O14.6,92.0
Ba4Cu7Y2O14.6,40.0
Ba4Cu7Y2O14.6,139.8
Ba4Cu7Y2O14.6,91.0
Ba4Cu7Y2O14.6,92.0
Ba4Cu7Y2O14.6,95.0
SrTiO3 lt,0.47
SrTiO3 lt,0.43
SrTiO3 lt,0.33
Ba2Cu3EuO7 rt,93.0
Ba2Cu3EuO7 rt,95.0
Ba2Cu3EuO7 rt,91.4
Ba1.8Cu3La0.2YO7 rt,93.0
Ba1.8Cu3La0.2YO7 rt,81.0
Ba1.8Cu3La0.2YO7 rt,81.0
Ba1.8Cu3La0.2YO7 rt,27.0
Ba1.8Cu3La0.2YO7 rt,62.0
Ba1.8Cu3La0.2YO7 rt,80.0
Ba1.8Cu3La0.2YO7 rt,65.0
Ba1.8Cu3La0.2YO7 rt,92.0
Ba1.8Cu3La0.2YO7 rt,55.0
Ba1.8Cu3La0.2YO7 rt,90.0
Ba1.8Cu3La0.2YO7 rt,78.0
Ba1.8Cu3La0.2YO7 rt,91.0
Ba1.8Cu3La0.2YO7 rt,92.0
Ba1.8Cu3La0.2YO7 rt,94.0
Ba1.8Cu3La0.2YO7 rt,84.0
Ba1.8Cu3La0.2YO7 rt,91.0
Ba1.8Cu3La0.2YO7 rt,89.0
Ba1.8Cu3La0.2YO7 rt,85.0
Ba1.8Cu3La0.2YO7 rt,89.0
Ba1.8Cu3La0.2YO7 rt,88.0
Ba1.8Cu3La0.2YO7 rt,25.0
Ba1.8Cu3La0.2YO7 rt,87.0
Ba2Cu3Y0.5Pr0.5O7 tet,38.0
Ba2Cu3Y0.5Pr0.5O7 tet,85.0
Ba2Cu3Y0.5Pr0.5O7 tet,55.0
Ba2Cu3Y0.5Pr0.5O7 tet,6.0
Ba2Cu3Y0.5Pr0.5O7 tet,70.0
Ba2Cu3Y0.5Nd0.5O6.5,91.6
Ba2Cu3Y0.5Nd0.5O6.5,91.6
Ba2Cu3Y0.5Nd0.5O6.5,91.0
BaFe2As2 lt,29.0
BaFe2As2 lt,22.0
BaFe2As2 lt,33.0
BaFe2As2 lt,23.0
BaFe2As2 rt,34.0
BaFe2As2 rt,10.0
BaFe2As2 hp,12.0
BaFe2As2 hp,10.0
BaFe2As2 rt,28.4
RbW3O9 orth,2.2
Ba2Cu3PrO7,80.0
Ba2Cu3PrO7,111.4
Sr2Ca2Cu3Bi2O10 rt,110.0
ScTc2,10.9
Zr0.125Tc0.875,9.7
ZrTc2,7.6
Nb0.15Tc0.85,12.9
Nb0.15Tc0.85,10.5
YTc2,8.8
Tc stab,0.03
ThTc2,5.3
TcC cub2,3.85
TcC cub2,3.85
Th2C3 hp,4.1
Th2C3 hp,4.1
Nb0.06Tc0.94,12.8
Nb0.69Tc0.31,7.0
Nb0.69Tc0.31,7.6
HfTc2,5.6
Nb4N5 tf,10.0
YGe1.7 ht,3.8
YGe1.7 ht,3.8
LaOs2 hp-ht,5.9
LuTc2,9.9
CaSi2 hp-ht,1.58
CaSi2 hp-ht,1.37
CaSi2 hp-ht,1.37
CaSi2 hp-ht,1.35
YSe,4.0
YSe,2.4
ThS rt,0.5
RhGe4 hp,2.5
LaOs2 rt,8.9
LaOs2 rt,6.5
LaOs2 rt,9.0
LaOs2 rt,8.9
La7Pd3,6.0
YS,2.8
YS,1.6
BaAu5,0.7
Ag0.75Ge0.25 hp-ht,0.85
IrGe,4.7
IrGe,5.3
IrGe,5.17
Ta3Sb,0.72
PrRu4Sb12,0.9
PrRu4Sb12,1.25
PrRu4Sb12,1.09
PrRu4Sb12,1.1
PrRu4Sb12,2.4
PrOs4Sb12,1.887
PrOs4Sb12,1.716
PrOs4Sb12,1.85
PrOs4Sb12,1.75
PrOs4Sb12,1.95
PrOs4Sb12,1.8
PrOs4Sb12,1.85
PrOs4Sb12,1.75
PrOs4Sb12,1.85
PrOs4Sb12,1.7
PrOs4Sb12,1.5
PrOs4Sb12,1.82
PrOs4Sb12,1.72
PrOs4Sb12,1.85
PrOs4Sb12,1.75
PrOs4Sb12,1.86
PrOs4Sb12,1.75
PrOs4Sb12,1.85
PrOs4Sb12,1.83
PrOs4Sb12,1.85
PrOs4Sb12,1.85
PrOs4Sb12,1.6
PrOs4Sb12,0.85
PrOs4Sb12,1.8
PrOs4Sb12,1.0
PrOs4Sb12,1.87
PrOs4Sb12,1.85
PrOs4Sb12,1.81
PrOs4Sb12,1.64
PrOs4Sb12,1.51
PrOs4Sb12,1.34
PrOs4Sb12,1.87
PrOs4Sb12,1.72
PrOs4Sb12,1.85
PrOs4Sb12,1.73
PrOs4Sb12,1.88
PrOs4Sb12,1.32
PrOs4Sb12,1.85
PrOs4Sb12,1.55
PrOs4Sb12,1.85
PrOs4Sb12,1.85
PrOs4Sb12,1.73
PrOs4Sb12,1.5
PrOs4Sb12,1.8
PrOs4Sb12,1.75
PrOs4Sb12,0.45
PrOs4Sb12,1.81
PrOs4Sb12,1.86
PrOs4Sb12,1.84
PrOs4Sb12,1.71
PrOs4Sb12,1.2
PrOs4Sb12,1.85
PrOs4Sb12,1.75
PrOs4Sb12,1.8
PrOs4Sb12,1.85
PrOs4Sb12,1.85
PrOs4Sb12,0.47
PrOs4Sb12,1.72
PrOs4Sb12,1.7
PrOs4Sb12,1.85
PrOs4Sb12,1.74
PrOs4Sb12,1.85
PrOs4Sb12,1.74
PrOs4Sb12,1.8
PrOs4Sb12,1.8
PrOs4Sb12,1.88
PrOs4Sb12,1.81
PrOs4Sb12,1.8
PrOs4Sb12,1.88
PrOs4Sb12,1.72
PrOs4Sb12,1.85
PrOs4Sb12,1.77
LaOs4Sb12,0.74
LaOs4Sb12,0.75
LaOs4Sb12,0.74
LaOs4Sb12,3.5
LaOs4Sb12,0.74
LaOs4Sb12,0.74
LaOs4Sb12,0.75
LaOs4Sb12,1.0
LaOs4Sb12,0.74
LaOs4Sb12,0.74
LaRu4Sb12,3.75
LaRu4Sb12,3.5
LaRu4Sb12,4.1
LaRu4Sb12,2.8
LaRu4Sb12,2.8
YbFe4Al8,50.0
YbFe4Al8,50.0
LaPt2Si2 rt,1.42
LaPt2Si2 rt,1.31
LaPt2Si2 rt,2.2
LaPd2Ge2,1.12
LaPt2Ge2 ht,0.55
LaPt2Ge2 ht,1.95
Cu2UGe2,107.0
LuPd2Si2,0.67
LaPd2Si2,2.9
LaPd2Si2,0.39
HfRhGe2,2.98
HfRhGe2,3.01
ZrRhGe2,2.98
Y2Rh3Si5 orth,2.7
LaRuSn3,1.5
Ba2Mo15Se19,2.75
K2Mo15S19,3.32
WNiP,4.9
WNiP,4.9
MoNiP,15.5
MoNiP,15.5
Mo6SnSe8,6.8
Mo6SnSe8,6.85
Mo6SnSe8,6.82
Mo6SnSe8,6.8
Mo6SnSe4S4,8.1
Mo6SnSe4S4,7.9
Mo6SnSe4S4,7.02
Mo6SnSe4S4,7.6
Mo6SnSe4S4,12.85
Mo6PbSe4S4,4.45
Mo6PbSe4S4,4.45
Mo6PbSe4S4,4.5
Mo6PbSe4S4,4.5
Zr0.27V2.73Si,13.2
PrRh4B4 ht-hp,5.1
PrRh4B4 ht-hp,4.6
Pd3Bi2Se2,0.96
Pd3Bi2Se2,0.81
Pd3Bi2S2 mon,0.6
Hf0.02W0.39Os0.59,3.38
Zr0.19Mo0.37Ru0.44,4.44
Y5Os4Si14,10.8
Y5Os4Si14,10.8
Ca0.67Pt3B2,1.57
Sr0.67Pt3B2,2.78
V3Al0.5Sn0.5,5.95
TlMo3Se3 rt,4.0
TlMo3Se3 rt,6.5
TlMo3Se3 rt,1.75
TlMo3Se3 rt,7.0
TlMo3Se3 rt,3.0
TlMo3Se3 rt,1.2
TlMo3Se3 rt,2.0
TlMo3Se3 rt,5.1
TlMo3Se3 rt,5.8
TlMo3Se3 rt,4.2
TlMo3Se3 rt,5.84
Mo3InSe3,2.85
ThOs1.2Ru0.8,3.6
ThOsIr,1.2
ThRuIr,4.9
YRu3Si2,3.51
LaRu3Si2,7.5
LaRu3Si2,5.0
LaRu3Si2,6.5
LaRu3Si2,6.6
LaRu3Si2,7.2
LaRu3Si2,6.5
ThRu3Si2,3.98
Mo0.4Ru0.4Rh0.1Pd0.1,5.0
Ag0.8Mo3.2S4,9.1
Tl0.39V3S4,4.4
Tl0.39V3S4,3.7
TaSnS2,2.8
V1.5Cr1.5Si,11.3
Mo0.93Ga0.67Ge1.4,6.12
Ta2CS2 rt,9.0
Ta2CS2 rt,3.6
Ta2CS2 rt,2.0
V3Ga0.5Si0.5,9.5
SrMo6S8 lt,9.0
SrMo6S8 lt,4.7
NpMo6Se8,5.6
NpMo6Se8,6.0
Mo2RuTe4,1.7
Mo2RuTe4,2.05
Mo2RuTe4,1.71
Ba2CaCu2Tl2O8,120.0
Ba2CaCu2Tl2O8,110.0
Ba2CaCu2Tl2O8,120.0
Ba2CaCu2Tl2O8,104.0
Ba2CaCu2Tl2O8,104.33
Ba2CaCu2Tl2O8,108.0
Ba2CaCu2Tl2O8,79.0
Ba2CaCu2Tl2O8,105.0
Ba2CaCu2Tl2O8,88.0
Ba2CaCu2Tl2O8,105.3
Ba2CaCu2Tl2O8,114.0
Ba2CaCu2Tl2O8,109.0
Ba2CaCu2Tl2O8,106.0
Ba2CaCu2Tl2O8,107.0
Ba2CaCu2Tl2O8,101.0
Ba2CaCu2Tl2O8,105.0
Ba2CaCu2Tl2O8,105.0
Ba2CaCu2Tl2O8,80.0
Ba2CaCu2Tl2O8,110.0
Ba2CaCu2Tl2O8,102.0
