formula,Tc
U6Fe,3.9
U6Fe,3.86
U6Fe,3.7
U6Fe,3.98
U6Fe,3.85
U6Fe,3.75
U6Fe,3.76
U6Fe,3.86
U6Fe,3.9
U6Fe,3.86
U6Fe,3.9
U6Fe,3.95
U rt,0.2
U rt,2.4
U rt,0.4
U rt,0.2
U rt,1.7
U rt,2.4
U rt,0.27
Se rt,4.7
Se rt,5.6
Mn rt,10.0
Hf0.013V0.987,5.34
Ir,0.1125
Ir,7.0
Ir,1.45
NaHg2,1.62
Na rt,1.48e-06
Na rt,0.0435
Na rt,0.0959
Na rt,0.1276
Na rt,0.0133
Na rt,0.0
Na rt,0.0
Sr ht/hp1,0.0
Sr ht/hp1,3.5
Sr ht/hp1,3.9
Sr rt,0.0
HgZr3,0.35
In0.75Sn0.25 rt,3.4
In0.75Sn0.25 rt,5.5
In0.75Sn0.25 rt,4.0
In0.75Sn0.25 rt,3.86
In0.75Sn0.25 rt,3.67
In0.75Sn0.25 rt,3.53
In0.75Sn0.25 rt,5.38
In0.75Sn0.25 rt,5.65
In0.75Sn0.25 rt,5.92
In0.75Sn0.25 rt,6.3
ScIr2,2.07
K rt,0.0067
K rt,0.4521
K rt,0.6654
K rt,0.7702
K rt,0.2678
K rt,0.0
K rt,0.0
Te rt,3.3
Te rt,2.8
Te rt,5.5
La3Ni,2.2
La3Ni,2.4
La3Ni,6.2
La7Ni3,2.1
La7Ni3,2.1
Lu,0.022
Lu,0.1
Lu,0.022
Lu,1.0
Lu,3.738
Lu,1.333
Lu,0.0
Mg21Zn25,0.9
Mo0.6Ru0.4 ht,7.18
Mo0.5Ru0.5,10.5
Nb0.75Si0.25 tf,9.12
Nb0.75Si0.25 tf,8.6
Nb0.75Si0.25 tf,1.5
Ti0.5Nb0.5 ht,7.73
Ti0.5Nb0.5 ht,6.37
Ti0.5Nb0.5 ht,9.8
Ti0.5Nb0.5 ht,11.37
Ti0.5Nb0.5 ht,9.4
Ti0.5Nb0.5 ht,7.27
Ti0.5Nb0.5 ht,9.46
Ti0.97Nb0.03 rt,10.2
Ti0.97Nb0.03 rt,10.1
V3.1Ni0.9 rt,0.57
V3.1Ni0.9 rt,0.78
V3.1Ni0.9 rt,0.3
NbN rt,16.5
NbN rt,15.3
NbN rt,15.9
NbN rt,23.0
NbN rt,15.3
NbN rt,6.0
NbN rt,17.1
NbN rt,16.8
NbN rt,15.5
NbN0.75,10.5
NbN ht2,15.5
NbN ht2,15.5
NbN ht2,17.1
NbN ht2,17.0
NbN ht2,14.6
NbN ht2,16.2
NbN ht2,17.0
NbN ht2,17.0
NbN ht2,12.2
NbN ht2,14.2
NbN ht2,16.4
NbN ht2,16.1
NbN ht2,16.4
NbN ht2,15.8
NbN ht2,17.1
NbN ht2,15.4
NbN ht2,16.4
NbN ht2,16.0
NbN ht2,15.8
NbN ht2,13.3
NbN ht2,16.8
NbN ht2,17.0
NbN ht2,15.0
NbN ht2,14.0
NbN ht2,13.5
NbN ht2,13.3
NbN ht2,12.3
NbN ht2,13.0
NbN ht2,15.5
NbN ht2,9.0
NbN ht2,14.5
NbN ht2,16.1
NbN ht2,14.9
NbN ht2,17.3
NbN ht2,15.3
NbN ht2,12.9
NbN ht2,16.0
NbN ht2,16.0
NbN ht2,14.5
NbN ht2,16.0
NbN ht2,13.3
NbN ht2,12.1
TaN ht,6.5
TaN ht,14.6
TaN ht,8.9
TaN ht,4.84
TaN ht,14.0
TaN ht,13.1
TaN ht,14.3
TaN ht,8.91
TaN ht,8.68
TiN ht,2.8
TiN ht,5.43
TiN ht,2.0
TiN ht,4.6
TiN ht,5.5
TiN ht,5.7
TiN ht,4.2
PdPb2,3.01
