formula,Bulk Modulus (GPa)
CdTe rt,41.4
CdTe rt,40.8
CdTe rt,42.4
CdTe rt,41.0
CdTe rt,40.2
CdTe rt,59.0
CdTe rt,42.0
CdTe rt,0.5
CdTe rt,23.3
CdTe rt,29.5
CdTe rt,44.5
CdTe rt,53.2
CdTe rt,44.2
CdTe rt,40.7
CdTe rt,42.4
CdTe rt,42.0
CdTe rt,52.0
CdTe rt,45.0
CdTe rt,38.1
Cr0.95Ru0.05,193.0
Mn0.3Fe0.7 rt,111.88
Fe1.11Te rt,36.0
GaSb rt,55.0
GaSb rt,59.0
GaSb rt,56.0
GaSb rt,57.9
GaSb rt,56.9
GaSb rt,61.0
GaSb rt,57.0
GaSb rt,59.0
GaSb rt,55.4
GaSb rt,54.9
GaSb rt,79.94
GaSb rt,84.0
GaSb rt,60.0
GaSb rt,55.0
GaSb rt,57.8
GaSb rt,57.0
GaSb rt,63.0
FeRh rt,205.0
FeRh rt,221.0
Sb2O3 sen,20.0
Sb2O3 sen,25.0
Sb2O3 sen,27.0
[Br2] lt,17.22
[Br2] lt,15.2
PrAl2 rt,74.8
Au0.5Fe0.5 ht,246.0
Re3B orth,320.0
Re3B orth,389.0
Re3B orth,389.0
Re7B3,438.0
Re7B3,385.0
Re7B3,385.0
Re7B3,385.0
MnS rt,81.0
PdTe2,101.5
AmO2,300.0
Am rt,30.0
Pu0.5Am0.5,30.0
AuGa2,81.0
AuGa2,87.4
AuGa2,98.0
CeB6 rt,166.0
CeB6 rt,159.0
CeB6 rt,166.0
GdNi2,100.0
PdSn2 rt,104.4
PdSn3,83.8
PdSn4,75.3
USi3 ht,125.0
USi2 ht,140.0
USi2 ht,135.9
USi (O),111.0
USi (O),113.0
LaBi,55.0
LaBi,52.1
LaBi,51.2
LaBi,46.4509
LaBi,55.625
CdSe rt hex,62.0
CdSe rt hex,53.0
CdSe rt hex,62.0
CdSe rt hex,55.0
SbO2 cer,143.0
TiPd2 rt tet,150.5
TiPd2 rt orth,152.1
YbAl3,65.2
YbAl3,92.3
BaSi,44.0
GdB6,175.0
InN rt,126.0
InN rt,125.0
InN rt,125.5
InN rt,146.0
InN rt,118.3
UAl2 rt,84.0
UAl2 rt,82.0
UAl3,98.07
UAl3,108.0
V2C rt,242.0
UGa3,67.0
UGa3,73.0
UGa3,72.0
UGa3,76.0
UGa3,79.521
UGa3,99.0
UMn2 rt,149.0
SmNi2,100.0
PuO2 rt,360.0
Fe1.5Si0.5 ht,222.0
Fe1.5Si0.5 ht,214.0
FeSi ht-hp,279.5
Fe2Si ht,255.0
Ru2Ge3 rt,201.0
UNi2 rt,189.0
UNi2 rt,187.9
UNi2 rt,190.7
KCl rt,19.7
KCl rt,18.0
KCl rt,19.6
KCl rt,17.4
KCl rt,17.35
KCl rt,20.5
KCl rt,26.9
KCl rt,20.8
KCl rt,37.0
KCl rt,18.0
AgInTe2 rt,29.6
AgInTe2 rt,37.0
AgInTe2 rt,36.0
CoNi0.2Al0.8,188.0
Co0.35Ni0.65 ht,257.3
TiCr0.3Al2.7,115.0
CuLuAl rt,130.0
CuLuAl rt,149.0
UFe2Al10,132.0
UFe4Al8,148.0
MgAl2O4 cub,220.0
TiNb0.5Al0.5 ht cub,119.4
Pt3Al ht2,246.0
Ti0.32Al0.68N,189.0
Ti0.5Al0.5N,258.19
Ti0.5Al0.5N,265.0
PtAl2,161.0
PtAl2,145.7
B6As,181.7
BAs rt,148.0
BAs rt,149.0
BAs rt,138.0
BAs rt,131.0
BAs rt,147.0
BAs rt,224.0
BAs rt,137.0
BAs rt,140.0
BAs rt,137.0
CeAs rt,69.0
CeAs rt,73.0
GaSb0.5As0.5 lt,59.2
GaSb0.5As0.5 lt,53.1
GaSb0.5As0.5 lt,65.8
GaSb0.5As0.5 lt,59.1
BaCl2 hp2,69.3
BaCl2 hp2,71.8
LiCl hp cub1,28.0
LiCl hp cub1,31.0
LiCl hp cub1,34.1
LiCl hp cub1,29.68
LiCl hp cub1,33.9
LiCl hp cub1,32.0
BaS rt,55.8
BaS rt,55.0
BaS rt,48.0
B2O3 rt,26.0
B2O3 rt,47.0
BN cub,416.0
BN cub,364.3
BN cub,342.3
BN cub,358.0
BN cub,367.0
BN cub,378.0
BN cub,346.0
BN cub,402.0
BN cub,3.73
BN cub,369.0
BN cub,398.6
BN cub,381.0
BN cub,393.0
BN cub,371.0
BN cub,403.0
BN cub,404.0
BN cub,402.0
BN cub,380.0
BN cub,740.0
BN cub,391.8
BN cub,400.0
BN cub,361.0
BN cub,369.0
BN cub,378.0
BN cub,401.0
BN cub,403.25
BN cub,313.0
BN cub,400.0
YbB2,182.2
Fe4Bi2O9,74.0
FeBiO3 hp V,138.8
FeBiO3 ht1,305.4
FeBiO3 ht1,122.0
FeBiO3 rt,130.9
FeBiO3 rt,89.8
FeBiO3 rt,105.9
FeBiO3 rt,100.0
FeBiO3 rt,122.0
Bi4Te3,52.0
Mo2NiB2,167.0
SiO2 rt,33.7
SiO2 rt,48.0
SiO2 rt,38.0
SiO2 rt,302.3
SiO2 rt,37.1
SiO2 rt,37.7
SiO2 rt,34.4
SiO2 rt,37.0
SiO2 rt,34.74
SiO2 rt,34.0
SiO2 rt,38.5
CsBr rt,14.2
CsBr rt,16.9
CsBr rt,14.3
CsBr rt,14.8
RbBr rt,15.0
RbBr rt,13.0
RbBr rt,13.24
RbBr rt,14.9
RbBr rt,14.0
MgF2 rt,101.0
MgF2 rt,98.0
MgF2 rt,97.0
Cd[MoO4],112.0
Cd[MoO4],126.0
Cd[MoO4],86.0
Cd[MoO4],98.2
Cd[MoO4],96.7
CeP rt,64.0
CeP rt,62.0
CeFe4Sb12,88.0
CeFe4Sb12,74.0
CePd rt,67.0
Mn1.1Sb,50.6
CsCl rt,16.2
CsCl rt,20.6
CsCl rt,16.7
CsCl rt,17.0
CsCl rt,18.0
RbCl ht,17.2
RbCl ht,15.6
RbCl ht,15.58
RbCl ht,17.9
RbCl ht,15.0
PbCl2 rt,34.0
TaC0.5N0.5,363.41
Fe1.5Co1.5N,111.0
FeCo2Si rt,240.0
FeCo2Si rt,279.5
FeCo2Si rt,204.0
CoO ht rt,178.3
CoO ht rt,190.5
CoO ht rt,160.0
SiC 3C,248.0
SiC 3C,234.0
SiC 3C,245.0
SiC 3C,2.3e-08
SiC 3C,215.7
SiC 3C,208.6
SiC 3C,208.6
SiC 3C,185.0
SiC 3C,244.0
SiC 3C,249.4
SiC 3C,467.0
SiC 3C,259.0
SiC 3C,540.0
SiC 3C,216.0
SiC 3C,224.0
SiC 3C,210.0
SiC 3C,240.0
SiC 3C,200.0
Cr0.57Mn0.43,109.0
CrSb rt,79.05
CrSb rt,79.99
LaF3 ht,95.0
LaF3 ht,121.53
CsI rt,11.89
CsI rt,15.0
CsI rt,11.4
CsI rt,11.95
CsI rt,11.89
CsI rt,12.1
CsI rt,11.1
CsI rt,11.9
CsI rt,11.95
Eu2O3 rt,145.0
EuO,110.0
EuO,110.0
EuO,113.0
EuO,114.0
EuO,118.0
EuO,92.0
HgSe rt,51.6
HgSe rt,49.5
HgSe rt,50.0
HgSe rt,41.8
HgSe rt,57.6
HgSe rt,51.9
HgSe rt,50.0
HgSe rt,54.0
Cu2NdSi2,144.0
Cu0.5TiNi0.5 cub,196.08
Dy2O3 rt,191.0
Dy2O3 rt,187.0
Eu2O3 ht1,140.0
Eu2O3 ht2,151.0
NaF rt,55.8
NaF rt,49.0
NaF rt,43.5
NaF rt,46.5
NaF rt,46.48
NaF rt,46.0
NaF rt,56.7
NaF rt,45.6
NaF rt,44.0
RbF rt,28.2
RbF rt,26.68
RbF rt,33.8
RbF rt,25.0
LaGaO3 rt,172.4
LaGaO3 rt,238.0
LaGaO3 rt,153.0
LaGaO3 rt,147.5
Gd2O3 ht1,133.2
Gd2Zr2O7 ht,186.0
Gd2Zr2O7 ht,161.5
RbI hp1,12.5
RbI hp1,10.49
RbI hp1,11.3
RbI hp1,11.0
TlI rt,17.1
Mg2[SiO4] for,138.0
Mg2[SiO4] for,135.7
Sm2O3 rt,127.1
SrMnO3 4H,126.0
SrMnO3 4H,136.0
SrO rt,91.5
SrO rt,107.0
SrO rt,87.0
SrO rt,91.0
Re2P,330.2
Re2P,304.0
Re2P,333.2
PdO rt,280.0
ThTi2O6 ht,99.6
ThTi2O6 ht,151.2
Sb2Te3 rt,45.0
Sb2Te3 rt,54.7
Sb2Te3 rt,36.1
AgGaS2 tet,60.0
AgGaS2 tet,90.0
AgGaS2 tet,60.0
AgGaS2 tet,60.0
AgGaS2 tet,9.11
AgGaS2 tet,81.226
AgGaS2 tet,70.0
AgGaS2 tet,60.8
AgGaS2 tet,74.3
AgGaS2 tet,71.0
AgInSe2 rt,42.0
AgInSe2 rt,50.0
AgInSe2 rt,49.0
Ru0.25Co0.75,427.0
Al4SiC4,179.0
Li8Al3Si5,50.35
Li8Al3Si5,50.84
Y3Al5O12 ht,187.0
Y3Al5O12 ht,174.4
Y3Al5O12 ht,182.6
YAlO3 ht,188.0
AuIn2,56.0
AuIn2,74.1
BaTiO2.85 6H,110.0
ScC rt,173.6
ScC rt,178.7
BeO rt,239.0
BeO rt,226.0
BeO rt,283.0
BeO rt,227.6
BeO rt,252.0
BeO rt,212.0
BeO rt,212.0
ErB12,214.0
ErB12,217.0
GdB3O6,130.82
HoB12 rt,213.0
HoB12 rt,215.0
HoB4 rt,195.0
HoB4 rt,198.2
HoB4 rt,188.4
HoB4 rt,195.0
HoB4 rt,188.4
HoB4 rt,198.2
CeBi rt,50.0
SeO2 tet,75.0
Yb2O3 rt,181.0
YB4,185.0
YB4,180.7
YB6,154.0
YB6,179.0
YB6,190.0
CsCdBr3,21.2
KBr rt,17.0
KBr rt,14.8
KBr rt,14.64
KBr rt,17.0
KBr rt,15.0
LiBr rt,28.1
LiBr rt,23.52
LiBr rt,26.1
LiBr rt,27.0
Ca[MoO4],82.0
Ca[MoO4],80.4
Ca[MoO4],79.3
Ca[MoO4],79.9
Ca[MoO4],90.1
Ca[MoO4],88.4
Ca3[PO4]2 rt,79.5
Ca3[PO4]2 rt,80.6
Ca3[PO4]2 rt,83.4
Cd0.51In0.33Te,0.5
Cd0.51In0.33Te,0.45
CeF3,113.23
CeCoIn5,76.1
CeCoIn5,72.8
RuGa2,186.0
CeNi2Ge2 m,86.7
CePt2Si,119.0
CePt3Si,100.0
NdF3,121.18
LaP,70.7825
LaP,80.557
PrCoO3 rt,168.0
CuCrO2 rt,126.8
CuGaS2 rt,96.0
CuGaS2 rt,94.0
CuGaS2 rt,63.0
CuGaS2 rt,122.0
CuGaS2 rt,87.6
CuGaS2 rt,96.08
CuGaS2 rt,97.0
CuGaS2 rt,118.0
CuGaS2 rt,63.0
CuGaS2 rt,94.0
CuGaS2 rt,82.0
CuGaS2 rt,75.1
CuGaS2 rt,85.5
CuGaS2 rt,92.0
Gd2O3 rt,188.0
Cu2GdSi2,154.0
CuInSe2 rt,53.6
CuInSe2 rt,48.2
CuInSe2 rt,63.0
CuInSe2 rt,59.0
CuInTe2 rt,36.0
CuInTe2 rt,45.4
CuInTe2 rt,45.0
CuInTe2 rt,43.0
CuLa2O4 rt,122.0
KI rt,14.1
KI rt,11.7
KI rt,11.51
KI rt,13.4
KI rt,13.0
EuTe hp cub1,40.0
EuTe hp cub1,40.0
EuTe hp cub1,37.2
EuTe hp cub1,43.0
Fe[PO4] rt,31.3
Y3Fe5O12,163.0
Y3Fe5O12,71.3
Y3Fe5O12,79.3
Y3Fe5O12,79.0
Y3Fe5O12,173.5754
PrP,74.0
PrF3 rt,108.11
LiYF4 rt,77.3
LiYF4 rt,81.0
LiYF4 rt,84.8
LiYF4 rt,84.1
LiYF4 rt,84.4
Na1.5Nd1.5F6,75.4
GdMnO3 rt orth,156.0
GdMnO3 rt orth,175.0
GdP rt,94.16
UGe3,136.0
Hf[SiO4],235.0
Ho2O3 rt,206.0
Ho2O3 rt,178.0
ZrMn2 rt,196.0
ZrMn2 rt,180.0
ZrMn2 rt,173.0
ZrMn2 rt,181.0
ZrMn2 rt,195.0
ZrMn2 rt,149.4
LaMnO3 orth,65.7
LaMnO3 orth,95.9
LaMnO3 orth,73.0
LaMnO3 orth,118.4
La2Zr2O7,171.0
Li2O rt,82.0
Li2O rt,90.0
Li2O rt,105.0
Li4[SiO4] tricl,74.06
Lu2O3,214.0
Lu2O3,237.0
Lu2O3,113.5
Zn0.9874Mn0.0126S,129.4
ZnS ht,78.5
Zn0.9Mn0.1S,89.8
Sr[MoO4],73.0
Sr[MoO4],81.79
Sr[MoO4],70.3
Sr[MoO4],69.8
Sr[MoO4],70.1
Sr[MoO4],73.0
Sr[MoO4],71.0
MoSe2 2H,45.7
PrSb rt,56.0
PrSb rt,44.0
SrZrO3 rt orth,147.5
SrZrO3 rt orth,157.37
TmTe,46.0
TmTe,46.0
TmTe,45.0
TmTe,40.0
TmTe,30.0
TmTe,31.6
TmTe,49.0
AgBr0.5Cl0.5,43.093
CuBr rt,36.6
CuBr rt,58.8
CuBr rt,68.8
CuBr rt,43.528
AgI m,24.0
AgI m,38.3
AgI m,19.6
CuCl rt,38.1
CuCl rt,68.6
CuCl rt,98.7
CuCl rt,38.1
CuCl rt,48.38
AgGaTe2,35.7
AgGaTe2,43.0
AgGaTe2,42.0
LaC2 rt,76.3
Al2.67O4 m-gamma cub,219.0
Al2CO hp,186.0
Dy2O3 ht1,140.5
Dy2O3 ht1,179.0
Er2O3 ht,146.9
Ho2O3 ht1,133.1
Ho2O3 ht1,200.0
LaAlO3 ht,265.3
Lu3Al5O12,220.9987
Nb0.35Ni3Al0.65 rt,144.9
V0.2Ni3Al0.8,2.4e-07
Sm2O3 ht1,126.0
Sm2O3 ht1,224.0
Sm2O3 ht1,125.0
Tb2O3 mon,137.2
Yb3Al5O12,219.3696
CdSe rt cub,55.8
CdSe rt cub,52.6
CdSe rt cub,50.4
CdSe rt cub,53.0
CdSe rt cub,53.0
CdSe rt cub,66.5
CdSe rt cub,55.0
CdSe rt cub,52.6
CdSe rt cub,53.0
CdSe rt cub,66.0
CdSe rt cub,55.0
ErAs rt,93.7
ErAs rt,93.7
GdAs rt,86.04
HgI2 rt,704000.0
HgI2 rt,134.0
HgI2 ht1,846500.0
HgI2 ht1,52.4
HgI2 ht1,210.7
BaBiO3 ht2,60.0
BaBiO3 ht2,30.0
BaBiO3 ht2,110.0
BaBiO3 ht2,130.0
BaCl2 lt,69.8
BaTiO3 ht,112.2
GdN,192.0
GdN,140.0
GdN,158.0
GdN,188.47
CuI rt,34.4
GeO2 rt,247.0
[GeO4]3Bi4,48.0
Bi12SiO20,36.0
Bi12SiO20,63.0
SrBi2O4,17.6
UB12 rt,250.0
UB12 rt,249.0
UB2 rt,225.0
UB4 rt,181.0
NdBr3 rt,15.5
NdBr3 rt,18.0
Ca[CrO4] rt,103.7
Ca[CrO4] rt,125.1
Ca[CrO4] rt,81.0
Ca[CrO4] rt,94.0
MoS2 2H,206.527
MoS2 2H,63.361
CaSiO3 rt tricl,101.0
CaSiO3 rt tricl,74.0
CaSiO3 hp1,76.0
CaTiO3 rt,181.0
CaTiO3 rt,148.82186
CaTiO3 rt,177.36
CaTiO3 rt,172.0
CaZrO3 rt,149.0
Cd0.5Mn0.5Te cub,47.1
Cd0.5Mn0.5Te cub,37.12
Zn0.5Cd0.5Se rt,62.4
Cu2CeIn,97.0
Cu2CeIn,97.2
Cu2CeSi2 lt,126.0
TiC0.5N0.5,250.0
TiC0.5N0.5,273.0
CoF2 rt,108.7
LaCoO3 rt,122.0
LaCoO3 rt,165.0
LaCoO3 rt,26.0
LiCoO2 rt rhom,149.0
LiCoO2 rt rhom,168.5
LiCoO2 rt rhom,142.9
Co0.7Pt0.3 ht,248.8
Cr2FeS4 rt,85.4
CuInS2 rt,71.1
CuInS2 rt,64.0
CuInS2 rt,74.0
Cu4YbIn rt,112.0
Cu4YbIn rt,102.0
LaSb,72.0
LaSb,51.7395
LaSb,60.0381
Cu2TbSi2,156.0
Dy[VO4] rt,141.0
Dy[VO4] rt,115.2
Dy[VO4] rt,127.1
EuS rt,61.0
EuS rt,71.8
EuS rt,61.0
EuS rt,33.0
EuS rt,59.0
Gd3Fe5O12,174.0
Gd3Fe5O12,172.3694
GeO2 ht,34.3
TiFeO3 rt,191.0
SrF2 rt,68.5
URh3,133.0
URh3,133.0
Gd3Ga5O12,168.0
Ga2O3 hp1,210.0
Ga2O3 hp1,250.0
Ga2O3 hp1,223.0
Ga2O3 hp1,243.0
Sm3Ga5O12,169.0
Gd5Ge2.1Si1.9,68.5
Gd2O3 ht2,137.2
Gd2O3 ht2,160.0
Tb2O3 trig,136.9
Hf0.5Ti0.5O2,147.0
HgS rt,19.4
HgS rt,37.0
HgS rt,18.0
HgS rt,22.0
HgS rt,55.3
HgS rt,68.6
LiI rt,23.2
LiI rt,17.26
LiI rt,19.2
LiI rt,20.0
Ho2Ti2O7 rt,183.0
Ho2Ti2O7 rt,213.0
TlI ht,14.7
TlI ht,45.0
VO2 rt mon,141.7
Sc2[MoO4]3 rt,32.0
Tl2[MoO4] ht2,24.6
NaV2O5 rt,24.0
NaV2O5 rt,36.2
NaV6O15 rt,53.8
NaV6O15 rt,72.0
Nd2TiO5,100.0
TiPbO3 rt,90.0
Sc2[WO4]3,31.0
Sc2[WO4]3,45.0
Sm2O3 ht2,142.0
Sm2O3 ht2,127.0
Tb[VO4] rt,137.0
Tb[VO4] rt,122.0
Tb[VO4] rt,112.8
Tb[VO4] rt,124.3
Yb2Ti2O7,219.0
Zr0.50Ti0.50O2 ht,144.0
Y[VO4],120.33
Y[VO4],142.82
Y[VO4],140.0
Y[VO4],118.2
Y[VO4],130.5
AlF3 ht,141.0
As2O5 rt,78.4
As2O5 rt,88.62
As2O5 rt,79.29
As2O5 rt,78.1
As2O5 rt,77.16
Sc3AlN,111.3
Sc3AlN,111.4
Sc3AlN,111.4
VN rt,305.3
VN rt,232.4
VN rt,347.0
VN rt,345.0
LiBaF3,75.9
BP rt,171.0
BP rt,164.6
BP rt,158.0
BP rt,167.9
BP rt,165.0
BP rt,165.0
BP rt,166.0
BP rt,160.0
BP rt,176.0
BP rt,259.0
BP rt,173.0
BP rt,167.0
BP rt,166.0
BP rt,159.0
Bi4[SiO4]3,230.0
Bi[VO4] ht,142.0
Bi[VO4] ht,127.5
Bi[VO4] ht,141.3
ErFe2H3 hp,85.85
MgFe2O4,170.5
MgFe2O4,179.0
MgFe2O4,179.0
Mg0.5Fe0.5O,177.0
Mg0.5Fe0.5O,166.0
Na1.5Gd1.5F6,72.4
SnI4 hp,7.9
K[OH] lt,23.2
Eu2As2 rt,46.0
Mo3Te4,35.66
Fe0.5Co0.5Si,178.0
Cu0.5Fe2.5O4 ht,103.19
Cu1.5Zr0.75Ti0.75 hex,120.4
Er[VO4] rt,141.0
Er[VO4] rt,119.6
Er[VO4] rt,132.2
LaFe4Sb12,115.82
Mn0.175Fe0.65Ni0.175,100.0
Mn0.175Fe0.65Ni0.175,150.0
Mo3Fe3N,368.0
Fe2NiO4,112.5
Fe2NiO4,91.5
TmGa2 rt,86.0
[NH2OH],8.9
U0.1Zr0.8Nb0.1,106.0
U0.1Zr0.8Nb0.1,115.0
Zr[SiO4] rt,228.0
Zr[SiO4] rt,230.0
Zr[SiO4] rt,215.0
Zr[SiO4] rt,215.0
Zr[SiO4] rt,215.5
SrZrO3 ht3,160.0
Al0.37Ga0.63As,74.8
Al4Bi2O9,122.0
Al4Bi2O9,108.0
Al4Bi2O9,120.0
Al4Bi2O9,148.0
Mg0.16Cd0.84 ht,32.3
Al[PO4] rt,34.0
Al[PO4] rt,37.88
Al[PO4] rt,30.23
Al2[WO4]3 ht,48.0
Ga[AsO4] rt,17.6
MnAs rt,73.0
BaMnF4 rt,53.0
Ba[OH]2 ht,35.0
Ba[MoO4],56.0
Ba[MoO4],59.0
Ba[MoO4],57.9
Ba[MoO4],59.7
CaHfO3 ht2,163.0
CaSiO3 rt mon1,101.0
Th3N4,175.0
ZrC0.5N0.5,210.0
Pb[CrO4] ht1,57.0
Cs[N3] rt,18.0
US rt,105.0
US rt,106.4
US rt,109.0
US rt,92.0
US rt,103.0
CuGeO3 rt,52.47
Eu3Fe5O12,155.0
Eu3Fe5O12,172.3812
FeGaO3,230.0
Mn3.6Fe0.4N0.9,490.0
Mn3.6Fe0.4N0.9,266.0
ZnFe2O4,9.0
ZnFe2O4,6.53
ZnFe2O4,120.4
ZnFe2O4,174.0
ZnFe2O4,185.0
ZnFe2O4,185.0
ZnFe2O4,120.4
LiLuF4 rt,85.0
NaTh2F9,99.0
K[N3] rt,18.6
La4.67[SiO4]3O,145.8
Na[NO3] rt,38.2
Na[NO3] rt,382.0
Y[PO4],145.0
Y2[WO4]3,27.0
Y2[WO4]3,24.2
ZnTe0.5Se0.5 tf,55.0
ZnTe0.5Se0.5 tf,49.1
ZnTe0.5Se0.5 tf,48.9
Ga4Bi2O9,102.0
Ga4Bi2O9,78.0
Ga4Bi2O9,91.0
Ga4Bi2O9,141.0
Ga4Bi2O9,85.0
Ga4Bi2O9,101.9
Ga4Bi2O9,109.0
TiO2 ana,194.0
TiO2 ana,183.0
CaV2O5,61.65
CdCr2Se4 rt,103.3
CdCr2Se4 rt,101.2
CdCr2Se4 rt,92.0
Cd3P2 tet2,64.7
Cd3P2 tet2,66.3
ReS2 tricl,23.0
ReS2 tricl,49.0
NbCr2 ht2,192.0
NdCrO3 orth,338.0
Er2O3 hp,147.1
KMnF3 rt,77.8
KMnF3 rt,62.68
NaZnF3,64.98
NaZnF3,92.93
HoTe,60.0
SmSe,40.0
SmSe,40.0
SmSe,40.0
SmSe,52.0
SmSe,52.0
YbSe,61.0
YbSe,61.0
YbSe,61.0
YbSe,60.0
SmTe rt,40.0
SmTe rt,40.0
SmTe rt,40.0
SmTe rt,40.0
SmTe rt,43.0
KNbO3 ht2,247.0
Lu[VO4],147.0
Pb[MoO4],64.0
Pb[MoO4],73.1
Pb[MoO4],71.6
Pb[MoO4],72.4
Pb[MoO4],69.9
Pb[MoO4],67.9
Pb[WO4] rt,83.0
Pb[WO4] rt,794.0
Pb[WO4] rt,67.0
Pb[WO4] rt,64.0
Pb[WO4] rt,66.0
Pb[WO4] rt,33.9
Pb[WO4] rt,64.1
Pb[WO4] rt,69.4
Pb[WO4] rt,67.4
V2AlC,201.0
V2AlC,175.0
V2AlC,202.0
V2AlC,202.0
CeTe rt,53.0
CeTe rt,58.18
TiCrMn,115.0
BaClF,55.6
BaZnF4 rt,55.0
Ba[OH]2 rt,40.0
Ca3GeO ht,58.39
Ca3GeO ht,57.71
Y2O3 ht1-hp1,137.4
Y2O3 ht1-hp1,207.0
Y2O3 ht3-hp3,292.0
CdGa2Se4,48.3
CdGa2Se4,44.3
Fe2CoO4 rt,30.0
Fe2CoO4 rt,176.1
Fe2CoO4 rt,179.0
Fe2CoO4 rt,179.0
Fe2CoO4 rt,129.9
Eu[WO4],65.0
Eu[WO4],65.0
Eu[WO4],72.5
Eu[WO4],70.5
Ho3Fe5O12 rt,173.6912
Lu3Fe5O12,173.6506
Yb3Fe5O12,172.8372
Gd2Ti2O7 rt,176.0
MgMn2O4 rt,156.0
Sr3[PO4]2 rt,89.5
Sr3[PO4]2 rt,104.4
Sr3[PO4]2 rt,79.6
Sr3[PO4]2 rt,116.4
Tb2Ti2O7 ht,186.0
Tb2Ti2O7 ht,199.0
Ag2HgI4 rt,24.0
SrAl2O4 rt,86.0
ZnSiAs2 rt,93.0
ZnSiAs2 rt,89.0
ZnSnAs2 rt,70.0
ZnSnAs2 rt,70.0
BaH2 rt,31.2
LaB3O6 mon,125.95
LuB12 rt,232.0
LuB12 rt,223.0
SrH2 rt,57.0
SrH2 rt,41.4
Ca[WO4],74.0
Ca[WO4],72.0
Ca[WO4],75.0
Ca[WO4],81.2
Ca[WO4],79.8
Ca[WO4],80.4
Ca[WO4],89.8
Ca[WO4],88.1
Fe2CoO4 hp1,94.0
CuGaTe2 rt,51.0
CuGaTe2 rt,50.0
ErP rt,102.95
LiGaO2,95.69
ZnGa2O4 rt,156.0
ZnGa2O4 rt,233.0
LaNbO4 ht,115.0
LaNbO4 ht,108.5
LaNbO4 ht,119.4
Mo6SnS8,84.0
Mo6SnS8,76.0
NaNbO3 rt,157.5
SrTiO3 rt,179.9
SrTiO3 rt,194.0
Sr[WO4] tet,66.0
Sr[WO4] tet,63.0
Sr[WO4] tet,62.0
Sr[WO4] tet,63.0
Sr[WO4] tet,72.5
Sr[WO4] tet,70.6
WSe2 2H,72.0
WSe2 2H,72.7
LaGa,60.0
LaGa,57.0
HgS ht1,61.0
Mg0.79Al0.80B14,196.0
Mg0.79Al0.80B14,190.0
Zr3Al3C5,205.0
Cu2EuSi2,103.0
Sr2Fe2O5 rt,133.0
UFeSi,190.0
Cr2AlC,165.0
Cr2AlC,193.0
Cr2AlC,221.0
Cr2AlC,193.0
Na3AlH6 rt,31.9
NaAlH4 rt,27.0
CaSe rt,60.0
Y3Ga5O12,175.0
Ac,50.0
Th3As4,100.5
UAs rt,98.0
UAs rt,100.0
UAs rt,100.7
UAs rt,91.0
UAs2 rt,101.0
CsAu rt,11.9
CsAu rt,25.0
KAu5,91.1
LiAu m,45.3
LiAu m,25.0
RbAu,13.9
RbAu5,76.0
EuB6,159.0
EuB6,157.0
Np ht1,200.0
Np ht1,140.0
Np ht2,200.0
Np ht2,120.0
Np rt,170.0
Np rt,170.0
Np rt,130.0
Np rt,200.0
Np rt,130.0
Np rt,118.0
OsB2 orth,365.0
OsB2 orth,364.0
OsB2 orth,342.0
Pa ht,90.0
Pa rt,79.0
Pa rt,157.0
TmB12,233.0
TmB12,220.0
B rhom2,243.8
B rhom2,194.2
B rhom2,215.1
B rhom2,208.2
B rhom2,224.0
B rhom2,432.3
B rhom2,199.5
BaSe rt,46.8
BaSe rt,40.0
BaSe rt,43.0
BaTe rt,35.4
BaTe rt,29.3
BaTe rt,29.4
BaTe rt,36.0
Be13Ce,89.0
Be13Ce,90.5
Be13Ce,85.5
UBi,108.5
UBi,91.0
La2C3,89.0
La2C3,250.0
CeSe,76.0
CeSe,76.0
CeSe,74.39
Mn0.5Co0.5 ht,107.0
Tc rt,363.7
Tc rt,267.0
Tc rt,348.6
Tc rt,290.0
Tc rt,281.0
Tc rt,270.0
ZnDy rt,79.2
ScH2 hp,149.0
ScH2 hp,114.0
ScH2 hp,98.0
ScD2 rt,106.0
SmH3,70.0
SmH3,70.0
UH3 ht,33.0
YH2,87.0
YD2 rt,81.0
YH2,60.4
YH3 rt,142.0
YH3 rt,142.0
YH3 rt,71.9
Mg0.968In0.032,33.3
Mg0.968In0.032,32.3
Tl0.194In0.806 rt,28.1
Tl0.194In0.806 rt,40.4
IrSb3,136.0
LaSe,74.0
LaSe,74.8
LaSe,76.0
LaTe,55.0
LaTe,59.4
LaTe,54.0
LaTe,64.0
NpO2 rt,200.0
NpO2 rt,200.0
Th3P4 rt,111.0
ThP rt,137.0
ThP rt,137.0
ThP rt,107.4
Tl0.5P1.5,46.75
UPt3,250.0
UPt3,260.0
USb,62.0
USb,73.0
USb,71.0
TmSe ht2,38.0
TmSe ht2,43.0
TmSe ht2,68.0
TmSe ht2,63.0
USe rt,74.0
USe rt,6.5
USe rt,89.0
ThSi,95.3
ThSi,97.1
SrTe rt,39.6
SrTe rt,42.0
UTe rt,48.0
UTe rt,44.6
UTe rt,34.0
UTe rt,34.0
UTe rt,71.0
LuH3,90.0
LuH3,90.0
CsH rt,8.0
CsH rt,7.6
PuTe,34.0
PuTe,37.0
Yb lt/hp2,29.0
Yb lt/hp2,19.0
Yb lt/hp2,13.0
NpGa3,75.0
NpGa3,96.0
NpGa3,97.0
[H2] lt1/hp1,0.17
