formula,Temperature,Eg (eV)
CdI2 ht,298.0,3.86
CdI2 ht,298.0,3.5
CdI2 ht,2.0,3.47
CuGa0.25In0.75S2,77.0,1.88
CuGa0.25In0.75S2,77.0,1.93
CuGa0.25In0.75S2,293.0,1.85
CuGa0.25In0.75S2,293.0,1.9
Zr rt,298.0,8.3
Zr rt,298.0,1.415
Si rt,298.0,1.11
Si rt,0.0,1.169
Si rt,298.0,1.107
Si rt,298.0,-0.00141
Si rt,298.0,-0.28
Si rt,298.0,1.12
Si rt,298.0,0.448
Si rt,298.0,1.13
Si rt,298.0,1.05
Si rt,298.0,1.13
Si rt,298.0,2.66
Si rt,298.0,0.65
Si rt,298.0,4.0
Si rt,298.0,1.09
Si rt,298.0,3.0
Si rt,298.0,0.6
Si rt,298.0,1.1
Si rt,298.0,1.32
Si rt,298.0,1.34
Si rt,298.0,1.17
Si rt,298.0,1.12
Si rt,298.0,2.28
Si rt,298.0,1.78
Si rt,298.0,0.57
Si rt,298.0,0.53
Si rt,298.0,0.59
Si rt,298.0,0.49
Si rt,298.0,2.73
Si rt,298.0,0.68
Si rt,298.0,2.88
Si rt,298.0,4.75
Si rt,298.0,5.0
Si rt,298.0,1.13
Si rt,298.0,4.27
Si rt,298.0,3.31
Si rt,298.0,3.4
Si rt,298.0,1.11
Si rt,298.0,1.07
Si rt,298.0,0.44
Si rt,298.0,0.81
Si rt,298.0,3.32
Si rt,298.0,1.25
Si rt,298.0,1.16
Si rt,298.0,0.52
Si rt,298.0,0.56
Si rt,298.0,1.25
Si rt,298.0,1.31
Si rt,298.0,1.31
Si rt,298.0,1.5
Si rt,298.0,1.2
Si rt,298.0,1.17
Si rt,298.0,13.0
Si rt,298.0,1.17
Si rt,298.0,4.8
Si rt,298.0,0.06
Si rt,298.0,2.68
Si rt,298.0,3.64
Si rt,298.0,2.83
Si rt,298.0,3.3
Si rt,298.0,4.27
Si rt,298.0,3.49
Si rt,298.0,0.66
Si rt,298.0,1.24
Si rt,298.0,5.32
Si rt,298.0,3.38
Si rt,298.0,4.27
Si rt,298.0,1.12
Si rt,298.0,1.2
Si rt,298.0,1.12
Si rt,298.0,0.044
Si rt,298.0,1.1
Si rt,298.0,0.51
Si rt,298.0,1.114
Si rt,298.0,0.63
Si rt,298.0,1.1
Si rt,298.0,1.8
Si rt,298.0,3.4
Si rt,298.0,2.558
Si rt,298.0,0.634
Si rt,298.0,8.8
Si rt,298.0,1.28
Si rt,298.0,3.3
Si rt,298.0,8.7
Si rt,298.0,0.44
Si rt,298.0,1.17
Si rt,298.0,4.1
Si rt,298.0,0.91
Si rt,298.0,0.7
Si rt,298.0,1.37
Si rt,298.0,3.51
Si rt,298.0,3.95
Si rt,298.0,4.135
Si rt,298.0,3.326
Si rt,298.0,4.243
Si rt,298.0,2.671
Si rt,298.0,0.05
Si rt,298.0,0.032
Si rt,298.0,0.0
Si rt,298.0,0.039
Si rt,298.0,0.76
Si rt,298.0,0.5
Si rt,298.0,3.37
Si rt,298.0,3.49
Si rt,298.0,4.57
Si rt,298.0,4.01
Si rt,298.0,1.37
Si rt,298.0,1.65
Si rt,298.0,9.44
Si rt,298.0,2.48
Si rt,298.0,2.5
Si rt,298.0,2.59
Si rt,298.0,2.72
Si rt,298.0,1.05
Si rt,298.0,0.62
Si rt,298.0,3.273
Si rt,298.0,4.32
Si rt,298.0,0.46
Si rt,298.0,0.34
CdI2 2H,298.0,5.89
CdI2 2H,298.0,3.3
Pt,298.0,4.7
Pt,298.0,1.069
Co ht,298.0,5.2
Nb,0.0,1.8
Nb,298.0,5.5
Nb,298.0,10.78
Nb,298.0,9.35
Nb,298.0,3.84
Nb,298.0,5.27
Nb,298.0,7.85
Nb,298.0,8.9
Nb,298.0,1.328
Nd rt,298.0,0.414
Mo rt,298.0,0.102
Mo rt,298.0,4.674
Mo rt,298.0,8.8
Mo rt,298.0,1.231
Zr0.75Ti0.25PbO3 rt,298.0,3.09
Sb rt,298.0,-0.255
Sb rt,298.0,0.6
Sb rt,298.0,1.64
Sb rt,298.0,0.5
Sb rt,298.0,0.48
Sb rt,298.0,1.06
Sb rt,298.0,1.69
In tet,298.0,0.549
La rt,298.0,3.73
Ag,298.0,3.5
Ag,298.0,0.93
Ag,298.0,1.4
Ag,298.0,0.889
Er,298.0,0.308
Gd rt,298.0,0.077
Gd rt,298.0,0.132
Gd rt,298.0,0.352
Mg28Al45,298.0,0.13
Re,298.0,8.7
Re,298.0,1.201
RuAl2 rt orth,298.0,0.88
RuAl2 rt orth,298.0,0.2
RuAl2 rt orth,298.0,0.35
RuAl2 rt orth,298.0,0.14
RuAl2 rt orth,298.0,1.3
Sc rt,298.0,8.1
Sc rt,298.0,1.163
Ge,298.0,0.664
Ge,0.0,0.744
Ge,298.0,0.67
Ge,298.0,0.0051
Ge,298.0,-0.37
Ge,298.0,0.67
Ge,298.0,0.83
Ge,298.0,0.72
Ge,298.0,0.52
Ge,298.0,0.0
Ge,298.0,0.88
Ge,298.0,0.73
Ge,298.0,0.26
Ge,298.0,0.76
Ge,298.0,0.31
Ge,298.0,2.66
Ge,298.0,2.8
Ge,298.0,5.2
Ge,298.0,3.98
Ge,298.0,0.62
Ge,298.0,0.67
Ge,298.0,1.07
Ge,298.0,0.81
Ge,298.0,1.86
Ge,298.0,2.14
Ge,298.0,-9.0
Ge,298.0,0.289
Ge,298.0,0.308
Ge,298.0,0.289
Ge,298.0,-0.7
Ge,298.0,0.26
Ge,298.0,0.95
Ge,298.0,0.61
Ge,298.0,0.34
Ge,298.0,0.51
Ge,298.0,0.5
Ge,298.0,0.01
Ge,298.0,0.65
Ge,298.0,0.57
Ge,298.0,0.57
Ge,0.0,0.0
Ge,298.0,0.21
Ge,298.0,0.25
Ge,298.0,0.35
Ge,900.0,0.26
Ge,1195.0,0.89
Ge,298.0,5.8
Ge,298.0,2.11
Ge,298.0,4.35
Ge,298.0,0.8
Ge,298.0,1.09
Ge,298.0,2.3
Ge,298.0,0.74
Ge,298.0,0.29
Ge,298.0,0.887
Ge,298.0,0.98
Ge,298.0,0.09
Ge,298.0,0.85
Ge,298.0,1.16
Ge,298.0,2.84
Ge,298.0,1.73
Ge,298.0,2.9
Ge,298.0,2.05
Ge,298.0,123.0
Ge,298.0,125.0
Ge,298.0,12.5
Ge,298.0,0.854
Ge,298.0,2.194
Ge,298.0,4.636
Ge,298.0,2.537
Ge,298.0,0.305
Ge,298.0,0.19
Ge,298.0,0.0
Ge,298.0,0.237
Ge,298.0,2.59
Ge,298.0,0.77
Ge,298.0,0.95
Ge,298.0,0.65
Ge,298.0,3.95
Ge,298.0,2.59
Ge,298.0,3.01
Ge,298.0,1.37
Ge,298.0,0.64
Ge,298.0,0.59
Ge,298.0,1.15
Ge,298.0,-0.084
Ge,298.0,1.16
Ge,298.0,0.038
Ge,298.0,0.48
Au,298.0,1.0
Au,298.0,2.4
Au,298.0,1.007
Ho rt,298.0,0.324
Tb rt,298.0,0.344
Tm rt,298.0,0.308
Cu,298.0,0.89
Cu,298.0,3.49
Cu,298.0,3.56
Cu,298.0,2.46
Cu,298.0,10.26
Cu,298.0,3.27
Cu,298.0,1.74
Cu,298.0,1.91
Cu,298.0,4.76
Cu,298.0,5.23
Cu,298.0,0.81
Cu,298.0,1.9
Cu,298.0,5.46
Cu,298.0,3.4
Cu,298.0,5.4
Cu,298.0,0.688
Cr rt,298.0,0.45
Cr rt,298.0,3.7
Cr rt,298.0,10.4
Cr rt,298.0,0.939
Hg lt/hp1,298.0,1.5
Hg lt/hp1,298.0,0.3
Bi,25.0,0.014
Bi,34.0,0.034
Bi,298.0,-0.0403
Bi,298.0,1.5
Bi,298.0,1.11
Bi,298.0,0.36
Bi,298.0,1.08
Bi,298.0,1.37
Bi,298.0,0.37
Bi,298.0,0.94
Bi,298.0,0.84
Bi,298.0,0.83
Bi,298.0,0.038
Bi2O3 rt,298.0,2.77
Bi2O3 rt,298.0,22.0
Bi2O3 rt,298.0,2.97
Bi2O3 rt,298.0,2.8
Bi2O3 rt,298.0,2.8
BiO1.5 ht2,298.0,3.01
BiO1.5 ht2,298.0,2.78
BiO1.5 ht2,298.0,2.38
Pr rt,298.0,10.0
Pr rt,298.0,0.435
B rhom1,298.0,1.6
B rhom1,298.0,1.6
B rhom1,298.0,1.66
B rhom1,298.0,1.02
Li3B14,,1.6
Ca2Si,0.0,1.0
Sn rt,298.0,0.595
Ce ht1/hp1,298.0,4.8
Ce ht1/hp1,298.0,4.8
Co rt,298.0,8.0
Co rt,298.0,0.696
Ce rt,298.0,0.461
Ta,298.0,9.5
Ta,298.0,1.346
Ta,298.0,1.8
Ta,298.0,6.7
Cr2O3 rhom,298.0,3.0
Cr2O3 rhom,298.0,3.0
Cr2O3 rhom,298.0,2.0
Cr2O3 rhom,298.0,3.4
Cr0.7Re0.3,298.0,3.1
Cu2O rt,298.0,2.2
Cu2O rt,298.0,1.07
Cu2O rt,298.0,-0.1273
Cu2O rt,4.0,2.172
Cu2O rt,298.0,0.1338
Cu2O rt,0.0,2.175
Cu2O rt,4.0,2.1
Cu2O rt,298.0,2.1
Cu2O rt,0.0,0.78
Cu2O rt,298.0,2.2
Cu2O rt,298.0,2.06
Cu2O rt,298.0,2.4
Cu2O rt,298.0,12.5
Cu2O rt,298.0,-1.38
Cu2O rt,6.0,2.172
Cu2O rt,0.0,2.22
Cu2O rt,298.0,2.1
Cu2O rt,298.0,0.14
Cu2O rt,0.0,2.17
Cu2O rt,298.0,0.14
Cu2O rt,2.0,2.047
Cu2O rt,2.0,2.1722
Cu2O rt,298.0,2.17
Cu2O rt,298.0,0.66
Cu2O rt,298.0,2.17
Cu2O rt,298.0,1.95
CuO rt,0.0,1.6
CuO rt,298.0,3.2
CuO rt,0.0,1.6
CuO rt,298.0,1.4
CuO rt,298.0,1.0
CuO rt,298.0,1.3
CuO rt,298.0,1.4
Y rt,298.0,6.8
Y rt,298.0,1.602
Dy rt,298.0,0.333
Eu,298.0,0.429
Sn lt,298.0,0.0
Sn lt,298.0,0.8
Sn lt,298.0,0.08
Sn lt,0.0,0.094
Sn lt,298.0,-0.05
Sn lt,298.0,0.0
Sn lt,298.0,-1.3
Sn lt,298.0,-1.53
Sn lt,298.0,-0.16
Sn lt,298.0,-0.41
Sn lt,298.0,1.37
Sn lt,298.0,1.85
Sn lt,298.0,3.65
Sn lt,298.0,0.11
Sn lt,298.0,-7.77
Sn lt,298.0,1.209
Sn lt,298.0,2.055
Sn lt,298.0,2.61
Sn lt,298.0,-0.514
Sn lt,298.0,0.238
