formula,Temperature,Eg (eV)
Zn3P2 rt,298.0,0.433
Zn3P2 rt,298.0,1300000.0
Zn3P2 rt,298.0,3750000.0
Zn3P2 rt,298.0,1.59
Zn3P2 rt,298.0,1.62
Zn3P2 rt,298.0,0.11
ZnP2 rt,3.0,1.602
ZnP2 rt,298.0,1.45
Te0.5Se0.5,298.0,1.0
Te0.5Se0.5,298.0,-12.1
Te0.5Se0.5,298.0,0.5
Te0.5Se0.5,298.0,0.5
Te0.5Se0.5,298.0,-31.88
Te0.5Se0.5,298.0,1.32
Te0.5Se0.5,298.0,1.32
Am rt,298.0,0.519
Bi0.88Sb0.12,4.0,-0.00996
Bi0.88Sb0.12,4.0,-0.0033
Bi0.88Sb0.12,4.0,-0.00558
Bi0.88Sb0.12,298.0,0.048
Bi0.88Sb0.12,298.0,0.0175
Bi0.88Sb0.12,298.0,0.02
Bi0.88Sb0.12,298.0,0.1
Bi0.88Sb0.12,4.2,0.0015
Bi0.88Sb0.12,298.0,0.0221
CaH2,298.0,2.5
CaH2,298.0,3.32
Eu2Sb3,298.0,0.5
HgO orth,298.0,1.16
HgO orth,298.0,1.22
HgO orth,298.0,2.42
HgO orth,298.0,2.38
Sm2S3 rt,298.0,1.69
LaBi,298.0,0.07
PbBr2,298.0,3.1
PbBr2,4.2,3.99
CdSe rt hex,298.0,1.74
CdSe rt hex,298.0,1.9
CdSe rt hex,298.0,1.95
CdSe rt hex,298.0,2.3
CdSe rt hex,0.0,1.72
CdSe rt hex,0.0,1.83
CdSe rt hex,0.0,4.37
CdSe rt hex,80.0,1.846
CdSe rt hex,295.0,1.762
CdSe rt hex,80.0,1.823
CdSe rt hex,295.0,1.741
CdSe rt hex,80.0,2.248
CdSe rt hex,295.0,2.167
CdSe rt hex,298.0,1.98
CdSe rt hex,0.0,1.91
CdSe rt hex,0.0,3.55
CdSe rt hex,0.0,4.63
CdSe rt hex,0.0,4.59
CdSe rt hex,298.0,1.98
CdSe rt hex,0.0,2.0
CdSe rt hex,298.0,1.895
CdSe rt hex,298.0,1.727
CdSe rt hex,295.0,1.725
CdSe rt hex,100.0,1.791
CdSe rt hex,10.0,1.82
CdSe rt hex,295.0,2.165
CdSe rt hex,298.0,-0.38
CdSe rt hex,0.0,1.623
CdSe rt hex,0.0,3.205
CdSe rt hex,0.0,3.231
CdSe rt hex,298.0,2.0
CdSe rt hex,298.0,1.7
CdSe rt hex,298.0,1.74
CdSe rt hex,298.0,1.7
CdSe rt hex,298.0,1.73
CdSe rt hex,40.0,1.82
CdSe rt hex,86.0,100000.0
CdSe rt hex,298.0,-0.45
CdSe rt hex,295.0,100000.0
CdSe rt hex,295.0,100000.0
CdSe rt hex,86.0,1.829
CdSe rt hex,298.0,-0.46
CdSe rt hex,2.0,1.841
CdSe rt hex,2.0,0.0253
CdSe rt hex,1.8,1.809
CdSe rt hex,300.0,1.85
CdSe rt hex,298.0,58.0
CdSe rt hex,300.0,1.738
CdSe rt hex,298.0,1.7
CdSe rt hex,298.0,1.8251
CdSe rt hex,298.0,1.27
CdSe rt hex,298.0,1.8
CdSe rt hex,300.0,1.8
CdSe rt hex,298.0,1.75
CdSe rt hex,8.0,1.841
CdSe rt hex,298.0,1.83
CdSe rt hex,298.0,1.4
CdSe rt hex,298.0,1.8
CdSe rt hex,298.0,1.73
Sb2O5 mon,298.0,2.287
Si2Te3 rt,298.0,2.18
Si2Te3 rt,298.0,1.82
Si2Te3 rt,298.0,1.89
Si2Te3 rt,,-1.0
YbAl3,298.0,1.27
Ca3N2 ht,298.0,1.5
GeSe rt,0.0,0.35
GeSe rt,298.0,1.53
GeSe rt,298.0,1.15
GeSe rt,298.0,1.08
GeSe rt,298.0,1.1
GeSe rt,298.0,0.35
GeSe rt,,-0.505
GeSe rt,,1.382
GeSe rt,,1.598
GeSe rt,298.0,1.5
GeSe rt,298.0,1.59
GeSe rt,298.0,1.0
GeSe rt,298.0,1.22
GeSe rt,298.0,1.18
InN rt,0.0,-0.04
InN rt,0.0,2.0
InN rt,0.0,2.2
InN rt,0.0,1.3
InN rt,0.0,2.2
InN rt,0.0,1.4
InN rt,298.0,2.04
InN rt,298.0,3.85
InN rt,298.0,4.7
InN rt,298.0,2.0
InN rt,298.0,0.68
InN rt,298.0,1.8
InN rt,298.0,1.78
InN rt,298.0,1200000.0
InN rt,298.0,0.71
InN rt,298.0,0.64
InN rt,77.0,0.685
InN rt,298.0,19.0
InN rt,298.0,1.9
InN rt,298.0,0.76
InN rt,300.0,1.472
InN rt,10.0,1.502
FeAs2,298.0,0.22
MgB2,298.0,7.1
MgB2,298.0,2.85
MgB2,298.0,7.1
MgB2,298.0,2.9
MgB2,298.0,7.1
MgB2,298.0,2.4
MgB2,298.0,6.7
MgB2,298.0,2.3
MgB2,0.0,6.7
MgB2,0.0,1.32
MgB2,298.0,7.6
MgB2,298.0,2.0
MgB7,298.0,1.92
MgB7,298.0,1.84
CoSb3,0.0,0.05
CoSb3,0.0,0.8
CoSb3,0.0,0.57
CoSb3,,0.31
CoSb3,298.0,0.63
CoSb3,298.0,0.144
CoSb3,,0.4
CoSb3,298.0,0.54
CoSb3,298.0,0.16
CoSb3,298.0,0.05
CoSb3,298.0,0.24
CuSe ht2,298.0,2.0
CuSe ht2,298.0,2.8
PtSb2,298.0,0.06
PtSb2,77.0,10000.0
YbTe,298.0,0.0
YbTe,298.0,1.8
YbTe,298.0,-112.0
YbTe,298.0,2.0
Ag2Te ht1,298.0,0.084
Ag2Te rt,300.0,0.025
Ce2.67S4 ht,298.0,2.0
Ce2.67S4 ht,298.0,3.1
Ce2.67S4 ht,298.0,3.5
Ce2.67S4 ht,298.0,2.1
Ru2Ge3 rt,298.0,0.52
Ru2Ge3 rt,298.0,0.38
AgCl,4.0,3.0
AgCl,4.2,3.3
AgCl,77.0,3.2
AgCl,0.0,5.25
AgCl,0.0,3.48
AgCl,1.8,3.256
AgCl,298.0,3.248
AgCl,298.0,1.0
AgCl,298.0,3.0
AgCl,298.0,0.94
AgCl,298.0,2.037
KCl rt,298.0,6.69
KCl rt,298.0,8.18
KCl rt,298.0,6.52
KCl rt,298.0,8.9
KCl rt,10.0,8.7
KCl rt,298.0,8.7
KCl rt,298.0,8.3
KCl rt,80.0,7.34
KCl rt,298.0,8.7
KCl rt,298.0,10.7
KCl rt,298.0,8.7
KCl rt,298.0,5.98
KCl rt,35.0,7.77
KCl rt,35.0,7.9
KCl rt,35.0,-0.6
KCl rt,10.0,7.74
Ag2Se rt,298.0,0.084
AgInTe2 rt,298.0,0.95
AgInTe2 rt,298.0,0.95
AgInTe2 rt,298.0,0.966
AgInTe2 rt,298.0,0.424
AgInTe2 rt,298.0,0.96
AgInTe2 rt,298.0,0.956
AgPrSn,298.0,20.6
AgPrSn,298.0,1.7
AgPrSn,298.0,0.25
Al0.5Ga0.5Sb,27.0,1.75
Al0.5Ga0.5Sb,27.0,2.53
Al0.5Ga0.5Sb,27.0,2.77
Al0.5Ga0.5Sb,27.0,3.21
Al0.5Ga0.5Sb,,-0.35
Al0.5Ga0.5Sb,298.0,-0.5
Al0.5Ga0.5Sb,298.0,1.34
Al0.5Ga0.5Sb,27.0,1.41
Al0.5Ga0.5Sb,298.0,1.39
Al0.5Ga0.5Sb,27.0,1.51
Al0.5Ga0.5Sb,298.0,-0.31
Al0.5Ga0.5Sb,27.0,0.44
Al0.5Ga0.5Sb,27.0,0.78
Al0.5Ga0.5Sb,298.0,1.44
Al0.5Ga0.5Sb,298.0,1.44
Al0.5Ga0.5Sb,300.0,0.46
Al0.5Ga0.5Sb,100.0,1.065
Al0.5Ga0.5Sb,275.0,1.0
MgAl2O4 cub,298.0,43.4
MgAl2O4 cub,298.0,5.55
AlN,0.0,4.52
AlN,0.0,4.41
AlN,0.0,5.8
AlN,0.0,6.9
AlN,0.0,7.4
AlN,298.0,4.4
AlN,0.0,6.1
AlN,0.0,14.36
AlN,0.0,3.472
AlN,0.0,4.456
AlN,298.0,6.05
AlN,298.0,6.29
AlN,298.0,6.6
AlN,298.0,6.82
AlN,298.0,6.2
AlN,298.0,6.02
AlN,298.0,3.56
AlN,298.0,5.9
AlN,298.0,1.4
AlN,298.0,6.2
AlN,295.0,5.31
AlN,298.0,6.06
AlN,298.0,3.91
AlN,298.0,5.36
AlN,298.0,44.0
B6As,0.0,2.636
B6As,0.0,2.819
B6As,0.0,2.609
B6As,0.0,3.07
B6As,0.0,2.78
BAs rt,0.0,4.2
BAs rt,298.0,1.5
BAs rt,298.0,1.206
BAs rt,298.0,1.82
BAs rt,298.0,3.25
BAs rt,298.0,1.22
GaSb0.5As0.5 lt,298.0,0.87
GaSb0.5As0.5 lt,298.0,0.854
GaSb0.5As0.5 lt,298.0,-0.236
GaSb0.5As0.5 lt,298.0,0.68
InSb0.5As0.5,0.0,0.248
LaAs,298.0,0.43
AuNdGe,298.0,22.6
AuNdGe,298.0,1.5
AuNdGe,298.0,1.3
ZnSe,0.0,2.82
ZnSe,0.0,2.07
ZnSe,0.0,3.8
ZnSe,300.0,2.63
ZnSe,300.0,2.58
ZnSe,300.0,0.45
ZnSe,0.0,3.66
ZnSe,298.0,75.0
ZnSe,0.0,3.96
ZnSe,298.0,3.3
ZnSe,298.0,40.0
ZnSe,298.0,-1.0
ZnSe,10.0,2.802
ZnSe,4.2,2.822
ZnSe,6.5,2.798
ZnSe,77.0,2.792
ZnSe,6.5,2.782
ZnSe,77.0,2.773
ZnSe,0.0,2.84
ZnSe,0.0,4.95
ZnSe,0.0,4.41
ZnSe,0.0,4.14
ZnSe,0.0,2.84
ZnSe,298.0,2.69
ZnSe,298.0,3.1
ZnSe,115.0,2.8
ZnSe,115.0,2.782
ZnSe,0.0,2.89
ZnSe,0.0,4.08
ZnSe,0.0,2.07
ZnSe,0.0,3.04
ZnSe,0.0,1.45
ZnSe,298.0,4.2
ZnSe,0.0,2.63
ZnSe,0.0,2.88
ZnSe,298.0,-2.0
ZnSe,0.0,3.04
ZnSe,0.0,4.25
ZnSe,298.0,0.401
ZnSe,298.0,0.158
ZnSe,0.0,1.1
ZnSe,0.0,2.38
ZnSe,298.0,70.0
ZnSe,298.0,-3.0
ZnSe,6.0,2.821
ZnSe,298.0,-5.71
ZnSe,298.0,2.82
ZnSe,298.0,3.92
ZnSe,298.0,4.54
ZnSe,4.0,2.82
ZnSe,0.0,2.314
ZnSe,0.0,3.198
ZnSe,298.0,7.4
ZnSe,298.0,-0.54
ZnSe,298.0,2.7
ZnSe,298.0,3.6
ZnSe,4.0,2.8201
ZnSe,298.0,2.713
ZnSe,0.0,2.82
ZnSe,298.0,0.0007
ZnSe,298.0,-0.45
ZnSe,298.0,2.58
ZnSe,298.0,1.93
ZnSe,298.0,2.95
ZnSe,298.0,2.58
ZnSe,298.0,2.82
ZnSe,298.0,1.11
ZnSe,298.0,1.86
ZnSe,298.0,2.711
ZnSe,298.0,0.424
ZnSe,298.0,2.7
ZnSe,298.0,3.13
ZnSe,298.0,2.67
ZnSe,298.0,2.76
ZnSe,298.0,0.45
ZnSe,300.0,2.68
ZnSe,300.0,2.67
ZnSe,2.0,2.83
ZnSe,298.0,0.42
ZnSe,298.0,3.3
ZnSe,298.0,2.688
ZnSe,298.0,3.0
ZnSe,298.0,2.66
ZnSe,298.0,2.67
ZnSe,298.0,2.59
ZnSe,85.0,70.0
ZnSe,295.0,2.7
ZnSe,298.0,2.82
ZnSe,298.0,1.6
ZnSe,298.0,2.8
ZnSe,298.0,2.711
ZnSe,298.0,2.9
ZnSe,298.0,4.59
ZnSe,298.0,4.75
ZnSe,5.0,2.824
ZnSe,4.2,2.82
ZnSe,300.0,4.0
ZnSe,77.0,2.81
ZnSe,298.0,71.0
ZnSe,298.0,40.0
ZnSe,298.0,70.0
ZnSe,298.0,2.713
ZnSe,298.0,0.42
ZnSe,298.0,1.2
ZnSe,298.0,2.7
ZnSe,298.0,53.0
ZnSe,298.0,-26.0
ZnSe,77.0,2.8
ZnSe,298.0,1.22
ZnSe,298.0,1.39
ZnSe,298.0,2.85
ZnSe,298.0,2.69
ZnSe,298.0,2.9
ZnSe,298.0,0.42
ZnSe,298.0,2.9
ZnSe,298.0,3.5
ZnSe,298.0,3.9
ZnSe,0.0,2.8
ZnSe,280.0,2.7
ZnSe,298.0,2.74
ZnSe,5.0,2.82
ZnSe,298.0,1.41
ZnSe,298.0,0.42
ZnSe,298.0,2.803
ZnSe,0.0,2.827
ZnSe,86.0,2.805
ZnSe,298.0,0.018
ZnSe,298.0,2.57
ZnSe,298.0,1.11
ZnSe,298.0,1.84
ZnSe,298.0,3.07
ZnSe,298.0,3.94
ZnSe,298.0,1.109
ZnSe,298.0,1.863
LiCl hp cub1,298.0,10.4
LiCl hp cub1,0.0,9.26
LiCl hp cub1,298.0,9.34
LiCl hp cub1,0.0,9.1
LiCl hp cub1,0.0,9.7
LiCl hp cub1,298.0,10.7
LiCl hp cub1,0.0,8.9
LiCl hp cub1,298.0,10.1
LiCl hp cub1,298.0,9.4
LiCl hp cub1,298.0,9.9
LiCl hp cub1,298.0,5.59
LiCl hp cub1,298.0,10.7
BaS rt,298.0,4.0
BaS rt,298.0,2.174
BaS rt,298.0,3.925
BaS rt,298.0,153000000.0
BaS rt,298.0,33000000.0
Nd2.67S4 ht,298.0,2.4
Nd2.67S4 ht,298.0,2.53
Nd2S3 rt,298.0,1.93
Pr2.67S4 ht,298.0,2.6
Pr2.67S4 ht,298.0,2.4
Pr2.67S4 ht,298.0,2.28
Y2S3,298.0,2.53
B2O3 rt,298.0,6.0
B2O3 rt,298.0,6.2
BaB2O4 ht,298.0,6.8
BaB2O4 rt,298.0,5.61
BaB2O4 rt,298.0,5.57
BaB2O4 rt,298.0,5.52
BaB2O4 rt,298.0,5.55
Nd2Co14B,298.0,0.2327
BN cub,0.0,8.8
BN cub,0.0,4.38
BN cub,0.0,8.6
BN cub,0.0,4.2
BN cub,0.0,11.4
BN cub,0.0,11.8
BN cub,0.0,14.6
BN cub,0.0,6.3
BN cub,298.0,6.1
BN cub,0.0,6.38
BN cub,0.0,6.6
BN cub,0.0,6.6
BN cub,298.0,4.5
BN cub,0.0,8.7
BN cub,0.0,5.18
BN cub,298.0,8.93
BN cub,298.0,8.92
BN cub,298.0,4.42
BN cub,298.0,10.33
BN cub,298.0,10.29
BN cub,298.0,3.39
BN cub,0.0,8.8
BN cub,0.0,8.0
BN cub,298.0,4.6
BN cub,298.0,4.45
BN cub,298.0,4.45
BN cub,298.0,5.424
BN cub,298.0,4.35
BN cub,298.0,4.42
BN cub,298.0,4.35
BN cub,8.0,6.36
BN cub,298.0,5.93
BN cub,298.0,5.1
BN cub,298.0,7.2
BN cub,298.0,8.62
BN cub,298.0,8.52
BN cub,298.0,8.21
BN cub,298.0,4.41
BN cub,298.0,4.48
BN cub,298.0,4.3
BN cub,298.0,4.32
BN cub,298.0,4.2
BN cub,298.0,8.5
BN cub,298.0,4.3
BN cub,0.0,8.38
BN cub,298.0,3.96
BN cub,298.0,5.7
BN cub,298.0,5.7
BN cub,298.0,3.0
BN cub,298.0,8.8
BN cub,298.0,4.4
BN cub,298.0,8.6
BN cub,298.0,8.5
YbB12,298.0,0.245
YbB12,298.0,0.094
YbB12,34.0,0.003
YbB6,298.0,0.14
YbB6,300.0,0.5
FeBiO3 hp V,298.0,0.97
FeBiO3 ht1,298.0,2.08
FeBiO3 rt,298.0,0.77
FeBiO3 rt,298.0,0.97
FeBiO3 rt,298.0,0.46
FeBiO3 rt,298.0,252.0
FeBiO3 rt,298.0,2.09
FeBiO3 rt,298.0,2.5
FeBiO3 rt,298.0,2.49
FeBiO3 rt,298.0,2.23
FeBiO3 rt,298.0,3.0
FeBiO3 rt,298.0,2.21
GeBi2Te4,298.0,0.23
GeBi2Te4,298.0,0.18
SnBi2Te4,298.0,0.48
SnBi2Te4,298.0,0.45
SnBi2Te4,298.0,0.27
SnS2 2H,298.0,2.28
SnS2 2H,298.0,2.6
SnS2 2H,298.0,2.17
SnS2 2H,298.0,3.05
SnS2 2H,298.0,2.1
SnS2 2H,298.0,10000.0
SnS2 2H,298.0,2.0
SnS2 2H,298.0,2.22
SnS2 2H,298.0,2.33
Mo5SiB2,298.0,0.69
SiO2 rt,0.0,5.91
SiO2 rt,0.0,7.05
SiO2 rt,0.0,5.59
SiO2 rt,298.0,5.59
SiO2 rt,298.0,5.46
SiO2 rt,0.0,8.8
SiO2 rt,0.0,9.5
SiO2 rt,298.0,9.2
SiO2 rt,298.0,7.8
SiO2 rt,298.0,9.43
SiO2 rt,0.0,90.0
SiO2 rt,0.0,100.0
SiO2 rt,0.0,70.0
SiO2 rt,0.0,5.8
SiO2 rt,0.0,6.4
SiO2 rt,298.0,5.75
SiO2 rt,298.0,6.16
SiO2 rt,298.0,6.37
SiO2 rt,298.0,96.0
SiO2 rt,298.0,8.8
SiO2 rt,298.0,11.0
SiO2 rt,298.0,9.1
SiO2 rt,298.0,9.8
SiO2 rt,298.0,9.2
SiO2 rt,0.0,9.8
SiO2 rt,0.0,9.2
SiO2 rt,298.0,9.5
SiO2 rt,0.0,9.4
SiO2 rt,0.0,8.9
SiO2 rt,298.0,16.0
SiO2 rt,298.0,9.0
SiO2 rt,298.0,9.2
SiO2 rt,298.0,5.8
SiO2 rt,298.0,6.65
CsBr rt,298.0,7.3
CsBr rt,0.0,4.0
CsBr rt,298.0,-4.16
CsBr rt,298.0,0.59
CsBr rt,300.0,7.3
CsBr rt,22.0,1.0
CsBr rt,22.0,6.85
CsBr rt,298.0,7.2
CsBr rt,298.0,7.9
CsBr rt,298.0,8.85
RbBr rt,298.0,9.1
RbBr rt,298.0,5.88
RbBr rt,35.0,6.63
RbBr rt,35.0,7.13
RbBr rt,35.0,-0.7
RbBr rt,35.0,-0.8
CaCl2 rt,298.0,5.0
CaCl2 rt,298.0,6.9
CaCl2 rt,298.0,6.9
MgCl2 rhom,298.0,5.0
MgCl2 rhom,298.0,4.3
MgCl2 rhom,298.0,5.5
MgCl2 rhom,77.0,9.2
MgCl2 rhom,298.0,7.5
MgF2 rt,0.0,20.0
Cd0.5Hg0.5Te,4.8,13000.0
Cd0.5Hg0.5Te,298.0,0.96
Cd0.5Hg0.5Te,298.0,1.12
Cd0.5Hg0.5Te,298.0,0.0
Cd0.5Hg0.5Te,298.0,0.28
Cd0.5Hg0.5Te,80.0,0.231
Cd0.5Hg0.5Te,298.0,2.2
Cd0.5Hg0.5Te,298.0,0.8
Cd0.5Hg0.5Te,0.0,0.01
Cd0.5Hg0.5Te,0.0,0.94
Cd0.5Hg0.5Te,0.0,0.6
Cd0.5Hg0.5Te,298.0,96.0
Cd0.5Hg0.5Te,4.2,-0.00024
Cd0.5Hg0.5Te,300.0,-0.06027
Cd0.5Hg0.5Te,0.0,0.082
Cd0.5Hg0.5Te,298.0,0.17
Cd0.5Hg0.5Te,298.0,0.3
Cd0.5Hg0.5Te,8.0,-0.201
Cd0.5Hg0.5Te,8.0,-0.0487
Cd0.5Hg0.5Te,8.0,0.0844
Cd0.5Hg0.5Te,298.0,0.082
Cd0.5Hg0.5Te,4.2,0.07
Cd0.5Hg0.5Te,2.0,1.1325
Cd0.5Hg0.5Te,2.0,1.15
Cd0.5Hg0.5Te,2.0,1.126
Cd0.5Hg0.5Te,2.0,1.1435
Cd0.5Hg0.5Te,77.0,0.002
Cd0.5Hg0.5Te,24.0,0.116
Cd0.5Hg0.5Te,91.0,0.139
Cd0.5Hg0.5Te,4.2,0.044
CdLa2S4,298.0,1.3
CdS,298.0,2.38
CdS,0.0,2.52
CdS,0.0,2.54
CdS,0.0,4.97
CdS,6.0,2.55
CdS,6.0,44.0
CdS,298.0,45.0
CdS,298.0,2.4
CdS,298.0,2.55
CdS,2.0,2.5881
CdS,2.0,2.6611
CdS,2.0,2.5831
CdS,0.0,2.79
CdS,0.0,4.54
CdS,0.0,5.5
CdS,0.0,5.55
CdS,298.0,2.58
CdS,0.0,2.45
CdS,293.0,2.426
CdS,200.0,2.53
CdS,100.0,2.545
CdS,33.0,2.551
CdS,298.0,0.065
CdS,298.0,2.377
CdS,298.0,42.0
CdS,0.0,2.526
CdS,0.0,3.974
CdS,0.0,4.019
CdS,298.0,2.4
CdS,298.0,2.38
CdS,298.0,1.77
CdS,298.0,2.6
CdS,298.0,2.42
CdS,298.0,2.4
CdS,298.0,2.34
CdS,298.0,2.6
CdS,298.0,2.2
CdS,298.0,2.426
CdS,4.0,2.582
CdS,298.0,2.5
CdS,298.0,2.46
CdS,80.0,2.573
CdS,298.0,2.36
CdS,4.2,2.582
CdS,15.0,2.524
CdS,298.0,1000000.0
CdS,300.0,2.42
CdS,5.0,2.583
CdS,77.0,2.578
CdS,77.0,2.593
CdS,77.0,2.653
CdS,298.0,2.46
CdS,298.0,100000.0
CdS,2.0,2.5831
CdS,2.0,2.5986
CdS,6.0,330.0
CdS,300.0,2.485
CdS,298.0,2.35
CdS,298.0,2.6
CdS,7.0,46.2
CdS,4.2,2.583
CdS,297.0,2.46
CdS,10.0,2.59
CdS,77.0,2.57
CdS,77.0,0.063
CdS,298.0,2.56
CdS,298.0,2.72
CdS,114.0,2.52
CdS,298.0,2.44
CdS,298.0,2.43
CdS,,2.583
CdS,298.0,2.5
CdS,298.0,2.47
La10S15,298.0,2.76
La2S3 rt,298.0,2.73
La3S4 rt,298.0,2.9
La3S4 rt,298.0,2.85
La3S4 rt,298.0,2.7
Zn0.5Cd0.5Te ht,10.0,1.6442
Zn0.5Cd0.5Te ht,298.0,1.01
Zn0.5Cd0.5Te ht,80.0,1.92
Zn0.5Cd0.5Te ht,298.0,1.99
Zn0.5Cd0.5Te ht,300.0,1.81
Zn0.5Cd0.5Te ht,298.0,1.87
Zn0.5Cd0.5Te ht,300.0,1.78
Zn0.5Cd0.5Te ht,298.0,0.92
Zn0.5Cd0.5Te ht,298.0,1.6385
Zn0.5Cd0.5Te ht,298.0,0.6
Zn0.5Cd0.5Te ht,298.0,1.85
Zn0.5Cd0.5Te ht,298.0,0.031
Zn0.5Cd0.5Te ht,298.0,1.42
CeFe4Sb12,298.0,0.66
CeFe4Sb12,298.0,0.1
CeFe4Sb12,298.0,0.24
CeFe4Sb12,298.0,0.025
CePd3,298.0,0.26
Ce2Zr2O7,298.0,2.53
CsCl rt,0.0,5.0
CsCl rt,298.0,-5.28
CsCl rt,298.0,0.19
CsCl rt,300.0,8.3
CsCl rt,298.0,8.3
CsCl rt,298.0,8.2
CsCl rt,22.0,0.67
CsCl rt,22.0,7.85
CsCl rt,298.0,8.5
CsCl rt,298.0,9.85
CsCl rt,80.0,8.35
CsCl rt,5.0,8.4
RbCl ht,298.0,7.29
RbCl ht,298.0,8.5
RbCl ht,298.0,8.5
RbCl ht,298.0,8.2
RbCl ht,10.0,8.5
RbCl ht,298.0,9.9
RbCl ht,298.0,8.2
RbCl ht,298.0,7.8
RbCl ht,35.0,7.51
RbCl ht,35.0,7.65
RbCl ht,35.0,-1.0
PbCl2 rt,298.0,4.28
PbCl2 rt,5.0,4.7
SrCl2 rt,298.0,7.5
SrCl2 rt,298.0,7.5
FeCo2Si rt,298.0,0.1
Co[MoO4] ht,298.0,2.9
Co[MoO4] ht,298.0,2.4
CoO ht rt,0.0,2.7
CoO ht rt,298.0,3.2
CoO ht rt,298.0,6.0
CoO ht rt,298.0,6.0
CoO ht rt,298.0,2.5
CoO ht rt,0.0,3.1
CoO ht rt,298.0,3.2
CoO ht rt,0.0,0.4
CoO ht rt,10.0,4.6
CoO ht rt,298.0,3.0
CoO ht rt,298.0,3.0
CoO ht rt,298.0,2.66
SiC 3C,0.0,3.71
SiC 3C,298.0,2.39
SiC 3C,0.0,1.2
SiC 3C,0.0,2.37
SiC 3C,298.0,3.5
SiC 3C,0.0,6.27
SiC 3C,298.0,-120.8
SiC 3C,0.0,1.21
SiC 3C,0.0,5.32
SiC 3C,298.0,-91.2
SiC 3C,298.0,76.3
SiC 3C,0.0,5.99
SiC 3C,0.0,2.4
SiC 3C,0.0,2.5
SiC 3C,0.0,6.0
SiC 3C,0.0,7.0
SiC 3C,0.0,2.4
SiC 3C,0.0,3.59
SiC 3C,298.0,2.4
SiC 3C,0.0,6.0
SiC 3C,0.0,2.4
SiC 3C,0.0,3.03
SiC 3C,0.0,4.4
SiC 3C,0.0,6.27
SiC 3C,0.0,1.21
SiC 3C,0.0,1.21
SiC 3C,0.0,-3.3
SiC 3C,0.0,6.3
SiC 3C,0.0,51.1
SiC 3C,0.0,1.24
SiC 3C,0.0,5.37
SiC 3C,0.0,-3.3
SiC 3C,0.0,39.2
SiC 3C,0.0,5.961
SiC 3C,0.0,1.108
SiC 3C,298.0,1.67
SiC 3C,298.0,2.52
SiC 3C,0.0,3.0
SiC 3C,298.0,2.3
SiC 3C,298.0,5.7
SiC 3C,298.0,2.3
SiC 3C,298.0,0.038
SiC 3C,298.0,2.4
SiC 3C,0.0,2.89
SiC 3C,298.0,3.1
SiC 3C,0.0,1.37
SiC 3C,298.0,2.39
SiC 3C,298.0,5.8
SiC 3C,298.0,6.47
SiC 3C,298.0,2.3
SiC 3C,2.0,2.39
SiC 3C,2.0,2.39
SiC 3C,298.0,6.0
SiC 3C,2.0,2.417
SiC 3C,298.0,0.01
SiC 3C,298.0,2.416
SiC 3C,298.0,0.0102
SiC 3C,298.0,3.06
SiC 3C,298.0,2.35
SiC 3C,298.0,2.59
SiC 3C,298.0,2.39
SiC 3C,298.0,6.3
SiC 3C,298.0,2.2
SiC 3C,298.0,6.1
SiC 3C,298.0,2.47
SiC 3C,0.0,3.1
SiC 3C,298.0,1.3
SiC 3C,4.0,2.39
SiC 3C,298.0,0.0145
SiC 3C,298.0,3.88
CsF rt,300.0,9.8
CsI rt,298.0,2.5
CsI rt,298.0,0.0
CsI rt,298.0,2.2
CsI rt,298.0,6.4
CsI rt,300.0,2.8
CsI rt,0.0,3.3
CsI rt,298.0,1.2
CsI rt,0.0,3.2
CsI rt,298.0,-3.51
CsI rt,298.0,2.25
CsI rt,298.0,6.2
CsI rt,22.0,-0.95
CsI rt,22.0,5.82
CsI rt,298.0,6.135
CsI rt,298.0,5.0
CsI rt,298.0,6.2
CsI rt,298.0,6.3
CsI rt,298.0,7.6
CsI rt,300.0,6.2
CsI rt,298.0,5.8
EuO,298.0,0.987
EuO,298.0,1.14
EuO,298.0,-50.0
EuO,0.0,3.5
EuO,298.0,-50.0
EuO,0.0,0.07
EuO,0.0,3.18
EuO,4.0,0.044
EuO,4.0,0.0275
EuO,298.0,3.9
EuO,298.0,3.0
EuO,298.0,-44.0
EuO,298.0,-38.5
EuO,298.0,0.051
EuO,298.0,-0.14
EuO,78.0,50000.0
EuO,300.0,50000.0
EuO,298.0,1.12
EuO,298.0,0.2
EuO,298.0,-44.0
CuNdGe,298.0,22.4
HgSe rt,,0.735
HgSe rt,0.0,-1.28
HgSe rt,298.0,0.25
HgSe rt,298.0,0.42
HgSe rt,298.0,0.3
HgSe rt,0.0,0.607
HgSe rt,0.0,2.344
HgSe rt,298.0,130.0
HgSe rt,298.0,2.1
HgSe rt,298.0,-0.061
HgSe rt,298.0,0.81
HgSe rt,298.0,0.45
HgSe rt,298.0,0.15
HgSe rt,298.0,0.31
HgSe rt,298.0,-0.15
HgSe rt,10.0,-0.268
HgSe rt,20.0,-0.26
HgSe rt,40.0,-0.246
HgSe rt,58.0,-0.227
HgSe rt,80.0,-0.205
HgSe rt,298.0,0.39
HgSe rt,4.2,-0.274
HgSe rt,4.2,0.384
HgSe rt,298.0,2.781
HgSe rt,298.0,3.12
HgSe rt,298.0,130.0
HgSe rt,298.0,59.0
HgSe rt,298.0,-1.19
CuNdSn,298.0,22.5
CuPrSn,298.0,20.2
Dy2O3 rt,298.0,2.1
Dy2O3 rt,298.0,3.31
