formula,target
Mn11Pd21,56.24804064324844
Ni(RhSe2)2,31.844650715399705
In5Se5Br,13.823005839741668
HfAlRh2,131.0
CaCd2,15.538045688828886
Mg41Al67,22.66189019147157
FeNiPt2,93.17863657842211
TiNiO3,72.47679741867535
ZrNi2Sb,60.02016353019437
ZrGeTe,44.37945986912502
RbVBr3,1.6811920803265767
MoCl3O,1.4171531992870063
HgPtO2,15.520387944774347
NbCrGe,95.2485026937397
CoTe,50.77581633732275
ZrTiAs,70.78910905206666
Ba(AlGe)2,12.785833882215655
Cr2GaN,78.55831239793069
Li2GePbS4,19.43859240339536
NbS2,14.507045542165212
CdS,17.601204683765282
SnS,17.0
CrIr3,213.9683850846991
LiFe3O4,33.39374347488393
Cr2GaC,116.0
Be5Pd,132.0
SmCo2,21.0
Y2Fe2O7,70.5686429469203
Al12W,56.73757362176009
Y(AlSi)2,40.46464790999821
Cu3O2,36.64713318722975
YCrO3,92.65278381763429
Zr6Ga2Co,50.0
Ba(MgP)2,37.71536770175983
VFe,60.83180441065331
NiO,97.5111297734008
MoIr,174.12392608690325
CaI2,2.541516797742656
K2AgP,11.04063234878392
ScAlCu2,44.6395125041837
Ga2Te5,13.849324539806414
V3Te4,33.131428824702624
La3Co,12.111915449280255
ScGaCo2,84.09191713352419
NdCo2,16.0
CaFeSiO5,37.562224777180255
CuBiO2,19.56436668269098
MgO2,84.67690301916491
BPt,46.77306657437647
TiCrP,123.0
ZrTiTe4,12.0
LuAsO4,63.21199503168088
ZrP2,80.46513171887989
ScPd,38.41804786722104
GePd,44.59491439651085
V3Pd,73.54493817263472
Mg3Tl,12.589201869198966
TaNiGe,75.0
Sr3(AlGe)2,29.68931258528577
K3BAs2,6.532269818383211
KNiF3,40.36990082570347
SrMnN2,28.510503408745542
AgAuO2,17.201651220507575
Sc2Al3Ru,67.44384969354793
NbAlOs2,129.71593305461928
NbFeO4,47.56356647519043
MgTiN2,77.31024778646066
TaC,214.5874919975124
UIn3,37.0
Ni2Mo3N,140.9673459088781
Rb2Se,6.813185487915879
Li(BH)5,9.0
SmScO3,81.17916136130991
CuSnRh2,65.0
CaAlPd,27.402864435188288
Y(CoB)2,105.50885494260856
Zn(CrSe2)2,31.12106990199979
Sr3BiP,13.0
CaGa,24.4997468285384
SnGe,2.62627214313814
ScPRu,103.08469077439544
Zn2PdRh,65.46447484748985
Ti2OsRu,122.0
ScHg,28.998602176434712
Ca2Mn3O8,56.62497026365803
Ba2HfO4,59.7969811287177
MgSnRh2,54.1366119312506
Nb2CS2,24.0904270458091
Nb3Bi,64.46255736501678
ScGaPd2,25.308638899804222
Pd3Pb,44.82236715365385
TiCoO3,71.91928266959412
Nb3Ir,103.5624011957086
PtPb4,14.0
ZrHCl,25.0
VCo2Sn,69.857723540533
Sc3BPb,65.77979448149429
Li2FeO3,63.402011891803646
LiNbN2,58.301614270255754
Sr(GePd)2,34.0
NdNiO2,67.95511379749689
Fe2C,101.0
NaCuO,21.692591219754647
Ag2SeO3,8.0
YNbO4,51.24165909113319
MgAlRh2,84.8156349466596
NiBiO3,55.356024110656826
Al2Te5,4.50829650218768
Y2H2C,66.0
LiBO2,29.44943403859924
ZnCu2GeTe4,21.82448172826733
As2O5,46.89207204685104
Zr2Si,87.06338841393281
Y(AlGe)2,34.31878315977478
MgZr3,35.23963655481347
Ba(PdO2)2,27.0
Y(MnSn)6,71.28505571265596
Fe3Si,92.74259762301484
SrNiO3,54.12776315527678
LiZn3,18.60316264542614
Sr(ZnP)2,42.910329920763246
BaGePt,22.234148177581577
Be2B,93.90736150607368
Na3CoO3,24.80414218362869
AlAgO2,60.13985899473977
Be2CuPt,57.215761104676936
Cu(BiO2)2,26.542659143299407
TiFe,97.01736811949807
LiZn2Pt,27.178409089962184
BaPt2,38.0
SbIrS,85.95333922586764
Ni3Se4,34.0
ScInAu2,23.282572194112262
Sr3(FeO3)2,55.294516906234506
KCuCl3,17.0
Y2Hf2O7,96.0
K3AgSn3Se8,7.481714031454617
Y2MgCu2,17.17110836917678
Zr2Fe3Ge,88.0709251245104
Bi2Te2Se,9.752431641950588
GaRh,63.38212897360054
Li2MgBr4,11.527359433883255
AgF2,10.940047786124053
LiCuPd2,42.6901769106624
ZnCN2,23.805193279052855
KClO3,7.362685796742817
Yb2ZnPb,29.0
Sr3Li,9.636038574185903
Pr3GaC,13.0
Zr2Al,52.85873725423936
Si5Rh4,89.94598812574421
V2CrFe,106.96843494838907
ScInCu2,41.0
Bi2Pd,18.966258215698193
Al7CoCu2,63.40658299680784
ZnSbF6,29.0
Be12W,157.5851137827158
Ca2AuN,31.416717747582982
NbRhO4,82.51717407687198
La(FeSb3)4,56.16011935933923
LiGaPt2,99.16065899305993
YCuSn,51.84370611256272
Ta5Sb4,60.0
