formula,band_gap (MP)
Mn2Sb2O7,0.7092999999999998
Li2Ti(OF3)2,0.7093
Li4V3P8O29,0.7093
Fe2(Se2O5)3,0.7093999999999999
NaCu(PO3)4,0.7094
Ag(CO)2,0.7095
Ca6Si6O19,0.7095
K2P3,0.7095000000000002
SrLiLa3FeO8,0.7097999999999995
KBaP3O10,0.7098
K2RhAuF6,0.7098
MnZn4O5,0.7099
UMnO4,0.7099000000000002
Mg6CdSiO8,0.7100999999999997
MgAu4Se4(ClO3)4,0.7101
Tl5Se2I,0.7101999999999995
NdN3O13,0.7101999999999999
CsMnP3HO10,0.7102
Ba2UInO6,0.7102000000000004
Mg(ScSe2)2,0.7102000000000004
La2CuTe4,0.7102999999999993
CsRbAu2,0.7103
Cs3InP2,0.7103000000000002
Cu2(ReS2)3,0.7103999999999999
Pu2SiO10,0.7104
LiFeP2O7,0.7104000000000001
LaMg2H7Pd,0.7104999999999997
Mn2Fe(PO4)3,0.7105999999999999
Mg3Si4(WO7)2,0.7106999999999992
Li3V3P8O29,0.7106999999999999
Li9Mn2Co5O16,0.7107000000000001
MgV4Sb2(PO4)6,0.7107999999999994
Li4V2OF7,0.7107999999999999
Sb2C6(Br3N)3,0.7109
SnAs2O9,0.7109
Sr(CdP)2,0.7109000000000001
Li2Cr3NiO8,0.7109999999999999
CsNaMoO6,0.711
SbC2SCl3O,0.7110999999999998
KHgBr3O,0.7111000000000001
Ba(YTe2)2,0.7111999999999998
CsSnN,0.7113999999999994
Na3MnO3,0.7114
Li2Mn3P5O18,0.7114000000000001
SrCaTiMnO6,0.7115999999999998
Sr3Mg(FeO3)2,0.7116000000000002
CaCrO2,0.7117
Ba5Nb3O3F20,0.7117
RbMg14CoO16,0.7117999999999993
Li4Mn2V3O12,0.7118
NdTlTe2,0.7119
Sr2CoCO3F5,0.712
Cr4OF11,0.712
Li3Co2(CO3)4,0.7120000000000001
Li2NiO2F,0.7120000000000002
CoO,0.7120000000000002
ScCuSe2,0.7120000000000006
Li2MgCo13O28,0.7121
MoW2(Se2S)2,0.7123000000000002
Mn2Si5N8,0.7123999999999997
Li2MnCoO4,0.7124999999999999
AlCuSnS4,0.7126999999999999
Ca4Mg4V3AsO20,0.7126999999999999
KCoH2CN4O7,0.7127000000000001
MgV2(Ga2O5)2,0.7127000000000008
Mg14SiSnO16,0.7127999999999997
HgNO4,0.7127999999999999
CrCl2,0.7128999999999999
Li4MnV3O8,0.7128999999999999
Li3SiNiO5,0.7130000000000001
BaSr(SnO3)2,0.7130999999999998
BiC8N4Cl7,0.7131000000000001
Ba2YCr3O7,0.7131999999999996
CeSe2,0.7131999999999998
C,0.7132000000000001
Mg6TiVO8,0.7134
Na3FeO4,0.7134
LiNbS2,0.7134999999999998
Sn,0.7135000000000002
SiAg5O4,0.7138000000000002
CeSe2,0.7140000000000004
Cr3FeO6,0.7140999999999997
Ca2Mg(PO5)2,0.7141
Na2MgCu2TeO6,0.7141000000000002
CaSnS3,0.7142
LiMn(SiO3)2,0.7142
Li2MgCo13O28,0.7142
Mg(CoO2)2,0.7143000000000002
Cs3Sn4Au,0.7143999999999999
H24Rh2(N4O5)3,0.7143999999999999
RbSO2,0.7143999999999999
MgTe(ClO)6,0.7145000000000001
Ba2InSbTe5,0.7145999999999995
Mg6CoSnO8,0.7145999999999999
V2FeO4,0.7147000000000006
CuH14C4(NO2)4,0.7148
