formula,target
TiBeCo2,192.4092439865268
ZrFeSb,143.0
Mg4H2O5,79.34182183215627
TaTiFe2,187.0
Li2PdO3,105.3412380414812
MgZn,50.62518933417561
Ga2Se3,27.576519736971523
CoAgO2,128.1095519211003
TiTe2,17.639714308773918
ZnSnSb2,40.40913013646486
V2CrSe4,73.0
Zr3(Cu2Ge)2,132.70503318060304
YbCu5,88.0
Mn(FeO2)2,161.9432025533639
Ti2AlV,118.95783853226948
Mn5C2,219.9983425076162
ScBe5,108.47117650552391
LiRuN,105.0
TiZnRh2,192.76180412799545
MnAlFe2,196.0
YNiSn,90.50809230825423
LiGaTe2,26.89867909880681
Si4P4Ru,119.8324470882722
KAgCl3,32.0
BaAu2,45.0
Nb2Pb2O7,144.74482181568283
SrCrRh2,84.0
HfI3,4.352280129164772
V3B4,278.0
AlCo3C,234.4545096535532
AsPd3Pb2,88.17412886963564
Zr6FeTe2,113.62942950937196
Rb2Pd3S4,20.32212896064581
TaNi3,222.0
BaC2,39.728855534096745
Li(Sn3Pd)2,61.79124029838212
TiNiO3,170.95154085914118
SbSI,7.0
Ba(AsPd)2,55.29175031671596
Li2WS4,6.513499580663733
RuO2,251.9744425196513
RbFeSe2,16.003658410157882
SiRu2,256.76808075327483
AlB2,184.74891814634745
Nd(NiP)2,128.0
YbPrCd2,45.0
TaCu3S4,38.09049119403714
Sc2In,65.01425877010084
CsAuO2,25.62846082805127
Cu(BiO2)2,57.75503578814472
Hf2NiP,167.0
TiZnPt2,180.1712932396228
Li2Si,33.1849669694944
Ti(BiO3)2,37.513332442178005
Li2FeO3,98.8587337629456
ScAlPd2,130.5585933891656
ZrBe2,119.49582186795506
CaAu,46.8277446195271
Y2Fe2O7,166.54448809989955
HfScRh2,156.78635675890146
ScAl3,84.29253598324641
Sc(FeSi)2,171.65541076102983
Si3Ge,90.08680585354512
ZrCdPd2,136.42874221391628
Ba9Nb10O30,169.8844827180045
K3Sn,9.472161676040596
BaGePt,64.95091487845119
NiAu3,146.1111377881183
Ca2N,35.0
NiGePt2,196.0
ScS2,63.68897008718113
Mg2SbN3,114.24388239822488
Sm2ZnIn,52.0
CrNiAs,128.86290580715954
CdTe,35.308637987886435
Ca2Bi,31.0
LiSn2N3,84.47549605780041
MnZn3,88.10285835311089
CaFeSiO5,97.97220236629404
SmTe,60.0
Fe4O5F3,123.79068508363736
Si2CN4,127.82955343771984
Hf3ZnN,149.91366837529262
SrAu5,89.59720439627304
LuAsO4,136.2697386778608
CuRhO2,163.9606158778499
LiAlAu2,94.0
FeH,176.89165383349754
HfGeTe4,13.394062070432188
NbI3,3.567599590466356
Ni3S2,126.92750586374514
BaZn5,47.73448116767973
KNiF3,74.67599157961409
TmSnRh2,150.0
Zr4Al3,108.1282594410402
ScMn2,166.4901022203771
CrBr3,8.457031157599971
NbFeO4,162.0796770566189
Ba2CuC(NO)2,66.17532194666941
NiS,124.0
Br2O,6.215870562643441
LiSc2Au,73.0
YbSiPt2,129.0
Ti2InC,126.88832796879709
SmScO3,161.77093943096315
LiCuS2,44.31947599931171
Ca(GePd)2,83.27315146815616
TaZnRh2,216.92824893143072
NbSiPd,194.8920000245626
NaCuSe,41.42068770530692
LiGa2Pd,80.35515065661113
Sc2AlTc,108.06110504647069
KClO4,17.0
In2Pt,94.85489450594628
TiIr3,294.4639072434695
LiMnO2,115.5917058261644
Ca2Mn3O8,122.57252968273907
TmClO,25.0
Y2NiIr,106.35703939552002
CoPtO2,178.58552812355046
Si3Ir,144.92785391648988
Ag2SeO3,29.0
CaGa,35.4714295616981
Na2TlBi,22.624204316853533
MoF6,4.808122364509254
CuN3,10.03433098226614
MgZr3,79.91078008405489
TiIN,23.851531016986264
Ni3N,197.0297978955492
Cr3Se4,66.0
Li2FeO2,84.38240503404145
YPt2,162.39707836030382
AlRu,202.2108077045933
Mg(SbO2)2,48.54885566329202
Ti3Ag,123.0
AgCO3,62.0
MnGePd2,135.71941253013003
KMgF3,64.07587783170399
TlAsPd5,136.269461046125
Sr3Al3N5,103.80811501677566
RbGeI3,18.053967536877085
NiBr2,16.631264326525073
LiBO2,59.90374249667995
YZn12,78.74341883932107
NaHCO2,23.32806393514534
LiSi3,50.52281163132643
Co(BW)3,338.9423903674788
SiCN,207.3692726963837
BaHfN2,104.2909438985912
BaSn2,32.762313006630784
Ca6Ag16N,63.64846324494894
RbCeSe2,30.5452357398642
TaSb2,101.89694295634337
MnGePd,127.3620319318768
Na3(CuS)4,40.28127890572029
AgBiS2,61.407521687381184
Ba3BiN,24.912632798789893
Na2FeO2,57.53277023721404
MnV3O8,133.38606130340807
InRh,151.36513987836196
MoCl3O,2.764392796723135
NbAs2,124.47219562216948
NaLi2N,59.0
Sr7GeN6,60.834608910055714
RbSb,6.0
Ti(CuS)4,76.18567203023593
Zr5Sb4,106.32173790599713
InBi,33.08707054264623
SiPd3,160.8321170691638
Li2FeP2O7,53.26067772067103
Th3P4,108.05400799357471
Y2Hf2O7,171.0
SrNi2Ge,71.65984887614674
HfZrZn2,111.0
Ho2TlCd,58.0
NaCd2Pt,67.27905614618746
VPd3,177.63879487220916
Ba2MnSe3,35.58446338026016
Na2O,46.0
MnGaNi2,157.77298786510738
La3InB,76.0
GaCuCl4,9.704570691774151
Cd2PdRh,122.80144463146598
MgFeRh2,155.17514833724658
BaC,37.823784979715256
Co3Pt,212.0221935528629
TiAlCo2,177.69702484902112
Mn3CuN,160.18713955947916
ZrW2,215.19171380671767
MgSnIr2,177.8121624869865
Li(NiS)2,69.0
LaIn5Rh,2.0
TaAlOs2,271.90010173755667
Sr2FeO4,111.47104830762032
Pb2Au,57.22483081808314
Ga2FeS4,19.492991916080506
Mg3H4O5,47.50075753000672
AlAu4,126.65495776371012
Mn2CoSi,211.26323786502337
Cr2GeC,202.0
YMn12,150.7082654425629
NbCrO4,195.70041995230537
PNO,53.94990880988576
B2O,24.0
InBr,12.5642434506523
Zr2SbP,113.23828231117042
BeVRu2,237.96238624149265
CuAs,102.16214264950906
Pm2ZnAg,54.0
B13C2,222.38536381920943
MgPd2,114.96090652189343
Li2ZrN2,132.16890178438655
LiVRh2,178.7569474323409
MoI3,3.0
ScGa3,72.66926483174106
Mn2BiO5,127.564622769625
NbSeI,41.23423938266187
ScSn2,64.04253562038687
Sr3RuN3,61.58165110704334
Zr2Ni,121.8285345856045
YbI2,4.336953783383152
TiSiRu2,242.90945083595315
CuN,205.0847529774844
TiTc2Sb,212.0
YCdHg2,61.38147091237063
CoAgO3,110.90265258166758
SrAlSi,52.28777882433376
Te4Pt3,49.25229319890227
MnPd3,151.0
MnP4,137.20388626889255
RbCu3S2,42.68627157058773
ReS2,27.53578435253961
TiSnPt,136.52104495651977
Zr6Ga2Co,109.0
HoThTc2,120.0
ZnSb,47.787658737261886
InP3,50.75694600011636
Mn2NiO4,160.83331719106047
Ag2S,12.0
MgMoN2,246.3971645104652
