formula,Temperature,Seebeck (uV/K)
Ce ht1/hp1,50.0,8.5
Ce ht1/hp1,200.0,5.0
Ce ht1/hp1,200.0,20.0
Ce ht1/hp1,295.0,15.0
Ce ht1/hp1,298.0,8.7
Ce ht1/hp1,298.0,15.4
Ce ht1/hp1,50.0,7.0
Ce ht1/hp1,50.0,5.9
Ce ht1/hp1,263.0,3.5
Ce ht1/hp1,330.0,6.3
Ce ht1/hp1,230.0,13.1
Ce ht1/hp1,300.0,16.2
Ce ht1/hp1,242.0,20.5
Ce ht2,1047.0,-1.5
Ce ht2,1023.0,-2.3
Ce ht2,1022.0,-3.6
Cu2Ce,35.0,-8.0
Cu2Ce,300.0,4.3
Cu5Ce,300.0,3.0
Cu6Ce rt,5.0,32.5
Cu6Ce rt,5.0,28.75
Cu6Ce rt,5.0,6.25
Cu6Ce rt,55.0,35.3
Cu6Ce rt,300.0,14.4
Cu6Ce rt,50.0,40.0
Ce rt,298.0,10.4
Ce rt,298.0,19.0
Ce rt,170.0,11.5
Ce rt,263.0,7.5
Ce rt,261.0,7.4
Ce rt,150.0,8.5
Ce rt,250.0,5.5
Ce rt,117.0,17.7
Ce rt,298.0,10.5
Cr0.5Mo0.5,285.0,19.0
Cr0.5Mo0.5,50.0,-1.1
Cr0.5Mo0.5,60.0,-4.7
Cr0.5Mo0.5,360.0,13.0
Cr0.5Mo0.5,265.0,8.0
Cr0.5Mo0.5,55.0,-2.0
Cr0.5Mo0.5,230.0,5.5
Cr0.5Mo0.5,60.0,-3.0
Cr0.5Mo0.5,210.0,4.0
Cr0.5Mo0.5,50.0,-3.2
TiC,300.0,-6.4
TiC,300.0,-6.0
TiC,300.0,-6.4
CuO rt,500.0,607.0
CuO rt,400.0,326.0
CuO rt,300.0,467.0
Cu6Pr lt,15.0,2.5
Cu6Pr lt,50.0,2.9
Cu6Pr lt,300.0,6.0
Cu6Pr lt,6.0,2.0
CuY rt,300.0,10.0
Y rt,273.0,3.1
Y rt,373.0,7.0
Y rt,773.0,15.0
Y rt,1273.0,26.5
Cu0.63Zn0.37 rt,295.0,-0.4
Cu0.185Zn0.815,295.0,1.6
Cu0.025Zn0.975,295.0,2.1
CuZn rt,295.0,-0.2
Cu5Zn8,295.0,-2.8
Cu5Zn8,298.0,-2.1
Dy rt,80.0,-1.1
Dy rt,1070.0,2.3
Dy rt,298.0,-0.75
Dy rt,298.0,6.8
Eu,80.0,2.5
Eu,510.0,34.4
Eu,480.0,32.9
Eu,560.0,33.7
Eu,560.0,33.3
FeGa3,298.0,-350.0
FeGa3,298.0,-320.0
Fe3O4 rt,300.0,-60.0
Fe3O4 rt,298.0,50.0
Fe3O4 rt,293.0,-3.5
Fe3O4 rt,293.0,-38.7
Fe3O4 rt,,-31.0
Fe3O4 rt,300.0,55.0
Fe3O4 rt,298.0,-53.0
Fe3O4 rt,298.0,-61.0
Fe3O4 rt,300.0,-50.0
Fe3O4 rt,300.0,-75.0
Fe2O3 hem,298.0,-0.602
Fe2O3 hem,246.0,-834.0
Fe2O3 hem,270.0,-830.0
FeS ht2,,-10.0
FeS tro,,125.0
FeS tro,280.0,75.0
FeS tro,280.0,35.0
FeSb2,298.0,30.0
FeSb2,400.0,40.0
FeSb2,83.0,-10.0
FeSb2,50.0,-340.0
FeSb2,400.0,48.0
FeSb2,20.0,1400.0
FeSb2,20.0,-1400.0
Ti rt,323.0,7.19
Ti rt,760.0,-2.1
GaS rt,317.0,2160.0
GaS rt,570.0,1400.0
Ga2Se3 rt,225.0,35.0
GaSe 2Halpha,430.0,-1560.0
GaSe 2Halpha,590.0,-1270.0
Gd7Rh3,30.0,-2.7
Gd7Rh3,300.0,-1.8
Gd7Rh3,30.0,8.8
Gd7Rh3,300.0,-1.1
GdSb rt,298.0,-7.0
Na rt,298.0,-0.5
Na rt,298.0,-5.7
Na rt,298.0,-5.0
Na rt,298.0,1.5
Pu ht1,423.0,10.0
Pu ht2,523.0,0.87
Pu ht3,350.0,0.35
Pu ht4,730.0,0.25
Pu ht5,773.0,0.45
Pu rt,323.0,15.0
Sr ht/hp1,850.0,16.1
Sr rt,750.0,7.7
Sr rt,300.0,1.1
Sr rt,300.0,1.1
Sr rt,750.0,7.9
TiH2 rt,323.0,-0.07
TiH2 rt,750.0,-12.3
In2Se3 ht1,215.0,195.0
In2Se3 ht1,298.0,20.0
In4Se3 orth,298.0,-560.0
In4Se3 orth,298.0,-26.0
In4Se3 orth,300.0,-100.0
In4Se3 orth,298.0,-314.0
In0.75Sn0.25 rt,383.0,0.64
In0.75Sn0.25 rt,383.0,0.45
In0.75Sn0.25 rt,383.0,0.24
K rt,298.0,-9.5
K rt,298.0,-12.0
K rt,298.0,-5.0
K rt,298.0,-12.0
K rt,1.5,-0.058
K rt,1.6,-0.03
K rt,3.0,-0.156
