formula,Temperature,Seebeck (uV/K)
Ca0.7Tb0.3MnO3,300.0,-46.31
Ca0.7Tb0.3MnO3,400.0,-44.36
Ca0.7Tb0.3MnO3,700.0,-55.34
Ca0.7Tb0.3MnO3,1000.0,-68.2
Ca0.9Ho0.1MnO3,300.0,-72.01
Ca0.9Ho0.1MnO3,400.0,-81.79
Ca0.9Ho0.1MnO3,700.0,-101.47
Ca0.9Ho0.1MnO3,1000.0,-114.58
Ca0.7Ho0.3MnO3,300.0,-43.69
Ca0.7Ho0.3MnO3,400.0,-45.05
Ca0.7Ho0.3MnO3,700.0,-50.98
Ca0.7Ho0.3MnO3,1000.0,-64.7
Ca0.9Y0.1MnO3,300.0,-70.53
Ca0.9Y0.1MnO3,400.0,-81.71
Ca0.9Y0.1MnO3,700.0,-112.78
Ca0.9Y0.1MnO3,1000.0,-135.59
Ca0.7Y0.3MnO3,300.0,-41.61
Ca0.7Y0.3MnO3,400.0,-41.63
Ca0.7Y0.3MnO3,700.0,-52.45
Ca0.7Y0.3MnO3,1000.0,-60.8
BaPbO3,300.0,-26.0
BaPbO3,400.0,-31.98
BaPbO3,700.0,-33.62
BaPbO3,1000.0,-30.17
Ba0.8Sr0.2PbO3,300.0,-24.46
Ba0.8Sr0.2PbO3,400.0,-30.29
Ba0.8Sr0.2PbO3,700.0,-41.77
Ba0.8Sr0.2PbO3,1000.0,-33.71
Ba0.6Sr0.4PbO3,300.0,-42.0
Ba0.6Sr0.4PbO3,400.0,-51.37
Ba0.6Sr0.4PbO3,700.0,-65.77
Ba0.6Sr0.4PbO3,1000.0,-39.71
Ba0.4Sr0.6PbO3,300.0,-82.77
Ba0.4Sr0.6PbO3,400.0,-96.44
Ba0.4Sr0.6PbO3,700.0,-117.92
Ba0.4Sr0.6PbO3,1000.0,-52.48
LaNiO3,400.0,-19.88
LaNiO3,700.0,-25.76
LaNiO3,1000.0,-27.03
La0.9Bi0.1NiO3,400.0,-20.95
La0.9Bi0.1NiO3,700.0,-28.46
La0.9Bi0.1NiO3,1000.0,-30.79
Ca0.96Sm0.04MnO3,400.0,-139.46
Ca0.96Sm0.04MnO3,700.0,-169.85
Ca0.96Sm0.04MnO3,1000.0,-187.5
Bi2Te3,300.0,162.0
Bi2Te3,300.0,-174.0
Sb2Te3,300.0,38.0
Sb2Te3,300.0,63.0
Ag0.15Sb0.15Te1.15Ge0.85,300.0,78.67
Ag0.15Sb0.15Te1.15Ge0.85,400.0,122.16
Ag0.15Sb0.15Te1.15Ge0.85,700.0,199.03
Ag0.15Sb0.15Te1.15Ge0.85,1000.0,165.79
In0.05Co4Sb12,300.0,-279.86
In0.05Co4Sb12,400.0,-295.57
In0.05Co4Sb12,700.0,-334.67
In0.1Co4Sb12,300.0,-257.3
In0.1Co4Sb12,400.0,-276.16
In0.1Co4Sb12,700.0,-309.85
In0.15Co4Sb12,300.0,-246.59
In0.15Co4Sb12,400.0,-266.33
In0.15Co4Sb12,700.0,-301.53
In0.2Co4Sb12,300.0,-222.15
In0.2Co4Sb12,400.0,-248.19
In0.2Co4Sb12,700.0,-281.75
In0.25Co4Sb12,300.0,-217.11
In0.25Co4Sb12,400.0,-247.94
In0.25Co4Sb12,700.0,-275.7
In0.3Co4Sb12,300.0,-211.82
In0.3Co4Sb12,400.0,-247.31
In0.3Co4Sb12,700.0,-278.47
In0.2Co4Sb12,300.0,-192.21
In0.2Co4Sb12,400.0,-214.39
In0.2Co4Sb12,700.0,-247.54
Na0.02PbTe,300.0,62.38
Na0.02PbTe,400.0,105.0
Na0.02PbTe,700.0,212.86
Na0.02PbTe0.85Se0.15,300.0,50.95
Na0.02PbTe0.85Se0.15,400.0,98.33
Na0.02PbTe0.85Se0.15,700.0,209.05
Na0.02PbTe0.85Se0.15,1000.0,204.0
Na0.02PbTe0.75Se0.25,300.0,58.81
Na0.02PbTe0.75Se0.25,400.0,89.76
Na0.02PbTe0.75Se0.25,700.0,205.24
Na0.02PbTe0.75Se0.25,1000.0,197.0
Tl0.01Pb0.99Te,300.0,140.4
Tl0.01Pb0.99Te,400.0,201.46
Tl0.01Pb0.99Te,700.0,323.94
Tl0.02Pb0.98Te,300.0,136.17
Tl0.02Pb0.98Te,400.0,195.21
Tl0.02Pb0.98Te,700.0,327.66
Si0.9Ge0.1,300.0,169.0
Si0.9Ge0.1,400.0,192.0
Si0.9Ge0.1,700.0,242.0
