formula,Temperature,Rho (Ohm.cm)
La3Te3.35Bi0.65,400.0,0.00535
Bi.38Sb1.62Te3+1.5%(Ge.5Mn.5Te),300.0,4.7784E-04
Sr3Ti1.6Nb0.4O7,400.0,0.002173913
Zr0.35Hf0.35Ti0.3NiSn,300.0,0.00860507
Ba8Ni4Ge42,1000.0,0.00191816
Ti0.99Nb0.01NiSn,1000.0,0.001142318
Zn0.99Al0.01O,400.0,0.00709234
Mg2Si0.98Ag0.02,400.0,0.413
Ca0.9Bi0.1MnO3,700.0,0.004997002
Zn0.9925Al0.0075O,700.0,0.0111002
Mo6Te7S,1000.0,8.33E-04
Si0.7956Ge0.1989P0.0055,1000.0,0.002504
Ba8Ga16Ge30,700.0,0.00123
Cu2ZnGe0.975In0.025Se4,700.0,0.00496
Ca2.85Na0.15AlSb3,1000.0,0.0125
Bi2Sr2Co2O8,1000.0,0.0036682
Nd2Cu0.98Ni0.02O4,1000.0,0.0229546
SrNb0.15Ti0.85O3,700.0,0.055185202
Cu3Sb.8Bi.1Se4,300.0,4.7565E-06
Sr0.9Y0.1TiO3,400.0,0.001259
Bi.84Ca.08Pb.08CuSeO,700.0,0.005890957
NaCoO2,1000.0,0.01466
Si0.79936Ge0.19984B0.0008,700.0,0.00218446
La0.45Ca2.55Co4O9,300.0,0.043094346
Mg0.99Li0.01Ag0.97Sb 0.99,700.0,0.001190712
Mg3.07Sb1.5Bi0.48Se.02,700.0,0.00865272
Cu1.98Ag.02Te,1000.0,1.7061E-03
Cu3Sb.96Bi.04Se4,300.0,0.054034765
Bi1.90Ta0.10O2,400.0,0.006602564
Pb0.96Sr0.4TeNa0.2,1000.0,0.003154574
Fe1.98Sn0.02O3,700.0,0.213016592
SrMn0.96Mo0.04O3,300.0,0.0154019
CuInTe2(annealed 1hr),300.0,0.028972656
Cu2.075Mg0.925SnSe4,300.0,0.005320054
Ba0.4Sr0.6PbO3,700.0,0.00351048
Cu4.0Mo6S8,1000.0,0.00217885
Bi2Te2.5Se0.6,700.0,1.9732E-03
Sm1.7Ca0.3MnO3,300.0,0.248876
YBiRu2O7,700.0,0.001901516
SrNd0.24Ti0.76O3,1000.0,0.003194888
Ba8Ga16Ge30,400.0,0.0009
Cu3Sb.99Bi.01Se4,400.0,0.040868259
Mg2Si0.9985Bi0.0015,400.0,0.000902
MgAg0.97Sb.985As.005,400.0,0.002284768
In0.2Co4Sb12,400.0,0.00128767
Yb9Mn4.2Sb9,300.0,0.003176145
Ba8Ni4Ge42,700.0,0.002485645
Tl2SnTe5,300.0,0.00433
SrNd0.2Ti0.8O3,400.0,0.001474926
Zr0.3Hf0.3Ti0.4NiSn,300.0,0.00845644
Znx0.06Bi0.46Sb1.54Te3.06,700.0,0.0019581
Fe1.96Ti0.04O3,400.0,0.21392342
Si0.9Ge0.1,1000.0,0.004144
SrNb0.15Ti0.85O3,400.0,0.375476856
Znx0.015Bi0.46Sb1.54Te3.015,300.0,0.0010931
Ca0.7Y0.3MnO3,1000.0,0.00707093
Cu0.99GaTe2,400.0,0.006218242
La0.45Ca2.55Co4O9,1000.0,0.01759148
Y2Ru2O7,1000.0,0.084481186
Ca2.4Na0.3Bi0.3Co4O9,1000.0,0.007622
Zn0.98Al0.02O,1000.0,0.001819701
Ba8Ga16Ge30,1000.0,0.00171
Zr0.25Hf0.25Ti0.5NiSn,700.0,0.00163327
Sn.985Na.015Se (hole doped)   B axis,300.0,6.5839E-04
Bi92Sb8,300.0,0.000160849
LaOBiS.14Se.06,700.0,6.22622108
NaCo2O4,400.0,3.54E-04
Zn0.9925Al0.0075O,300.0,0.0103143
