,formula,target
133,GeSb6Te10,12.429216196844383
426,Ba0.32Ti1.35Fe0.65O4,-8.87386813535497
1432,Cu2Te0.9S0.1,12.611537753638338
1308,Na0.2Ag2.8EuTe4,7.090076835776092
943,Cu0.5Zn0.5FeGaO4,-9.544415483997675
1444,Cu0.5YMn0.5O3,0.1823215567939546
81,Ti6O11,11.608235644774552
596,PbN32,-25.328436022934504
1015,K1.27Na0.23Ga10.77O16.91,0.6931471805599453
1678,Li6ZnTiO6,-16.11809565095832
1313,K0.33Ba0.67AgTe2,2.995732273553991
1605,Cu2PbBr4,-16.34123920227253
422,Ag3VO4,-16.11809565095832
571,SrCu0.3Fe0.3Co0.4O3,6.354370040797351
638,Cu4SnP10,-10.770988120240851
1249,CuFe0.98Ni0.02O2,7.07326971745971
1226,HLi3WMo8S8O13OH8H2O19,-6.119297918617867
1557,Mo3Co0.05Sb5.4Te1.6,11.918390573078392
1364,La0.09Zr0.64Ti0.34Pb0.91O3,-12.591735126342158
335,SrTiO3,-13.766720393794841
1482,Li2.7Hf0.3Cr1.7PO43,-2.9412440882699213
1113,Sr2Ti0.8Nb0.2O4,8.006367567650246
443,BaRuO3,11.156250521031495
1403,Fe0.375Co0.25Ni0.375Sb3,10.626193535337618
375,CuSmS2,-2.7646205525906042
1008,CsCu4I2Cl3,3.367295829986474
941,Na0.001Cu0.999InS2,-4.990832666800076
361,NbSe3,13.287877815881902
1681,Na0.4Dy0.6F2.2,27.274346171989816
693,Ba2Cu3YO6.1F1.1,5.247024072160486
872,CoIn2Se2S2,-5.2030071867437115
1296,NdMn0.5Rh0.5O3,-3.223888366691745
521,MnNiO3,-15.01948336229021
1176,Li2.2Ta0.4Cr1.6PO43,-8.740336742730447
746,Yb0.5Fe2Co2Sb12,11.341662535533008
1599,Ca0.75Ho0.25CoO2.65,1.9572739077056285
750,Ba0.35Co4Sb12,12.278160721924428
558,Er2Si2O7,-11.417615285165903
1283,Zr0.26Ti0.24Nb0.25Fe0.25PbO3,-8.111728083308073
409,K2.5Sb8.5Se14,0.0
12,RuAl2,0.26236426446749106
718,Na0.2La0.8MnO3,8.935903526274423
404,TiNiSn,9.425451751593128
1199,RbLaBi4S8,-4.605170185988091
73,H2O,-11.512925464970229
195,Ag2CdI4,-10.819778284410283
399,Ho2Al3Si2,15.319587954740548
1626,NbAsO4OH2O,-10.819778284410283
534,CaCu3Ti4O12,-5.991464547107982
644,VAsO4OH2O3,-7.824046010856292
1329,Li6PO4ClO,-16.11809565095832
785,W3O9H2O,-4.656463480375642
810,Cr1.33Ga2Se5,-6.776727016575733
215,Zn0.5Cd0.5Se,-15.01948336229021
1608,Dy0.1Ti0.536Pb0.9Sn0.439O3,-11.849097746582443
163,CuInSe2,2.6946271807700692
1657,LiMn0.4Co0.6VO4,-10.126631103850338
1440,Sr0.82Th0.18F2.36,-11.417615285165903
