,formula,target
127,Dy2O3,-9.391862248599573
866,K4Zn2Ge21,10.239959789157341
295,Li2TiO3,-13.345506928718539
1171,Mg0.25LaCr0.75O3,2.468099531471619
474,Sr2IrO4,5.393627546352362
1116,Te0.15Se0.85,-8.247166054203177
472,Cu0.34SmTe2,6.551080335043404
1157,BaTi0.6Co0.4O2.97,-3.2263961442172957
880,Ta2Se8I,10.46310334047155
1231,LaTi0.5Mn0.5O3,3.4011973816621555
1020,Li4.04Al0.4Si0.6S4,-10.680016342035124
942,La4Fe0.9Ni2.1O10,8.070906088787819
1,ScF3,-29.933606208922594
97,Si15B290,4.605170185988092
1297,GdMn0.5Rh0.5O3,-4.605170185988091
815,Na0.75CoO2,10.591873415994362
1215,Tl2.35Sb8.65Se14,-2.8473122684357177
576,MnFeNiO4,-4.2336066295556085
1244,BaCuHoFeO5.05,-0.8209805520698302
89,Sm3S4,4.605170185988092
820,Sc0.20Ti0.80NiSn,7.600902459542082
720,CuSCN,5.634789603169249
449,Na0.67Ti0.67Ni0.33O2,-4.074541934925921
550,Pr0.67Nb2O6,-11.74359728270523
308,In0.5Sn0.5Te,12.611537753638338
1037,LaMo8O14,4.605170185988092
218,Cr2CoS4,4.0943445622221
672,SrV0.5Mo0.5O3,13.997832114758229
178,NbS2,7.8632667240095735
433,Ba2Cu3YO7.3,7.313220387090301
582,Rb3Mo10O30,10.596634733096073
1661,Sc0.5Ta0.5PbO3,-27.161017486682812
1208,SrCu2GeS4,-2.4123999590012524
1503,Cu0.667Ga0.025Sn0.308Se,11.522875795823397
655,Li0.3Zn0.4Fe2O4,-6.812445099177812
448,K3CaV5O15,-6.607650686531799
1696,Li2PtCN4H2O3,-6.492339840020804
567,Ba0.5Sr0.5CoO3,3.912023005428146
619,AuBr,-6.907755278982137
1342,SrMn0.8Si0.2O2.72,3.044522437723423
492,Ta2CrO6,-10.4482147279778
385,Bi0.5Sb1.5Se3,13.081541382884074
741,Fe0.9O,8.556413904569519
281,TlInS2,-19.291759133004973
1080,BaSrCuCO3O2.22,4.382026634673881
745,Ca0.5TiPb0.5O3,-11.169335760580152
1388,Ti0.95Co0.05O2,-0.8915981192837836
483,CeVO3,1.1939224684724346
895,Sr6Co5O15,5.560681631015528
1293,C60,-4.8283137373023015
1648,K10Nd4Si14O39,19.92475814072864
282,V0.5Mo0.5O2,10.596634733096073
1000,NH42SbF5,-16.75297392339429
437,Sr3Fe2O6.75,-0.916290731874155
1407,Pb0.25Sn0.25Ge0.5Te,10.308952660644293
780,BaZr0.07Ti0.93O3,-5.521460917862246
548,LiMn1.5Ni0.5O4,-4.645992180508347
853,Sr0.5La0.5Mn0.5Sn0.5O3,-0.6931471805599453
1048,CaV0.5Mo0.5O3,12.793859310432293
1197,SrTa0.5Fe0.5O3,-8.568486485803788
1515,KSm0.0005NbO3,1.0986122886681098
782,CeMo8O14,6.866933284461882
1223,Bi2Te3,10.343354093625715
1029,CuYSeO,2.6390573296152584
1172,BaZr0.6Fe10.3Co0.6O18.25,-0.7236063880446539
1562,TlGd0.1In0.9Te2,6.56244409369372
1458,BaY0.5Nb0.5O3,-10.596633933096394
1220,In2.5Sn8.55As10.88I4,5.631211781821365
1112,Ba4Ga1.5Ge21.5,11.931635799828413
840,Na0.1Li0.1La0.6TiO3,-7.929406526514119
673,Li0.5La0.5TiO3,-1.8773173575897015
1622,SrPtCN4H2O2,-14.73180128983843
686,Ag0.25Pb0.5Sb0.25Te,11.156250521031495
1132,Li0.5Mn0.5O,-18.882716203548924
1429,Sr4Ga7.5In0.5Ge15,11.532728092266408
817,Li5La3Nb2O12,-7.505592279737757
1610,Tl2In2Se3S,-17.832894079050245
1240,Ag0.37WBr3O,15.913528485217045
1611,BaLaTi4Bi3O15,-8.235780731978052
752,Sr0.5La0.5Mn0.5Ru0.5O3,8.294049640102028
121,Zn0.5Cd0.5Te,-3.473768074496991
1344,Li0.3Y2Cl2D1.3,6.1092475827643655
699,Cu6La5S7O4,14.07795866507072
876,Fe0.8Co0.2BiO3,-10.724468104605958
1671,Na2Nd2Ti4Nb4W2Pb2O30,-15.424948470398375
1691,In1.050Te0.002Se0.949,-2.2633643798407643
899,DND43SeO42,-5.3882420740760235
1044,Sb8Te9,13.304684934198283
16,B,-7.600902459542082
1601,CuHo2ZrO6,-6.645391014514646
1683,Na2.5Yb0.5ZrAl0.5P2.5O12,-4.9733395093525585
778,Ba0.2Fe0.95Co0.05Bi0.8O2.875,-8.679712120914012
578,CuCr2Se3Br,-6.502290170873972
1520,Ge6Bi2Te9,11.225243392518447
924,Pb3Sn3Bi2Se9,10.477287975463508
855,Ca0.2Ce0.8VO3,6.309918278226516
1170,BaCu5.93Te6Se,8.294049640102028
38,Ni3S2,14.22097566607244
293,Li0.57Ti0.86O2,-12.621588089491839
31,AlSb,13.086736199761178
39,NiS,14.22097566607244
106,TiFe2Al,14.180153671552183
23,Fe1.27Sb,11.512925464970229
710,CuLaSO,-1.5371172508544744
69,Co9S8,13.815510557964274
1522,Y0.1In1.84Sn0.06O3,8.987196820661973
1494,BaFe16Co1.2Ni0.8O27,-7.1308988302963465
1257,Na2Mo8C2O4S8O8OH8H2O26,-1.5606477482646683
1537,Cs1.1Sn1.9Bi7.9Se14,9.903487552536127
1571,Mg0.5Ti0.5InO3,-8.468403027246806
265,Bi2Te2Se,11.183726712315513
1104,CsTaTe3,-0.616186139423817
1016,Sr2FeO4,-7.484008708070583
504,Li0.195Ba2Cu2.805YO7,-10.41431317630212
276,Fe2NiO4,-7.794487208614748
809,NdMo8O14,7.979338895262328
339,Mg0.79Al0.80B14,-3.912023005428146
1464,CaEu0.2Fe1.8Sb2PO46,-16.11809565095832
945,Zn4.03Yb9Bi9,9.798127036878302
1291,BaYMnCoO5,-4.605170185988091
185,Sn2S3,-0.8324092478934529
798,KCuUSe3,2.302585092994046
930,Ce0.55Rh2O4,4.0943445622221
744,Ba0.5Sr0.5Fe0.5Co0.5O3,9.450419699996594
978,BaC6,16.11809565095832
61,WO3,-1.2039672376747632
797,CsCuCeS3,4.605170185988092
1147,RbU2Se6,-5.115995809754082
1530,Co1.0B105,1.1939224684724346
1460,La0.05FeBi0.95O3,-6.501383914981257
193,AgI,-4.198905397709363
646,Ba0.5Sr0.5TiO3,-29.933606208922594
33,Be13Zr,15.648092021712584
1269,Sr0.9Ti0.7Nb0.2Ga0.1O3,8.699514748210191
800,K2Bi8S13,9.392661928770137
57,InSb,13.083258657523567
938,Cu0.99Ga0.99Sn0.01O2,-8.804875263868018
1471,Cu0.99In0.01O,3.828641396489095
358,HfTe5,11.918390573078392
1603,Cd3SbO5,5.247024072160486
68,CoS,13.304684934198283
291,Ga0.7Ge0.6Sb0.7,-2.322787800311565
46,Zn6.67Sb5,11.76756768334381
923,Sn6Bi2Se9,9.846917201047734
277,FeVO4,-9.7178382056495
1565,Fe4In2Te11,-13.633189001170319
224,SmCoO3,-5.757183251383316
864,La2Ti0.5Mn0.5NiO6,-4.605170185988091
381,Cd0.5Mn0.5S,-13.290782029029293
1228,Ag0.04Pb0.90Sb0.05Te0.50Se0.50,7.426549072397305
364,UPt3,3.728100167267218
1621,Ag6WO4I4,-0.10536051565782628
1024,Sm0.67Ni2Ga5.94Si0.06,13.071070083016778
773,B,-20.272190217586193
1123,SrMgLaTaO6,-16.43280639579802
66,HfC,14.151982794585487
1055,Cd0.5Fe0.5PS3,-14.246293474056728
867,Li5.5La3Zr2Ga0.5O12,-4.605170185988091
28,TlSe,-2.4017426645272644
294,Li1.33Ti1.67O4,13.122363377404328
113,GeBi4Te7,10.043249494911286
245,LiV2O5,-2.946942109384559
1022,BaCuTmFeO5,-11.687278852115007
980,K6Cu12U2S15,11.918390573078392
411,Ag2HgSnS4,-2.9374633654300153
1423,Tl0.06Bi1.94Se3,12.375815420117268
1213,Gd2RuCoO6,0.09531017980432493
116,PbBi4Te7,11.77528972943772
1577,H3NbPO42OH2O3,-5.521460917862246
1367,KC8,16.213405830762646
247,Li0.9V6O15,-0.843970070294529
665,Zn0.22Cd0.78Te,1.916922612182061
1613,BaY2MoO7,-9.936010744241688
1263,Ba4Au3.69Ge2Te9,5.393627546352362
92,Ag0.5Au0.5,16.454567887579532
114,Ge5Bi2Te8,11.211820372186306
254,Eu0.54Co4Sb12,10.42821608147111
429,LiTi2PO43,-4.135166556742356
588,Sr0.5Ca0.5RuO3,13.087771932634709
1361,SrCaCu2Tl0.5LaPb0.5O7,9.998797732340453
118,SnS2,-10.724468104605958
132,GeSb4Te7,12.742566016044742
1216,H0.9Zr1.9Nb0.1PO43,-12.956848938926756
1592,Li7Ti5O12,-12.507177738314095
246,VO2,1.1314021114911006
1109,Ti3Ge0.57Si0.43C2,15.319587954740548
775,BaTi0.15Mn0.85O3,-1.3823023398503531
552,Zn0.5Cd0.5Te0.5Se0.5,27.49175904859504
1152,BaLaSb2Se6,1.8718021769015913
1676,Ca9Co12O28,2.760009940032921
1473,Li0.99NH40.99Cu0.01SO40.99,-31.012415870294525
1153,Sr0.04La0.92Mn0.2Fe0.32Ni0.48O3,10.499573020252942
651,AgRhO2,-7.208860371766058
1475,Li0.99NH40.99Ni0.01SO40.99,-31.20657188473548
1633,LiMn0.5Fe0.5VO4,-11.618285980628055
533,H2LiPO4,-3.912023005428146
862,FePb0.5Sb1.5O4,-5.06720564558465
1524,Cr0.8Fe0.2B105,3.6109179126442243
1209,H3Cs2PO4SeO4,-6.8589651148127055
897,NH42CuCl4H2O2,-19.80298308380272
1359,Mg0.9Cu0.1Mn0.1Fe1.9O4,-11.042921835724492
1641,Tl0.5WS2,4.564348191467836
676,Cu0.2Zn0.6Fe2Ni0.2O4,-3.6671179623324237
14,Cu,8.684401110400144
500,Dy0.75Mo0.25O1.75,-1.3093333199837622
1385,Sr0.15Cu0.05La0.85Cr0.95O3,3.5263605246161616
1106,BaMn3O6,-6.16581793425276
1426,BaTa0.5Bi0.5O3,-20.72326583694641
600,Cu0.66Zn0.67In0.67Se2,5.799092654460526
875,SrSnO3,-5.809142990314028
273,Na0.5Er0.5F2,29.06610564121787
684,EuCrO4,-7.712951963350705
1267,Zr0.51Ti0.47Pb0.99Sb0.02O3,-5.815831978464824
1133,Sc1.09Rh2.46Bi0.375O6,2.302585092994046
371,CoSb2.99Te0.01,8.909235279192261
271,Cu0.5Fe2.5O4,-4.290359446148058
605,TiFe0.3Se2,10.165851817003619
214,CdPS3,-20.72326583694641
1270,LiBa0.7Sr0.3F3,-19.624653548278303
344,SrIrO3,10.106428396532818
838,CsCuUS3,3.4011973816621555
147,Sc3C4,10.308952660644293
1021,Pt2Pb0.7Bi0.3O4,8.612503371220562
1420,Na0.9Fe1.1Co0.9MoO43,-11.529054846900111
412,AgCd2GaS4,-12.429216196844383
783,PrMo8O14,7.682482446534506
342,InSb0.33Te0.67,14.978661367769956
947,Nb3Se12I,3.912023005428146
747,Cu0.375Cd0.25In0.375S,-6.907755278982137
173,YF3,-20.72326583694641
377,Nd0.09Pb0.86Se,-2.0402208285265546
738,Ag0.25Cd0.5Ga0.25Te,-3.912023005428146
1211,Nd2RuCoO6,-0.6348782724359695
52,GaP,-32.52480714352851
18,TiC,14.077874822431765
221,LaCoO3,-3.116770601931047
1189,Li2.9Y0.1Sc1.8Zr0.1PO43,-7.354042381610556
1284,Ti0.92Ta0.08CoSb,10.392067567354799
1628,H1.5AsPO41.5OH2O0.31,-8.517193191416238
1140,Ba0.3Sr0.66La0.04MnO3,-2.4418471603275536
95,GaSb,13.17874391206915
261,LiMn2O4,-5.057726901630106
1564,Zn0.3La0.7FeO3,2.833213344056216
179,LaMnO3,3.4011973816621555
1126,BaSc0.05Ta0.95N0.9O2.1,-7.688641373850308
716,Sr2FeO3F,-16.11809565095832
1606,Ag3In5Se9,-4.933674252960127
184,TlS,-7.598904456879409
467,MnPS3,-11.59630707390928
903,Sr0.15Cu0.75Zn0.25La1.85O4,10.51867319162636
71,FeSi,11.918390573078392
1169,SrCu3Fe4O12,-6.9485772735023925
1227,TiN0.24O1.88,-18.158316479484874
346,Sm0.1Pb0.9Te,10.799575577092764
29,Ti0.89V0.11,13.710150042306449
796,La0.97Ti0.8V0.2O3,3.4011973816621555
1063,BaCuPrFeO5,5.3471075307174685
157,Cd0.3Sn0.7Se,-8.409236049911145
932,Li0.33AgRh0.67O2,6.802394763324311
658,H2KPO4,-18.420680743952367
1498,Li0.95Mg0.05Ti0.02Nb0.98O3,-26.11589388296569
394,GaInSe2,-3.803168600516064
1076,Li0.5Zn0.15Ti0.15Mn0.05Fe2.15O4,-10.414311842969674
988,Au5Th2Al8Si2,13.199324418540456
1428,K0.115Sm0.115Nb2Pb0.77O6,-12.468736955006667
1688,Sr2Cu0.85Ni0.15O3,-2.7630345094349695
402,Sm3Sb4Se9,1.415853163361435
989,Ba3ZnTa2O9,-17.50439001207821
677,RbCu4I1.8Cl3.2,3.784189633918261
822,Ti3Fe3Bi7O21,29.933606208922594
963,K0.25Li5.5La2.75Nb2O12,-7.156216638280637
835,Cu6.33La5S7O4,-0.7985076962177716
1033,Co0.83PtC2O42H2O6,7.060476365999801
1408,Rb1.9Sn4.8Bi10.3Se21,9.903487552536127
939,K0.05Ca0.25La0.7MnO3,-6.325539659129474
1054,K0.2Na0.8NbO3,-11.090931054910854
1101,Yb5In2Sb6,9.148464968258095
691,Ti0.5PbSn0.5O3,-11.4189798521277
1369,AgI,-4.9062752787720125
334,Mn2NiO4,-2.995732273553991
873,Li3Cr2PO43,-9.965362956254216
805,K0.35Sn1.35Bi5.65Se10,12.043553716032399
7,Pt,15.994797434613826
517,Zn0.5Fe2Co0.5O4,12.66032791780777
197,Ag4Sn3S8,-4.605170185988091
296,Sr2RuO4,8.699514748210191
1245,BaCuTbFeO5.05,-3.611918412977808
1680,Na0.4Tm0.6F2.2,30.16471792988598
122,CeFe4Sb12,12.296827008798639
378,RbSb3Se5,-10.289150033348113
1062,BaCuEuFeO5,-4.755993075722675
1508,Mo5OsSnS8,11.84939770159144
1250,Ba0.2Sr0.4La0.4TiO3,4.0943445622221
162,CuCr2S4,11.695247021764184
1186,K0.8Ti3.6Ni0.4O8,-4.605170185988091
1091,KLi0.5Nb5O13,-17.322068455284256
124,Ti3SiC2,15.319587954740548
551,Nb0.5V0.5O2,12.89921982609012
4,Zr,14.639686000930624
915,Cs2Hg2USe5,-1.2039728043259361
958,H7K9SO48H2O,-9.498022444427964
1450,Ti3Mn3Bi7O21,-8.622553707074063
611,Ag0.25Cd0.5In0.25S,4.605170185988092
287,HoCoO3,-7.138427096717138
956,Mg2Sn0.6Sb0.02Si0.38,3.4011973816621555
1695,FePb0.5Te2,0.16551443847757333
1265,La0.1Co4Sb12,9.468851067127684
1281,Li0.05LaFe0.95O2.95,-2.3025850929940455
908,Ag4PO4I,-12.716898269296165
506,Ba2Cu3YO6F,10.645424897265505
356,CeRh2,13.955272500339433
352,Be13Ce,14.151982794585487
844,Pb5Sn2Bi4Se13,7.265429723253953
1154,Na2Zn2TeO6,-4.710530701645918
836,H4MnPO42,-10.871071578797833
946,SrCu0.5Nb0.5O2.625,-7.824046010856292
667,CuCe0.2Pr1.8O4,15.068273526459642
886,Rb0.69Pb3.69Bi11.31Se21,10.126631103850338
1418,Mn0.67Ni0.33BiO3,-4.268697949366879
333,Li0.5Ni0.5O,11.695247021764184
153,Bi2SeO2,6.595780513961311
787,LaPd2O4,1.0116009116784799
501,CuFeGaO4,-11.378394572012622
721,BaIn2Sb4,9.51044496442652
373,Cu0.40LaTe2,2.3978952727983707
590,Cu1.2Fe1.6Ge0.2O4,-4.803621124711929
312,Ag0.02Pb0.98Te,11.289781913656018
42,SnTe,13.664687668229691
1315,PdSnTe,13.077366011473593
645,VAsO4O,-12.454534004828673
1445,Mg0.04CuSc0.96O2.23,3.970291913552122
971,CaCu3Ti3.5V0.5O12,-10.903159893349335
1484,Ba0.3Sr2.7Fe2O7,-3.6888794541139363
522,Sr0.9La0.1TiO3,11.462368741353076
1375,NiPS3,-17.697974761150874
762,Ti0.8Nb0.1Fe0.1O2,-4.605170185988091
1439,Sr0.82U0.18F2.36,-9.028018815182229
1569,KC36,16.860032995687696
1272,Ba0.4Sr0.4Ca0.1La0.1Fe0.2Co0.8O3,6.013715156042802
704,Sr0.5La0.5Ti0.5Cr0.5O3,-0.6539264674066639
1415,Ca2MnO3.8,-11.417615285165903
1523,Zr0.2Co0.8B105,-3.649658740960655
1331,Ca0.24B0.5C1.5,9.775654181026242
944,CsPb4Bi3Te9,10.621327345686446
168,CuWO4,-3.912023005428146
1481,Li1.7Hf1.3Cr0.7PO43,-4.656463480375642
360,NbS3,7.824445930877619
1018,Sn12P9.65I4,7.408530566894626
1682,Zr0.04Pb0.98Sn0.98F4.08,1.1505720275988207
743,Er0.25Bi0.75O1.5,-5.7763531674910364
272,Mg0.9Cu2.1O3,1.6094379124341003
519,La0.1WO3,11.314474526246391
814,Sr3.2Sm0.8Co4O10.16,2.302585092994046
818,LaMn0.5Rh0.5O3,-0.3078847797693004
734,Cu0.2Mn1.3Co1.4Ni0.1O4,-1.1874435023747254
1598,Fe1.04Pb0.64Bi0.32O2.675,-15.422451590199787
1488,Zr0.5Pb5Ge2.5O11,26.459838134425603
1355,Na0.01Ba0.04Pb0.95Se,12.148443532693538
1684,SnBi4Te4Se4,4.143134726391533
1121,BaCuTeF,6.684611727667927
128,SrFe4Sb12,12.429216196844383
998,MgLa2RhO6,2.70805020110221
1513,KLa0.005NbO3,-9.210340371976182
544,SrCoO3,5.298317366548036
379,RbSbSe2,-9.721165995742174
203,BaFe12O19,-17.289278632461265
343,Sr4IrO6,-3.912023005428146
1453,Cu0.1Zn0.9LaPO,6.253828811575473
1578,Fe1.67CN4H2O4.67,-5.190360225042944
518,CuCr4InSe8,-4.803621124711929
1506,Mo5.5Ir0.5SnS8,10.915088464214607
488,MnFe2O4,0.7030975114131134
1261,Ba4Ag3.97Si2Te9,1.791759469228055
1674,NH4Ba0.5C2O4H2O4,-12.375675429916354
917,InSn2Bi3Se8,8.969414650866176
232,V6O13,4.605170185988092
794,LaRh0.5Ni0.5O3,7.90100705199242
1593,K3NdSi8O19,17.926384422137584
1122,KV3O7,-8.584401941109688
514,Na0.5TiBi0.5O3,-25.328436022934504
1685,Li3.6GeO40.8SO40.2,-6.292569639891903
511,KTiPO4O,-5.757183251383316
112,Ge3Bi2Te6,10.87804719253426
1627,NbAsO4OH2O3,-6.214608098422191
217,Rb4Cu9Cl13,-1.171182981502945
499,USO,-1.8325814637483102
1666,Mn2Fe0.34Ni0.66O4,-10.92513880006811
934,Sr0.25La0.75CrO3,6.4457198193855785
225,Cr2FeS4,6.214608098422191
1042,Ba2SrIrO6,-3.684887432844399
1192,Sr2ZnIrO5.86,-0.2231435513142097
1452,Sr2CoBi2O6.5,-3.0159349808715104
1573,Te,12.323855681186558
397,Hg0.65Mn0.35Te,6.579251212010101
540,Sr0.1CuLa1.9O4,10.555812738575819
328,ZnSnAs2,8.411832675758411
795,Mo1.2Fe0.8N2,2.9856819377004897
848,SrNdCr0.1Ni0.9O4,-5.2030071867437115
1639,CsCu4I2Cl3,-7.542633551418106
1348,K0.65Ag2Eu1.35Te4,8.85366542803745
93,CaB6,12.720840488528788
213,Cd0.5Mn0.5Te,-17.52459271939573
770,CsBi4Te6,10.165851817003619
337,WSe2,-6.2659013928097425
803,K3NdSi6O15,18.59882692933584
212,CdIn2S4,1.247032293786383
618,SrCu2SnS4,3.914021008090819
1139,CoGeTe,8.630521876723241
1182,Ba5SmTi3Nb7O30,-8.095198781356862
1168,SrSmFeO4,-4.55638002181866
1136,BeRh3Bi0.34O6,1.62924053973028
36,Ga2Te5,-0.3871341514234409
105,Cu2FeAl7,9.210340371976184
362,V3O5,4.0943445622221
850,Ca0.8Eu0.2MnO3,5.736572297479192
756,WO3,-10.897739825879995
758,LiCo0.5Ni0.5O2,-2.3025850929940455
365,RhSb3,12.007621706806335
856,CaTa0.5Fe0.5O3,-8.568486485803788
1430,Li0.82PtC4S4CN4H2O2,8.006367567650246
1700,Li4Zn3Sn5O15,-14.707108677248058
565,MgMnFeO4,0.5012297300925437
249,NaV2O5,0.15272108701766393
476,Sr2CaCu2Tl0.5Pb0.5O7,12.254862809699606
1614,In0.04Pb0.98Sn0.98F4.04,0.688134638736401
1188,Li2.8Sc1.8Zr0.2PO43,-6.887952651685957
781,FeSb2O4,-9.210340371976182
454,Mn2BiO5,7.495541943884256
1595,Ba4CaSmTi3Nb7O30,-10.845096092394574
1200,KLa1.28Bi3.72S8,-4.605170185988091
1107,Sm8Ru12Al53Si17,12.89921982609012
230,CuSm2O4,-3.912023005428146
1319,Sr0.85La1.15Cr0.5Co0.5O3.825,5.3598827222061916
652,Cd0.5Fe2Ni0.5O4,-3.280139713472115
70,FeS2,0.6931471805599453
610,Cu0.82Cd0.09InS2,0.0
1174,NaCo0.4Ni0.6O2,10.476724436423515
1634,SrMg2Rh6O12,8.517193191416238
1583,Ba0.92Cu0.06La0.08Ti0.94O3,-14.038654109278484
1653,Zn0.01Cd0.14Hg0.83Mn0.02Te,9.210340371976184
410,LaNi2P2,10.085809109330082
1567,NbTe2,2.995732273553991
1151,H6V15AsO36O24H2O10,-7.824046010856292
338,HgS,11.156250521031495
1025,BaY2Te4,10.596634733096073
43,Cu2S,7.313220387090301
539,Zn0.7CrFe1.2Ni0.1O4,16.285980159954505
601,Nb3Sb2Te5,8.922658299524402
1332,RbNb4Br11,14.73180128983843
965,Cd1.7In0.6Sn0.7O4,12.765688433465597
1672,In1.2Sn0.1Se,10.54006438160768
171,FeTe2,10.184900011974314
417,Sr0.16CuLa1.84O4,11.385092093460344
837,YCo0.88Ga3Ge,12.994530005894443
1600,Ba0.52Mg0.78Nd0.70FeO3.97,-1.6094379124341003
1416,Al0.2Bi0.45Sb1.35Te3,10.839580911706463
806,Cs0.23Sn1.23Bi5.77Se10,10.51867319162636
882,HInSeO42H2O4,-7.1308988302963465
1587,BaMg0.33Nb0.67O3,-10.699997246091227
637,NbBr4,-10.126631103850338
423,CaSnO3,27.631021115928547
727,K1.25Pb3.50Bi7.25Se15,10.165851817003619
967,Ca0.2Co4Sb12,3.5090647525311627
1339,Sr0.5La0.5Fe0.75Ni0.25O2.95,8.34283980427146
376,W0.5Mo0.5S2,-8.047189562170502
524,Sr0.6CuLa1.4O4,12.429216196844383
1588,BeAs2,-1.8971199848858813
438,MgNb2O6,-10.25205261351148
1466,Nb0.25Cr0.75WO4,4.700480365792417
150,Nb0.25Bi0.75O1.75,-10.819778284410283
1703,Ge0.01Bi1.99Te2.85Se0.15,11.55214617812351
1543,Rb2Cu3CeTe5,1.6094379124341003
981,HKCO3,-12.166851932376892
954,Co4In0.2Sb12,11.653556594709974
1534,BaCuYFeO5.04,-1.4271163556401458
143,Sb2Te3,12.20507214519659
717,K0.33Sn2.41Bi5.59Se11,10.714417768752456
526,Ir0.5Rh0.5Sb3,12.337100907936577
583,SmAsO4,-17.242025747610718
975,Na2Ni2TeO6,-6.16581793425276
566,Ba2ScTaO6,-13.9208710736221
1232,Li1.3Y0.15Ti1.7Al0.15PO43,-0.8675005677047231
440,LiVNiO4,-10.724468104605958
1155,Na2Mg2TeO6,-5.06720564558465
1404,Li0.4Zn0.4In0.6Sb,12.736700896592344
174,Sr0.1La0.9F2.9,-3.506557897319982
1294,YMn0.75Ni0.25O3,-4.422848629194137
1438,Zn0.99Ga0.01SiP2,3.2188758248682006
123,LaF3,-7.824046010856292
138,MgO,-15.24262691360442
879,Ca0.5Pr0.5Mn0.95Al0.05O2.98,3.4011973816621555
1075,D3LiND44SO44,-23.942141661814613
732,SrMn0.5Ru0.5O3,8.699514748210191
624,Ag7TaSe6,-2.2072749131897207
1299,Ag0.8Cu0.2Cd2GaS4,-16.11809565095832
784,Ca4IrO6,-7.824046010856292
1366,Cu2P3I2,-7.5810998322459024
1280,Zn0.08Zr0.53Ti0.47Pb0.92O3,-12.24689464005043
182,MoSe2,-3.6082215510964817
617,Ba4Zn4Ge19,12.206072645530174
1324,Na0.05Sn0.9Sb0.05Te,12.98974585278949
690,Sr2MoNiO6,1.9459101490553132
1491,Mg0.125CuBi0.875SeO,8.070906088787819
240,In4Sn3O12,11.661345470088502
1254,HLi3Mo9S8O13OH8H2O26,-5.360192770266124
1350,Nb0.15Cr0.35W0.5O2,5.438079308923196
458,YMnO3,-11.042872461943398
681,Zn0.6Ti0.285Fe1.715Ni0.257O4,-5.521460917862246
465,YbRh2Si2,14.077874822431765
1187,FeSb2.2Te0.8,11.390757830996021
1191,Ti0.07Mn0.93Se,-2.0402208285265546
145,TbAl2.7Ge0.3,13.403020834919145
206,CuI,2.302585092994046
1212,Sm2RuCoO6,-0.05129329438755058
1474,Li0.99NH40.99Co0.01SO40.99,-30.606950762186358
324,Yb0.2Zr0.8O1.9,-10.819778284410283
657,K2PtBr0.3CN4H2O3,1.5260563034950492
1554,Ce0.1Zr0.55Ti0.35PbO3,-10.959040351743791
714,W1.2Fe0.8N2,1.9459101490553132
1570,KC48,16.90655301132259
1642,Tl0.5WSe2,3.713572066704308
79,Ti4O7,11.918390573078392
1550,K2Cu0.1Ti5.9O13,-10.103158747665196
1536,K0.35Pb1.4Bi5.55Se10,11.156250521031495
687,La2NiO4.3,7.27931883541462
166,CuNd2O4,1.9459101490553132
229,Cu4YbIn,13.180632285528304
1645,Mn0.5In0.33PS3,-18.982799662105908
1505,In0.97Pb0.03Te,8.824677891164198
740,Sr0.6La0.4Fe0.4Co0.6O3,8.933268478636418
100,CdSe,4.174387269895637
290,ZnFe2O4,-5.004901762248495
444,SrRuO3,12.611537753638338
878,AgI,-3.4295968561838532
1455,Ba2Ca2CuTl0.5Zn2.5O9.9,5.991464547107982
1077,TiFe0.3Co0.7Sb,8.333270353255308
739,Sr0.6La0.4Fe0.4Co0.6O3,9.47654341275084
391,TaS3,12.691580461311874
86,PbTe,9.287301413112312
1702,SmSb2Se4,1.1786549963416462
666,CsAuI3,1.6094379124341003
1275,Pr0.02Bi0.85Sb0.13,12.644327576461329
1531,V1.0B105,5.135798437050262
475,Ba2CaCu2Tl2O8,9.077951183930438
1295,SmMn0.5Rh0.5O3,-4.448166437178426
44,Cu31S16,8.160518247477505
788,Tl2Nb2O6.11,-14.851148047470996
1002,BaSc2Te4,12.468436909997665
1137,Ba3Cu14.4Te2.7Se8.3,9.472704636443673
24,GaS,-10.501324553291749
1235,H0.27V0.27W0.73O3H2O0.3,-5.8781358618009785
832,HRbSeO40.19SO40.81,-8.468403027246806
1193,Re3Sn0.3As6.7,11.198214720130528
591,Ca0.5TiPb0.5O3,-11.59630707390928
1677,NaTaMoO6,-13.00014574468008
973,Li1.33Rh0.67O2,1.3862943611198906
1056,BaBi2Se4,9.472704636443673
109,FeBiO3,-8.514122909559019
1160,Cs0.36Cu2.64PrTe3,11.255449234575513
1354,Na0.01Ca0.04Pb0.95Se,12.356215303959893
222,LiCoO2,3.4011973816621555
1052,ZnSO4CSN2H43,-20.245790192861975
1311,Sr0.4La0.6Fe0.6Co0.2Ni0.2O3,10.126631103850338
722,Sm4Fe2.162Al6.838Si8,13.38472764187182
55,InP,-12.68766314402783
1679,Li8Zn2TiO8,-16.11809565095832
253,ScN,14.690979295318174
1616,Al0.2Pb0.9Sn0.9F4.2,-13.3580857109254
1072,Mg0.5Zn0.5Fe2Ni0.2O4,-10.519673691959945
1492,Zn0.1La0.9CrO3,2.8154087194227095
642,Na0.05Ba0.9La0.05TiO3,-15.26794472158871
545,Sr0.5La0.5FeO3,8.160518247477505
477,H2NH4PO4,-17.059704190816763
949,CaNdCrO4,4.007333185232471
843,Sr0.85Yb4.15Al2Sb6,10.915088464214607
63,Sb2Se3,-9.190537744680004
